Player,Team,Pos,RL,RLB,FPTS,Pos Rank,PAR,PAR_PG,PAR Value,Inf Value,Estimated Cost,Team ,Cost
Christian McCaffrey,SF,RB,107.9,73,270.4,1,197.4,11.61176471,43.89792083,43.94651783,81.7494003,AC,73.0000
Austin Ekeler,LAC,RB,107.9,73,262.8,2,189.8,11.16470588,42.24632914,42.29309776,77.3763012,JH,53.0000
Travis Kelce,KC,TE,99,82.5,234.5,1,152,8.941176471,34.03183366,37.12618596,50.2000462,BN,63.0000
Derrick Henry,TEN,RB,107.9,73,235.5,3,162.5,9.558823529,36.31363796,36.35383882,73.1220027,SF,47.0000
Bijan Robinson,ATL,RB,107.9,73,234.5,4,161.5,9.5,36.09632327,36.13628355,68.9865048,FN,59.0000
Saquon Barkley,NYG,RB,107.9,73,234.2,5,161.2,9.482352941,36.03112886,36.07101696,64.9698075,D,54.0000
Tony Pollard,DAL,RB,107.9,73,233.5,6,160.5,9.441176471,35.87900857,35.91872827,61.0719108,FN,48.0000
Nick Chubb,CLE,RB,107.9,73,233.4,7,160.4,9.435294118,35.8572771,35.89697275,57.2928147,CFC,56.0000
Justin Jefferson,MIN,WR,116.9,93.4,260.7,1,167.3,9.841176471,37.3567485,35.19999514,63.25189762,CPB,72.0000
Josh Jacobs,LV,RB,107.9,73,229.5,8,156.5,9.205882353,35.00974979,35.04850718,53.6325192,FCN,40.0000
Ja'Marr Chase,CIN,WR,116.9,93.4,253.7,2,160.3,9.429411765,35.83554563,33.76661735,59.31279968,JH,60.0000
Tyreek Hill,MIA,WR,116.9,93.4,248.3,3,154.9,9.111764706,34.66204628,32.66086878,55.61901443,JH,60.0000
Cooper Kupp,LAR,WR,116.9,93.4,247.5,4,154.1,9.064705882,34.48819452,32.49705417,52.15526468,CPB,60.0000
Jonathan Taylor,IND,RB,107.9,73,215.7,9,142.7,8.394117647,32.010807,32.04624442,50.0910243,FN,24.0000
Joe Mixon,CIN,RB,107.9,73,214.4,10,141.4,8.317647059,31.7282979,31.76342257,46.66833,D,28.0000
Aaron Jones,GB,RB,107.9,73,207.7,11,134.7,7.923529412,30.27228944,30.30580224,43.3644363,VM,30.0000
CeeDee Lamb,DAL,WR,116.9,93.4,231.5,5,138.1,8.123529412,31.0111594,29.22076209,48.90722465,AC,46.0000
Stefon Diggs,BUF,WR,116.9,93.4,225.8,6,132.4,7.788235294,29.77246564,28.05358303,45.86146074,BN,57.0000
Najee Harris,PIT,RB,107.9,73,197.2,12,124.2,7.305882353,27.99048514,28.02147188,40.1793432,TTL,28.0000
Davante Adams,LV,WR,116.9,93.4,224.1,7,130.7,7.688235294,29.40303066,27.705477,43.00537591,FN,47.0000
Rhamondre Stevenson,NE,RB,107.9,73,194,13,121,7.117647059,27.29507811,27.32529501,37.1130507,BN,29.0000
Travis Etienne Jr.,JAC,RB,107.9,73,193.3,14,120.3,7.076470588,27.14295783,27.17300632,34.1655588,CFC,31.0000
Alexander Mattison,MIN,RB,107.9,73,190.7,15,117.7,6.923529412,26.57793962,26.60736261,31.3368675,FN,8.0000
James Conner,ARI,RB,107.9,73,188.2,16,115.2,6.776470588,26.03465288,26.06347443,28.6269768,WN,17.0000
Kenneth Walker III,SEA,RB,107.9,73,186.6,17,113.6,6.682352941,25.68694937,25.715386,26.0358867,JH,11.0000
Dameon Pierce,HOU,RB,107.9,73,184.3,18,111.3,6.547058824,25.18712557,25.21500887,23.5635972,WN,23.0000
