Contest ID,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
11340125,175030201," "," "," "," "," "," "," "," "," "," ",1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",2. The Entry ID column lists all of your contest entries for this contest," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",3. Your current lineup is listed next to each entry (blank for reserved entries)," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",6. For faster processing only include entries you are changing in the file you upload," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","Note: For each entry, the salary cap is 200"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.7200$nfl.g.2448792,Aaron,Rodgers,nfl.p.7200$nfl.g.2448792 - Aaron Rodgers,QB,GB,TB,GB@TB,4:25PM EDT,27,10.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.7777$nfl.g.2448792,Marcedes,Lewis,nfl.p.7777$nfl.g.2448792 - Marcedes Lewis,TE,GB,TB,GB@TB,4:25PM EDT,10,2.2,Q," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.24851$nfl.g.2448792,Randall,Cobb,nfl.p.24851$nfl.g.2448792 - Randall Cobb,WR,GB,TB,GB@TB,4:25PM EDT,10,3.8,Q," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.27532$nfl.g.2448792,Sammy,Watkins,nfl.p.27532$nfl.g.2448792 - Sammy Watkins,WR,GB,TB,GB@TB,4:25PM EDT,12,7.1,Q," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30295$nfl.g.2448792,Aaron,Jones,nfl.p.30295$nfl.g.2448792 - Aaron Jones,RB,GB,TB,GB@TB,4:25PM EDT,20,19.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30777$nfl.g.2448792,Robert,Tonyan,nfl.p.30777$nfl.g.2448792 - Robert Tonyan,TE,GB,TB,GB@TB,4:25PM EDT,13,3.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31268$nfl.g.2448792,Allen,Lazard,nfl.p.31268$nfl.g.2448792 - Allen Lazard,WR,GB,TB,GB@TB,4:25PM EDT,16,8.3,Q," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32696$nfl.g.2448792,Jordan,Love,nfl.p.32696$nfl.g.2448792 - Jordan Love,QB,GB,TB,GB@TB,4:25PM EDT,20,2.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32732$nfl.g.2448792,AJ,Dillon,nfl.p.32732$nfl.g.2448792 - AJ Dillon,RB,GB,TB,GB@TB,4:25PM EDT,18,12.4," "," "
