f,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF, ,Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
15143779,230969478, , , , , , , , , , ,1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time, , , , , , , , , , , , , 
 , , , , , , , , , , , ,2. The Entry ID column lists all of your contest entries for this contest, , , , , , , , , , , , , 
 , , , , , , , , , , , ,3. Your current lineup is listed next to each entry (blank for reserved entries), , , , , , , , , , , , , 
 , , , , , , , , , , , ,4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry, , , , , , , , , , , , , 
 , , , , , , , , , , , ,"5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)", , , , , , , , , , , , , 
 , , , , , , , , , , , ,6. For faster processing only include entries you are changing in the file you upload, , , , , , , , , , , , , 
 , , , , , , , , , , , ,"Note: For each entry, the salary cap is 200", , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , ,nfl.p.26650$nfl.g.13553437,DeAndre,Hopkins,nfl.p.26650$nfl.g.13553437 - DeAndre Hopkins,WR,BAL,MIA,BAL@MIA,8:15PM EDT,10,4.5, , 
 , , , , , , , , , , , , ,nfl.p.29279$nfl.g.13553437,Derrick,Henry,nfl.p.29279$nfl.g.13553437 - Derrick Henry,RB,BAL,MIA,BAL@MIA,8:15PM EDT,34,12.8, , 
 , , , , , , , , , , , , ,nfl.p.30592$nfl.g.13553437,Patrick,Ricard,nfl.p.30592$nfl.g.13553437 - Patrick Ricard,RB,BAL,MIA,BAL@MIA,8:15PM EDT,10,0, , 
 , , , , , , , , , , , , ,nfl.p.30788$nfl.g.13553437,Cooper,Rush,nfl.p.30788$nfl.g.13553437 - Cooper Rush,QB,BAL,MIA,BAL@MIA,8:15PM EDT,20,1.4,O, 
