Player,Pos,Team,Opp,Salary,FPTS,ppd,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,Odds FPTS,Pred FPTS,Salary,Avg,PPD
Lamar Jackson,QB,BAL,BUF,37,23.27802407,0.629,20,17.52293907,0.338534412,,228,1.6,0.5,47,,180,0.357142857,22.48771429,23.27802407,37,22.883,0.6185
Baker Mayfield,QB,TB,ATL,34,20.07021717,0.59,20,17.52293907,0.181948436,,243,1.7,0.5,12,,600,0.142857143,18.28628571,20.07021717,34,19.178,0.5641
Trevor Lawrence,QB,JAC,CAR,27,17.34254738,0.642,20,17.52293907,-0.025770242,,238,1.5,0.5,14,,400,0.2,17.896,17.34254738,27,17.619,0.6526
Drake Maye,QB,NE,LV,25,17.63350238,0.705,20,17.52293907,0.022112661,,214,1.3,0.5,28,,330,0.23255814,17.84660465,17.63350238,25,17.74,0.7096
Joe Flacco,QB,CLE,CIN,21,15.56146676,0.741,20,17.52293907,-1.961472316,,241,1.4,0.9,,,1200,0.076923077,14.87538462,15.56146676,21,15.218,0.7247
Justin Fields,QB,NYJ,PIT,20,17.52293907,0.876,20,17.52293907,0,,173,0.9,0.5,43,,215,0.317460318,16.78752381,17.52293907,20,17.155,0.8578
Bijan Robinson,RB,ATL,TB,39,16.14025892,0.414,10,9.29972591,0.235880449,,,,,103,3.4,-195,0.661016949,17.42267797,16.14025892,39,16.781,0.4303
De Von Achane,RB,MIA,IND,36,14.6918282,0.408,10,9.29972591,0.20738855,,,,,92,4.4,-145,0.591836735,16.33518367,14.6918282,36,15.514,0.4309
Chase Brown,RB,CIN,CLE,34,14.77022945,0.434,10,9.29972591,0.227937647,,,,,87,2.7,-160,0.615384615,15.01707692,14.77022945,34,14.894,0.438
Bucky Irving,RB,TB,ATL,34,13.84717213,0.407,10,9.29972591,0.189476926,,,,,91,2.7,-130,0.565217391,15.09191304,13.84717213,34,14.47,0.4256
