Player,Pos,Team,Opp,Salary,FPTS,ppd,min_sal,rep_points,PAR_PD
Tua Tagovailoa,QB,MIA,BUF,28,14.698748290691713,0.525,20,15.196386881717569,-0.06220482387823201
Josh Allen,QB,BUF,MIA,45,22.248134951932375,0.4944,20,15.196386881717569,0.2820699228085923
Daniel Jones,QB,IND,TEN,37,17.849013319400232,0.4824,20,15.196386881717569,0.15603684927545078
Cam Ward,QB,TEN,IND,20,12.671369535446377,0.6336,20,15.196386881717569,0
Drake Maye,QB,NE,PIT,31,18.23092344096731,0.5881,20,15.196386881717569,0.2758669599317946
Aaron Rodgers,QB,PIT,NE,31,15.294637069736527,0.4934,20,15.196386881717569,0.0089318352744508
Tyrod Taylor,QB,NYJ,TB,20,14.801264349306713,0.7401,20,15.196386881717569,0
Baker Mayfield,QB,TB,NYJ,38,18.900819443138115,0.4974,20,15.196386881717569,0.20580180896780811
Geno Smith,QB,LV,WAS,34,16.17976181426616,0.4759,20,15.196386881717569,0.07024106661061376
Jayden Daniels,QB,WAS,LV,40,18.152405747061106,0.4538,20,15.196386881717569,0.14780094326717688
Matthew Stafford,QB,LAR,PHI,31,14.917499796677387,0.4812,20,15.196386881717569,-0.025353371367289282
Jalen Hurts,QB,PHI,LAR,36,20.246701168957564,0.5624,20,15.196386881717569,0.3156446429524997
Michael Penix,QB,ATL,CAR,30,15.50237406338974,0.5167,20,15.196386881717569,0.030598718167217064
Bryce Young,QB,CAR,ATL,35,14.702020891272266,0.4201,20,15.196386881717569,-0.03295773269635352
Jake Browning,QB,CIN,MIN,22,15.990835924899518,0.7269,20,15.196386881717569,0.39722452159097443
Carson Wentz,QB,MIN,CIN,20,15.196386881717569,0.7598,20,15.196386881717569,0
C J Stroud,QB,HOU,JAC,29,16.19592524492448,0.5585,20,15.196386881717569,0.11105981813410143
Trevor Lawrence,QB,JAC,HOU,30,15.982186494277183,0.5327,20,15.196386881717569,0.07857996125596145
Jordan Love,QB,GB,CLE,30,16.903308869961286,0.5634,20,15.196386881717569,0.17069219882437175
Joe Flacco,QB,CLE,GB,30,13.238793732874669,0.4413,20,15.196386881717569,-0.19575931488429
Bo Nix,QB,DEN,LAC,36,17.26777661015336,0.4797,20,15.196386881717569,0.12946185802723686
Justin Herbert,QB,LAC,DEN,35,19.327500969083584,0.5522,20,15.196386881717569,0.275407605824401
Spencer Rattler,QB,NO,SEA,27,14.257317974038367,0.528,20,15.196386881717569,-0.13415270109702884
