Team,week,games,cum_def_cmp,cum_def_pas_att,cum_def_pas_yds,cum_def_pas_tds,cum_def_int,cum_def_fmb,cum_def_rus_att,cum_def_rus_yds,cum_def_rus_tds
ARI,18,17,414,593,3915,29,11,9,446,2016,21
ATL,18,17,372,561,3942,26,10,7,500,2214,15
BAL,18,17,394,593,3947,20,14,11,406,1566,11
BUF,18,16,362,570,3433,21,17,10,387,1673,10
CAR,18,17,383,580,3868,25,10,7,488,2085,17
CHI,18,17,323,481,3716,22,14,9,542,2674,31
CIN,18,16,329,559,3665,17,13,11,407,1706,12
CLE,18,17,315,519,3336,20,11,9,488,2295,22
DAL,18,17,345,550,3415,23,16,17,497,2198,9
DEN,18,17,392,605,3574,20,15,8,438,1866,12
DET,18,17,353,560,4179,26,12,10,477,2491,22
GNB,18,17,314,478,3349,22,17,7,479,2372,18
HOU,18,17,336,522,3558,15,16,11,573,2894,25
IND,18,17,365,537,3569,25,10,11,511,2109,20
JAX,18,17,385,601,4055,25,14,13,470,1951,14
KAN,18,17,408,619,3756,33,11,9,419,1823,10
LAC,18,17,310,505,3406,24,14,10,457,2478,17
LAR,18,17,375,556,3842,23,16,6,455,1956,12
LVR,18,17,399,590,4129,25,6,7,460,2087,20
MIA,18,17,416,624,3992,27,8,6,422,1751,15
MIN,18,17,408,617,4515,23,15,10,463,2093,18
NOR,18,17,322,536,3134,17,7,7,492,2218,14
NWE,18,17,364,596,3681,28,19,11,441,1793,7
NYG,18,17,349,568,3638,21,6,13,469,2451,16
NYJ,18,17,347,556,3220,15,12,4,492,2068,14
PHI,18,17,350,556,3057,22,17,10,446,2068,15
PIT,18,17,332,542,3779,29,20,3,442,1838,7
SEA,18,17,343,547,3595,23,14,11,525,2554,21
SFO,18,17,389,593,3789,20,20,10,389,1321,11
TAM,18,17,364,570,3461,29,10,10,458,2052,12
TEN,18,17,439,671,4671,29,14,6,390,1307,9
WAS,18,17,308,514,3252,26,9,9,441,1926,10
ARI,17,16,399,573,3773,26,11,9,409,1847,19
ATL,17,16,350,527,3806,24,10,6,480,2128,15
BAL,17,16,369,551,3745,19,14,10,386,1511,10
BUF,17,15,336,530,3199,18,14,10,364,1566,10
CAR,17,16,368,555,3707,24,10,6,456,1942,17
CHI,17,16,295,448,3375,21,13,8,504,2533,29
CIN,17,15,310,515,3389,17,11,9,380,1596,11
CLE,17,16,302,490,3147,19,11,8,451,2151,20
DAL,17,16,334,531,3257,22,15,17,456,2047,8
DEN,17,16,362,561,3281,17,15,6,416,1807,12
DET,17,16,336,533,3991,25,11,9,449,2388,22
GNB,17,16,291,444,3130,22,17,7,454,2268,16
HOU,17,16,313,487,3356,13,14,10,540,2698,24
IND,17,16,341,497,3268,22,8,10,488,2050,20
JAX,17,16,365,572,3890,24,13,12,431,1804,14
KAN,17,16,386,583,3576,32,10,8,394,1724,10
LAC,17,16,297,481,3140,21,13,9,421,2273,16
LAR,17,16,356,525,3637,22,14,6,419,1759,12
LVR,17,16,381,564,3948,24,6,7,432,1919,17
MIA,17,16,398,591,3843,27,8,6,402,1713,15
MIN,17,16,395,590,4374,22,13,10,441,1975,17
NOR,17,16,317,521,3102,17,5,7,451,2047,14
NWE,17,16,345,565,3444,25,18,9,416,1703,7
NYG,17,16,329,533,3431,21,5,13,435,2316,15
NYJ,17,16,327,525,3080,15,12,4,460,1906,14
PHI,17,16,327,516,2902,21,17,10,425,1939,14
PIT,17,16,313,513,3606,27,18,3,420,1704,7
SEA,17,16,330,521,3472,23,13,11,497,2408,20
SFO,17,16,369,566,3595,19,17,9,369,1260,10
TAM,17,16,345,540,3253,27,10,9,423,1878,11
TEN,17,16,419,639,4468,28,14,5,376,1288,9
WAS,17,16,294,476,3134,25,8,8,414,1862,10
ARI,16,15,380,547,3607,26,11,8,375,1715,17
ATL,16,15,326,487,3593,23,10,6,453,2002,15
BAL,16,15,354,524,3592,18,14,10,345,1313,10
BUF,16,15,336,530,3199,18,14,10,364,1566,10
CAR,16,15,334,510,3296,21,10,5,431,1875,16
CHI,16,15,274,419,3136,18,13,8,465,2268,27
CIN,16,15,310,515,3389,17,11,9,380,1596,11
CLE,16,15,286,462,3023,19,8,8,414,2015,19
DAL,16,15,314,492,3037,21,14,16,432,1950,8
DEN,16,15,333,519,2953,14,14,5,400,1761,11
DET,16,15,329,512,3961,24,10,8,427,2188,22
GNB,16,15,269,409,2886,20,14,6,434,2166,16
HOU,16,15,291,458,3188,13,12,10,511,2529,21
IND,16,15,322,473,3091,20,8,9,451,1833,18
JAX,16,15,340,528,3697,24,13,11,410,1720,14
KAN,16,15,360,545,3386,31,9,7,370,1607,8
LAC,16,15,286,462,3029,21,13,8,395,2107,15
LAR,16,15,332,494,3398,20,14,6,388,1567,10
LVR,16,15,359,529,3664,22,5,7,405,1749,15
MIA,16,15,378,558,3670,25,8,6,381,1637,15
MIN,16,15,378,563,4222,21,13,10,408,1812,15
NOR,16,15,299,489,2856,16,4,7,436,1980,14
NWE,16,15,321,525,3197,23,16,9,389,1617,6
NYG,16,15,312,506,3307,20,4,13,408,2188,15
NYJ,16,15,309,496,2932,13,12,4,422,1708,14
PHI,16,15,307,492,2718,21,16,10,390,1810,13
PIT,16,15,299,492,3486,26,17,3,392,1584,7
SEA,16,15,307,475,3268,23,11,10,480,2333,20
SFO,16,15,346,532,3230,16,15,9,337,1125,9
TAM,16,15,322,503,2927,24,9,7,401,1804,11
TEN,16,15,390,598,4194,26,12,4,344,1201,8
WAS,16,15,285,458,2979,22,8,8,384,1716,10
ARI,15,14,348,499,3326,25,9,8,345,1600,17
ATL,15,14,317,470,3478,22,10,6,419,1818,15
BAL,15,14,332,491,3380,18,14,9,312,1198,10
BUF,15,14,318,502,3070,17,13,9,335,1486,10
CAR,15,14,309,468,2960,18,10,4,414,1830,16
CHI,15,14,259,393,2964,16,11,7,434,2014,24
CIN,15,14,289,482,3165,15,11,8,364,1535,11
CLE,15,14,278,447,2931,19,7,8,375,1863,17
DAL,15,14,290,452,2682,19,12,14,403,1863,7
DEN,15,14,309,491,2723,12,14,5,364,1603,8
DET,15,14,314,490,3711,23,10,8,384,1868,19
GNB,15,14,253,384,2592,19,11,5,416,2084,15
HOU,15,14,277,435,3100,13,10,9,480,2345,19
IND,15,14,298,442,2878,20,7,8,419,1732,16
JAX,15,14,321,495,3536,24,12,10,390,1654,14
KAN,15,14,335,505,3186,30,8,7,339,1474,8
LAC,15,14,269,433,2925,21,10,8,381,2038,15
