Team,week,games,cum_off_cmp,cum_off_pas_att,cum_off_pas_yds,cum_off_pas_tds,cum_off_int,cum_off_fmb,cum_off_rus_att,cum_off_rus_yds,cum_off_rus_tds
ARI,18,17,433,664,3626,17,17,8,434,1873,15
ATL,18,17,257,415,2699,17,9,12,559,2718,17
BAL,18,17,300,488,3040,19,13,8,526,2720,14
BUF,18,16,361,574,4129,35,14,13,430,2232,15
CAR,18,17,267,457,2996,16,13,8,483,2210,16
CHI,18,17,223,377,2219,19,15,10,558,3014,18
CIN,18,16,418,610,4240,35,12,6,399,1528,14
CLE,18,17,335,540,3444,19,12,9,532,2490,19
DAL,18,17,355,556,3736,28,18,5,531,2298,24
DEN,18,17,345,571,3592,18,15,9,444,1935,11
DET,18,17,383,588,4281,29,7,8,480,2179,23
GNB,18,17,364,563,3632,27,12,10,456,2113,12
HOU,18,17,352,579,3344,20,19,9,398,1476,7
IND,18,17,398,604,3432,17,20,14,439,1866,8
JAX,18,17,394,596,3959,25,9,13,448,2116,16
KAN,18,17,435,651,5062,41,12,11,417,1970,18
LAC,18,17,485,711,4584,26,10,9,404,1524,15
LAR,18,17,347,531,3108,16,15,8,411,1661,15
LVR,18,17,359,586,3934,28,17,4,428,2059,12
MIA,18,17,368,584,4511,30,15,6,390,1686,12
MIN,18,17,448,672,4484,30,15,8,404,1661,18
NOR,18,17,338,512,3692,24,14,11,465,1982,12
NWE,18,17,358,540,3536,19,14,9,425,1812,12
NYG,18,17,346,520,3157,17,6,10,520,2519,21
NYJ,18,17,357,627,3723,15,14,9,405,1686,13
PHI,18,17,350,536,4105,25,9,10,544,2509,32
PIT,18,17,364,571,3411,12,14,5,500,2073,16
SEA,18,17,399,573,3934,30,12,11,425,2042,12
SFO,18,17,338,512,3856,30,9,8,504,2360,20
TAM,18,17,499,751,4586,26,10,12,386,1308,5
TEN,18,17,285,456,2914,16,11,12,487,2131,16
WAS,18,17,344,554,3472,24,16,7,538,2143,9
ARI,17,16,413,637,3432,16,14,7,414,1812,14
ATL,17,16,238,385,2491,15,9,11,524,2544,16
BAL,17,16,281,444,2764,19,11,6,499,2610,13
BUF,17,15,342,543,3892,32,13,11,405,2142,15
CAR,17,16,262,442,2964,16,11,8,442,2039,16
CHI,17,16,210,350,2078,18,13,10,536,2896,17
CIN,17,15,393,568,4038,34,12,5,379,1473,13
CLE,17,16,316,511,3271,17,10,9,510,2356,19
DAL,17,16,341,518,3618,27,17,4,504,2234,24
DEN,17,16,332,547,3326,15,14,8,408,1730,10
DET,17,16,360,554,4062,29,7,8,455,2075,21
GNB,17,16,347,536,3444,26,11,9,428,2010,12
HOU,17,16,328,539,3043,17,17,8,375,1417,7
IND,17,16,375,569,3230,15,18,13,406,1670,7
JAX,17,16,374,564,3756,24,9,12,434,2097,16
KAN,17,16,417,625,4881,40,12,11,389,1802,15
LAC,17,16,455,667,4291,23,10,7,382,1465,15
LAR,17,16,334,505,2985,16,14,8,383,1515,14
LVR,17,16,337,550,3754,27,16,3,403,1960,12
MIA,17,16,348,553,4371,30,15,6,358,1524,12
MIN,17,16,420,639,4143,29,14,7,366,1520,16
NOR,17,16,323,487,3531,23,14,10,433,1839,12
NWE,17,16,332,500,3302,16,11,9,402,1705,12
NYG,17,16,323,480,3002,16,6,10,499,2390,20
NYJ,17,16,339,594,3574,15,14,9,385,1648,13
PHI,17,16,330,501,3898,25,8,10,510,2374,31
PIT,17,16,351,542,3222,11,14,4,463,1929,14
SEA,17,16,380,542,3729,29,10,11,389,1845,12
SFO,17,16,323,492,3714,27,9,8,467,2191,18
TAM,17,16,477,717,4450,24,10,11,366,1222,5
TEN,17,16,265,427,2749,15,10,11,448,1984,16
WAS,17,16,333,535,3314,23,15,7,497,1992,8
ARI,16,15,389,597,3219,15,14,7,387,1686,14
ATL,16,15,219,359,2325,15,9,10,490,2412,14
BAL,16,15,267,423,2644,18,10,6,471,2490,13
BUF,16,15,342,543,3892,32,13,11,405,2142,15
CAR,16,15,239,405,2638,13,10,6,420,1965,16
CHI,16,15,203,329,2048,17,12,9,514,2696,17
CIN,16,15,393,568,4038,34,12,5,379,1473,13
CLE,16,15,307,493,3116,14,10,9,480,2210,19
DAL,16,15,312,477,3344,25,15,3,472,2147,23
DEN,16,15,306,509,3136,14,13,7,384,1613,8
DET,16,15,339,525,3823,26,7,8,416,1810,19
GNB,16,15,330,509,3292,25,11,9,395,1847,10
HOU,16,15,303,495,2850,17,17,7,354,1333,7
IND,16,15,358,542,3106,14,17,13,379,1542,7
JAX,16,15,352,535,3588,24,7,12,405,1928,13
KAN,16,15,388,583,4553,37,11,10,373,1756,14
LAC,16,15,431,636,4052,21,10,7,351,1273,13
LAR,16,15,323,486,2874,16,14,7,357,1349,13
LVR,16,15,314,516,3389,24,14,3,371,1825,11
MIA,16,15,324,513,4124,28,13,6,331,1438,11
MIN,16,15,398,604,3899,27,11,6,346,1418,16
NOR,16,15,303,463,3347,23,13,10,398,1710,11
NWE,16,15,312,467,3129,14,11,9,381,1629,12
NYG,16,15,304,456,2825,14,6,9,462,2173,18
NYJ,16,15,316,548,3370,15,12,8,368,1573,13
PHI,16,15,312,469,3652,24,7,10,495,2307,31
PIT,16,15,336,515,3069,10,14,4,422,1731,14
SEA,16,15,362,513,3581,27,10,11,351,1647,12
SFO,16,15,301,457,3430,25,8,8,440,2021,16
TAM,16,15,443,672,4039,21,10,10,341,1155,4
TEN,16,15,245,388,2529,14,9,10,424,1887,16
WAS,16,15,317,507,3190,23,12,7,460,1856,7
ARI,15,14,364,551,3015,15,13,5,360,1565,13
ATL,15,14,197,326,2113,15,9,9,457,2297,14
BAL,15,14,258,406,2529,17,10,6,437,2306,13
BUF,15,14,327,517,3720,30,11,10,374,1888,12
CAR,15,14,224,383,2388,12,10,6,377,1645,13
