Rk,Season,Team,Cmp,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Att,Yds,Y/A,TD
1,2022,TAM,499,364,458,17,8,9,0,.471,313,358,-45,499,751,252,66.4,4586,26,10,3.5,1.3,89.8,22,160,2.85,6.1,5.93,6.20,6.02,9.2,364,570,63.9,3461,29,45,331,10,92.7,458,2052,4.5,12
2,2021,TAM,492,445,366,17,13,4,0,.765,511,353,158,492,731,239,67.3,5229,43,12,5.9,1.6,101.6,23,154,3.05,7.2,6.94,7.59,7.36,10.6,445,680,65.4,4062,26,47,285,17,85.6,366,1573,4.3,11
3,2022,LAC,485,310,457,17,10,7,0,.588,391,384,7,485,711,226,68.2,4584,26,10,3.7,1.4,93.3,39,207,5.20,6.4,6.11,6.55,6.21,9.5,310,505,61.4,3406,24,40,287,14,88.0,457,2478,5.4,17
4,2016,NOR,472,378,396,16,7,9,0,.438,469,454,15,472,674,202,70.0,5074,38,15,5.6,2.2,102.5,27,184,3.85,7.5,7.24,7.65,7.36,10.8,378,582,64.9,4380,27,30,213,9,98.1,396,1626,4.1,19
5,2011,NOR,472,362,351,16,13,3,0,.813,547,339,208,472,662,190,71.3,5347,46,14,6.9,2.1,110.5,24,158,3.50,8.1,7.79,8.52,8.22,11.3,362,626,57.8,4157,24,33,256,9,86.4,351,1738,5.0,11
6,2013,DEN,461,357,420,16,13,3,0,.813,606,399,207,461,675,214,68.3,5444,55,10,8.1,1.5,114.4,20,128,2.88,8.1,7.83,9.03,8.77,11.8,357,613,58.2,4070,29,41,290,17,84.5,420,1626,3.9,15
7,2024,CIN,460,372,479,17,9,8,0,.529,472,434,38,460,652,192,70.6,4640,43,9,6.6,1.4,108.5,48,278,6.86,7.1,6.63,7.81,7.28,10.1,372,573,64.9,3799,30,36,217,15,91.9,479,2122,4.4,20
8,2015,NOR,460,372,422,16,7,9,0,.438,408,476,-68,460,667,207,69.0,4970,32,12,4.8,1.8,100.6,32,235,4.58,7.5,7.11,7.60,7.25,10.8,372,544,68.4,4544,45,31,211,9,116.2,422,2071,4.9,12
9,2019,ATL,459,351,421,16,7,9,0,.438,381,399,-18,459,684,225,67.1,4714,29,15,4.2,2.2,93.8,50,335,6.81,6.9,6.42,6.75,6.29,10.3,351,536,65.5,3918,28,28,219,12,96.9,421,1775,4.2,13
10,2018,PIT,459,362,369,16,9,6,1,.594,428,360,68,459,689,230,66.6,5008,35,17,5.1,2.5,95.5,24,166,3.37,7.3,7.02,7.17,6.93,10.9,362,566,64.0,3697,27,52,347,8,95.2,369,1538,4.2,13
11,2014,NOR,456,341,442,16,7,9,0,.438,401,424,-23,456,659,203,69.2,4764,33,17,5.0,2.6,97.0,30,188,4.35,7.2,6.91,7.07,6.76,10.4,341,546,62.5,4019,26,34,188,12,92.9,442,2125,4.8,17
12,2010,IND,450,356,445,16,10,6,0,.625,435,388,47,450,679,229,66.3,4609,33,17,4.9,2.5,91.9,16,91,2.30,6.8,6.63,6.63,6.48,10.2,356,535,66.5,3433,22,30,194,10,91.7,445,2032,4.6,14
13,2010,NOR,450,306,421,16,11,5,0,.688,384,307,77,450,661,211,68.1,4441,33,22,5.0,3.3,90.8,26,195,3.78,6.7,6.46,6.22,5.98,9.9,306,494,61.9,3103,13,33,250,9,83.2,421,1797,4.3,13
14,2022,MIN,448,408,463,17,13,4,0,.765,424,427,-3,448,672,224,66.7,4484,30,15,4.5,2.2,93.1,47,334,6.54,6.7,6.24,6.56,6.13,10.0,408,617,66.1,4515,23,38,241,15,91.6,463,2093,4.5,18
15,2021,KAN,448,401,419,17,12,5,0,.706,480,364,116,448,675,227,66.4,4791,37,13,5.5,1.9,98.1,28,146,3.98,7.1,6.82,7.33,7.04,10.7,401,610,65.7,4273,27,31,209,15,92.0,419,1999,4.8,15
16,2013,NOR,446,304,387,16,11,5,0,.688,414,304,110,446,651,205,68.5,4918,39,12,6.0,1.8,104.5,37,244,5.38,7.6,7.15,7.92,7.50,11.0,304,507,60.0,3105,20,49,336,12,83.6,387,1786,4.6,11
17,2013,ATL,445,341,455,16,4,12,0,.250,353,443,-90,445,659,214,67.5,4243,26,17,3.9,2.6,89.5,44,298,6.26,6.4,6.04,6.07,5.69,9.5,341,516,66.1,3897,31,32,231,10,102.4,455,2173,4.8,14
18,2012,DET,445,346,420,16,4,12,0,.250,372,437,-65,445,740,295,60.1,4927,22,17,3.0,2.3,81.5,29,212,3.77,6.7,6.41,6.22,5.98,11.1,346,544,63.6,3569,26,34,237,11,91.7,420,1889,4.5,13
19,2021,DAL,444,364,429,17,12,5,0,.706,530,358,172,444,647,203,68.6,4800,40,11,6.2,1.7,104.8,33,163,4.85,7.4,7.06,7.89,7.51,10.8,364,612,59.5,4049,24,41,297,26,76.6,429,1918,4.5,13
20,2021,LAC,443,357,509,17,9,8,0,.529,474,459,15,443,674,231,65.7,4800,38,15,5.6,2.2,97.4,31,214,4.40,7.1,6.81,7.25,6.93,10.8,357,559,63.9,3761,27,35,231,11,93.0,509,2361,4.6,22
21,2015,SDG,442,328,417,16,4,12,0,.250,320,398,-78,442,667,225,66.3,4591,30,13,4.5,1.9,94.5,40,264,5.66,6.9,6.49,6.91,6.51,10.4,328,510,64.3,3786,22,32,222,11,93.8,417,2005,4.8,17
22,2007,NOR,440,327,408,16,7,9,0,.438,379,388,-9,440,652,212,67.5,4314,28,18,4.3,2.8,89.4,16,109,2.40,6.6,6.46,6.23,6.08,9.8,327,524,62.4,3924,32,32,198,13,96.9,408,1646,4.0,7
23,2016,BAL,439,369,384,16,8,8,0,.500,343,321,22,439,679,240,64.7,4100,20,16,2.9,2.4,82.6,33,243,4.63,6.0,5.76,5.57,5.31,9.3,369,578,63.8,3724,28,31,223,18,86.9,384,1430,3.7,10
24,2022,KAN,435,408,419,17,14,3,0,.824,496,369,127,435,651,216,66.8,5062,41,12,6.3,1.8,104.7,26,188,3.84,7.8,7.48,8.21,7.89,11.6,408,619,65.9,3756,33,55,388,11,95.3,419,1823,4.4,10
25,2012,DAL,434,320,441,16,8,8,0,.500,376,400,-24,434,658,224,66.0,4729,29,19,4.4,2.9,91.3,36,263,5.19,7.2,6.81,6.77,6.42,10.9,320,511,62.6,3684,22,34,211,7,94.7,441,2003,4.5,17
26,2022,ARI,433,414,446,17,4,13,0,.235,340,449,-109,433,664,231,65.2,3626,17,17,2.6,2.6,79.2,46,340,6.48,5.5,5.11,4.82,4.51,8.4,414,593,69.8,3915,29,36,266,11,98.2,446,2016,4.5,21
27,2018,IND,432,384,417,16,10,6,0,.625,433,344,89,432,644,212,67.1,4461,39,15,6.1,2.3,98.2,18,134,2.72,6.9,6.74,7.09,6.90,10.3,384,542,70.8,3805,21,38,228,15,93.5,417,1630,3.9,12
28,2021,LVR,429,400,462,17,10,7,0,.588,374,439,-65,429,628,199,68.3,4567,23,14,3.7,2.2,93.8,40,241,5.99,7.3,6.84,7.00,6.58,10.6,400,606,66.0,3789,29,35,207,6,96.4,462,1943,4.2,18
29,2023,DAL,428,308,459,17,12,5,0,.706,509,315,194,428,614,186,69.7,4397,36,10,5.9,1.6,104.6,40,263,6.12,7.2,6.72,7.60,7.14,10.3,308,509,60.5,3185,21,46,296,17,80.8,459,1910,4.2,14
30,2020,PIT,428,298,414,16,12,4,0,.750,416,312,104,428,656,228,65.2,4003,35,11,5.3,1.7,93.5,14,126,2.09,6.1,5.97,6.41,6.28,9.4,298,526,56.7,3110,22,56,384,18,76.7,414,1783,4.3,13
31,2018,ATL,428,398,409,16,7,9,0,.438,414,423,-9,428,617,189,69.4,4653,36,7,5.8,1.1,108.0,42,296,6.37,7.5,7.06,8.20,7.68,10.9,398,585,68.0,4153,33,37,255,15,98.3,409,1999,4.9,16
32,2015,BAL,426,350,418,16,5,11,0,.313,328,401,-73,426,676,250,63.0,4271,21,21,3.1,3.1,79.4,24,178,3.43,6.3,6.10,5.54,5.35,10.0,350,545,64.2,3737,30,37,220,6,99.6,418,1661,4.0,10
33,2021,PIT,425,355,498,17,9,7,1,.559,343,398,-55,425,664,239,64.0,3778,23,11,3.5,1.7,85.3,38,239,5.41,5.7,5.38,5.64,5.33,8.9,355,563,63.1,3656,24,55,321,13,88.7,498,2483,5.0,17
34,2018,MIN,425,315,440,16,8,7,1,.531,360,341,19,425,606,181,70.1,4036,30,10,5.0,1.7,99.7,40,262,6.19,6.7,6.25,6.91,6.48,9.5,315,503,62.6,3140,15,50,361,12,83.3,440,1815,4.1,13
35,2023,MIN,424,426,446,17,7,10,0,.412,344,362,-18,424,631,207,67.2,4359,30,19,4.8,3.0,92.4,47,341,6.93,6.9,6.43,6.50,6.05,10.3,426,606,70.3,3986,23,43,302,11,95.2,446,1678,3.8,14
36,2012,NOR,423,370,457,16,7,9,0,.438,461,454,7,423,671,248,63.0,4997,43,19,6.4,2.8,96.4,26,190,3.73,7.4,7.17,7.45,7.18,11.8,370,602,61.5,4681,31,30,194,15,93.8,457,2361,5.2,18
37,2011,DET,423,376,410,16,10,6,0,.625,474,387,87,423,666,243,63.5,4814,41,16,6.2,2.4,97.2,36,257,5.13,7.2,6.86,7.38,7.00,11.4,376,604,62.3,3831,26,41,271,21,82.1,410,2050,5.0,10
38,2018,PHI,422,417,332,16,9,7,0,.563,367,348,19,422,599,177,70.5,4275,29,11,4.8,1.8,100.7,40,249,6.26,7.1,6.69,7.28,6.82,10.1,417,626,66.6,4308,22,44,311,10,93.4,332,1551,4.7,14
39,2012,ATL,422,337,411,16,13,3,0,.813,419,299,120,422,615,193,68.6,4509,32,14,5.2,2.3,99.1,28,210,4.35,7.3,7.01,7.35,7.03,10.7,337,551,61.2,3878,14,29,182,20,77.1,411,1971,4.8,16
40,2023,KAN,421,340,432,17,11,6,0,.647,371,294,77,421,635,214,66.3,4188,28,17,4.4,2.7,89.6,28,195,4.22,6.6,6.32,6.27,6.01,9.9,340,556,61.2,3001,19,57,351,8,83.6,432,1925,4.5,10
41,2023,CIN,420,364,456,17,9,8,0,.529,366,384,-18,420,615,195,68.3,3895,27,14,4.4,2.3,93.0,50,362,7.52,6.3,5.86,6.19,5.72,9.3,364,555,65.6,4223,23,44,257,17,91.4,456,2145,4.7,17
42,2020,KAN,420,349,433,16,14,2,0,.875,473,362,111,420,630,210,66.7,4854,40,7,6.3,1.1,107.3,24,151,3.67,7.7,7.42,8.47,8.16,11.6,349,557,62.7,3779,29,32,189,16,89.4,433,1954,4.5,14
43,2015,DET,420,360,428,16,7,9,0,.438,358,400,-42,420,632,212,66.5,4212,33,14,5.2,2.2,95.1,44,251,6.51,6.7,6.23,6.71,6.28,10.0,360,528,68.2,3789,27,43,279,9,100.9,428,1808,4.2,18
44,2005,ARI,419,301,411,16,5,11,0,.313,311,387,-76,419,670,251,62.5,4437,21,21,3.1,3.1,81.0,45,286,6.29,6.6,6.21,5.84,5.47,10.6,301,488,61.7,3097,17,37,217,15,80.6,411,1632,4.0,22
