"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Justin Jefferson",MIN,"vs. DAL","4 out of 5 stars","A+","18.0"
"2","Stefon Diggs",BUF,"vs. CLE","4 out of 5 stars","A+","17.8"
"3","CeeDee Lamb",DAL,"at MIN","4 out of 5 stars","A+","16.2"
"4","Davante Adams",LV,"at DEN","2 out of 5 stars","A+","15.2"
"5","DeAndre Hopkins",ARI,"vs. SF","3 out of 5 stars","A+","15.0"
"6","Amon-Ra St. Brown",DET,"at NYG","2 out of 5 stars","A","14.9"
"7","A.J. Brown",PHI,"at IND","3 out of 5 stars","A","14.0"
"8","Tee Higgins",CIN,"at PIT","3 out of 5 stars","A","13.6"
"9","Terry McLaurin",WAS,"at HOU","3 out of 5 stars","A","13.5"
"10","Deebo Samuel",SF,"at ARI","3 out of 5 stars","A","12.7"
"11","Chris Olave",NO,"vs. LAR","3 out of 5 stars","A","12.3"
"12","Courtland Sutton",DEN,"vs. LV","4 out of 5 stars","A","12.1"
"13","Allen Lazard",GB,"vs. TEN","3 out of 5 stars","A-","12.0"
"14","Brandon Aiyuk",SF,"at ARI","3 out of 5 stars","A","11.8"
"15","Gabe Davis",BUF,"vs. CLE","4 out of 5 stars","A-","11.6"
"16","Tyler Boyd",CIN,"at PIT","3 out of 5 stars","A-","11.6"
"17","Amari Cooper",CLE,"at BUF","3 out of 5 stars","A-","11.6"
"18","Michael Pittman Jr.",IND,"vs. PHI","2 out of 5 stars","A-","11.5"
"19","DeVonta Smith",PHI,"at IND","3 out of 5 stars","A-","11.4"
"20","DJ Moore",CAR,"at BAL","2 out of 5 stars","B+","11.3"
"21","Jakobi Meyers",NE,"vs. NYJ","2 out of 5 stars","B+","10.8"
"22","Darnell Mooney",CHI,"at ATL","5 out of 5 stars","B","10.6"
"23","Rondale Moore",ARI,"vs. SF","3 out of 5 stars","B","10.5"
"24","Garrett Wilson",NYJ,"at NE","3 out of 5 stars","B","10.1"
"25","Diontae Johnson",PIT,"vs. CIN","2 out of 5 stars","B","9.8"
"26","Kadarius Toney",KC,"at LAC","3 out of 5 stars","B","9.7"
"27","Curtis Samuel",WAS,"at HOU","3 out of 5 stars","B-","9.2"
"28","Mike Williams",LAC,"vs. KC","4 out of 5 stars","B","8.5"
"29","Adam Thielen",MIN,"vs. DAL","4 out of 5 stars","B-","8.9"
"30","Christian Watson",GB,"vs. TEN","3 out of 5 stars","B-","8.7"
"31","George Pickens",PIT,"vs. CIN","2 out of 5 stars","B-","8.6"
"32","Allen Robinson II",LAR,"at NO","3 out of 5 stars","C+","8.4"
"33","Darius Slayton",NYG,"vs. DET","3 out of 5 stars","C+","8.4"
"34","Drake London",ATL,"vs. CHI","4 out of 5 stars","C+","8.4"
"35","Donovan Peoples-Jones",CLE,"at BUF","3 out of 5 stars","C+","8.4"
"36","Parris Campbell",IND,"vs. PHI","2 out of 5 stars","C+","8.3"
"37","Marquez Valdes-Scantling",KC,"at LAC","3 out of 5 stars","C+","7.8"
"38","Brandin Cooks",HOU,"vs. WAS","4 out of 5 stars","C+","7.7"
"39","Joshua Palmer",LAC,"vs. KC","4 out of 5 stars","C","8.1"
