"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jalen Hurts",PHI,"at NYG","3 out of 5 stars","A+","22.9"
"2","Josh Allen",BUF,"vs. NYJ","2 out of 5 stars","A","22.3"
"3","Patrick Mahomes II",KC,"at DEN","1 out of 5 stars","A","21.5"
"4","Joe Burrow",CIN,"vs. CLE","4 out of 5 stars","A","20.8"
"5","Justin Herbert",LAC,"vs. MIA","4 out of 5 stars","A","20.2"
"6","Tua Tagovailoa",MIA,"at LAC","4 out of 5 stars","A","19.7"
"7","Kyler Murray",ARI,"vs. NE","3 out of 5 stars","B+","19.2"
"8","Geno Smith",SEA,"vs. CAR","2 out of 5 stars","B","18.9"
"9","Dak Prescott",DAL,"vs. HOU","2 out of 5 stars","B","18.6"
"10","Kirk Cousins",MIN,"at DET","4 out of 5 stars","B","18.2"
"11","Jared Goff",DET,"vs. MIN","4 out of 5 stars","B","17.8"
"12","Derek Carr",LV,"at LAR","3 out of 5 stars","B-","17.4"
"13","Trevor Lawrence",JAC,"at TEN","3 out of 5 stars","C+","16.9"
"14","Deshaun Watson",CLE,"at CIN","2 out of 5 stars","C+","16.4"
"15","Tyler Huntley",BAL,"at PIT","4 out of 5 stars","C","16.0"
"16","Daniel Jones",NYG,"vs. PHI","1 out of 5 stars","C","15.6"
"17","Tom Brady",TB,"at SF","2 out of 5 stars","C","15.3"
"18","Mike White",NYJ,"at BUF","3 out of 5 stars","C-","15.1"
"19","Mac Jones",NE,"at ARI","4 out of 5 stars","C-","14.8"
"20","Ryan Tannehill",TEN,"vs. JAC","4 out of 5 stars","D+","14.6"
"21","Kenny Pickett",PIT,"vs. BAL","3 out of 5 stars","D","14.3"
"22","Russell Wilson",DEN,"vs. KC","4 out of 5 stars","D","13.9"
"23","Brock Purdy",SF,"vs. TB","3 out of 5 stars","D-","13.3"
"24","Sam Darnold",CAR,"at SEA","4 out of 5 stars","F","12.7"
"25","John Wolford",LAR,"vs. LV","5 out of 5 stars","F","12.1"
"26","Davis Mills",HOU,"at DAL","2 out of 5 stars","F","11.3"
"27","Baker Mayfield",LAR,"vs. LV","5 out of 5 stars","F","3.3"
"28","Bryce Perkins",LAR,"vs. LV","5 out of 5 stars","F","1.0"
"29","Kyle Allen",HOU,"at DAL","2 out of 5 stars","F","1.0"
"30","Malik Willis",TEN,"vs. JAC","4 out of 5 stars","F","1.0"
"31","Jacoby Brissett",CLE,"at CIN","2 out of 5 stars","F","0.9"
"32","Bailey Zappe",NE,"at ARI","4 out of 5 stars","F","0.9"
"33","Joe Flacco",NYJ,"at BUF","3 out of 5 stars","F","0.9"
"34","PJ Walker",CAR,"at SEA","4 out of 5 stars","F","0.9"
"35","C.J. Beathard",JAC,"at TEN","3 out of 5 stars","F","0.9"
"36","Lamar Jackson",BAL,"at PIT","4 out of 5 stars","F","0.9"
"37","Josh Johnson",SF,"vs. TB","3 out of 5 stars","F","0.9"
"38","Teddy Bridgewater",MIA,"at LAC","4 out of 5 stars","F","0.9"
"39","Case Keenum",BUF,"vs. NYJ","2 out of 5 stars","F","0.8"
"40","Gardner Minshew II",PHI,"at NYG","3 out of 5 stars","F","0.8"
