"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"at CIN","3 out of 5 stars","A+","25.1"
"2","Jalen Hurts",PHI,"vs. TEN","2 out of 5 stars","A","23.2"
"3","Josh Allen",BUF,"at NE","3 out of 5 stars","A","22.4"
"4","Joe Burrow",CIN,"vs. KC","4 out of 5 stars","A","21.6"
"5","Justin Herbert",LAC,"at LV","5 out of 5 stars","A","21.2"
"6","Lamar Jackson",BAL,"vs. DEN","2 out of 5 stars","B+","20.5"
"7","Dak Prescott",DAL,"vs. IND","3 out of 5 stars","B","19.8"
"8","Tua Tagovailoa",MIA,"at SF","2 out of 5 stars","B","19.1"
"9","Trevor Lawrence",JAC,"at DET","4 out of 5 stars","B","18.4"
"10","Justin Fields",CHI,"vs. GB","3 out of 5 stars","B-","17.8"
"11","Geno Smith",SEA,"at LAR","3 out of 5 stars","B","17.6"
"12","Deshaun Watson",CLE,"at HOU","2 out of 5 stars","B-","17.4"
"13","Derek Carr",LV,"vs. LAC","4 out of 5 stars","C+","17.2"
"14","Tom Brady",TB,"vs. NO","4 out of 5 stars","C+","17.1"
"15","Jimmy Garoppolo",SF,"vs. MIA","4 out of 5 stars","C","16.9"
"16","Kirk Cousins",MIN,"vs. NYJ","2 out of 5 stars","C","16.7"
"17","Jared Goff",DET,"vs. JAC","4 out of 5 stars","C-","16.5"
"18","Mike White",NYJ,"at MIN","3 out of 5 stars","C-","16.3"
"19","Aaron Rodgers",GB,"at CHI","3 out of 5 stars","D+","16.0"
"20","Marcus Mariota",ATL,"vs. PIT","4 out of 5 stars","D","15.6"
"21","Daniel Jones",NYG,"vs. WAS","4 out of 5 stars","D","15.2"
"22","Kenny Pickett",PIT,"at ATL","4 out of 5 stars","D-","14.7"
"23","Mac Jones",NE,"vs. BUF","3 out of 5 stars","F","14.3"
"24","Ryan Tannehill",TEN,"at PHI","1 out of 5 stars","F","13.9"
"25","Taylor Heinicke",WAS,"at NYG","2 out of 5 stars","F","13.7"
"26","Russell Wilson",DEN,"at BAL","2 out of 5 stars","F","13.5"
"27","Matt Ryan",IND,"at DAL","2 out of 5 stars","F","13.2"
"28","Andy Dalton",NO,"at TB","3 out of 5 stars","F","13.0"
"29","Kyle Allen",HOU,"vs. CLE","3 out of 5 stars","F","12.7"
"30","John Wolford",LAR,"vs. SEA","4 out of 5 stars","F","12.3"
"31","Bryce Perkins",LAR,"vs. SEA","4 out of 5 stars","F","5.6"
"32","Jordan Love",GB,"at CHI","3 out of 5 stars","F","1.3"
"33","Davis Mills",HOU,"vs. CLE","3 out of 5 stars","F","1.2"
"34","Jacoby Brissett",CLE,"at HOU","2 out of 5 stars","F","1.1"
"35","Nathan Peterman",CHI,"vs. GB","3 out of 5 stars","F","1.0"
"36","Jameis Winston",NO,"at TB","3 out of 5 stars","F","1.0"
"37","Carson Wentz",WAS,"at NYG","2 out of 5 stars","F","1.0"
"38","Joe Flacco",NYJ,"at MIN","3 out of 5 stars","F","0.9"
"39","Tyler Huntley",BAL,"vs. DEN","2 out of 5 stars","F","0.9"
