"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Justin Jefferson",MIN,"at DET","2 out of 5 stars","A+","18.7"
"2","Tyreek Hill",MIA,"at LAC","3 out of 5 stars","A+","18.5"
"3","Davante Adams",LV,"at LAR","4 out of 5 stars","A+","17.8"
"4","Amon-Ra St. Brown",DET,"vs. MIN","3 out of 5 stars","A+","17.4"
"5","Ja'Marr Chase",CIN,"vs. CLE","4 out of 5 stars","A+","16.8"
"6","Stefon Diggs",BUF,"vs. NYJ","3 out of 5 stars","A+","16.4"
"7","A.J. Brown",PHI,"at NYG","2 out of 5 stars","A","15.0"
"8","CeeDee Lamb",DAL,"vs. HOU","3 out of 5 stars","A","14.7"
"9","DeAndre Hopkins",ARI,"vs. NE","4 out of 5 stars","A","14.0"
"10","Tee Higgins",CIN,"vs. CLE","4 out of 5 stars","A","13.9"
"11","DK Metcalf",SEA,"vs. CAR","3 out of 5 stars","A","13.9"
"12","Jaylen Waddle",MIA,"at LAC","3 out of 5 stars","A","13.7"
"13","Keenan Allen",LAC,"vs. MIA","2 out of 5 stars","A","13.6"
"14","Tyler Lockett",SEA,"vs. CAR","3 out of 5 stars","A","13.5"
"15","Garrett Wilson",NYJ,"at BUF","3 out of 5 stars","A","13.2"
"16","Christian Kirk",JAC,"at TEN","3 out of 5 stars","A","13.1"
"17","Chris Godwin",TB,"at SF","3 out of 5 stars","A-","12.9"
"18","Amari Cooper",CLE,"at CIN","3 out of 5 stars","A-","12.4"
"19","DeVonta Smith",PHI,"at NYG","2 out of 5 stars","A-","12.4"
"20","Deebo Samuel",SF,"vs. TB","3 out of 5 stars","B+","12.1"
"21","Mike Evans",TB,"at SF","3 out of 5 stars","B+","12.0"
"22","DJ Moore",CAR,"at SEA","3 out of 5 stars","B+","11.6"
"23","Marquise Brown",ARI,"vs. NE","4 out of 5 stars","B+","11.4"
"24","JuJu Smith-Schuster",KC,"at DEN","2 out of 5 stars","B","11.3"
"25","Jerry Jeudy",DEN,"vs. KC","4 out of 5 stars","B","11.2"
"26","Gabe Davis",BUF,"vs. NYJ","3 out of 5 stars","B","10.4"
"27","Brandon Aiyuk",SF,"vs. TB","3 out of 5 stars","B","9.7"
"28","Adam Thielen",MIN,"at DET","2 out of 5 stars","B","9.5"
"29","Diontae Johnson",PIT,"vs. BAL","3 out of 5 stars","B-","9.2"
"30","Darius Slayton",NYG,"vs. PHI","2 out of 5 stars","B-","8.8"
"31","Zay Jones",JAC,"at TEN","3 out of 5 stars","B-","8.7"
"32","Joshua Palmer",LAC,"vs. MIA","2 out of 5 stars","B-","8.6"
"33","George Pickens",PIT,"vs. BAL","3 out of 5 stars","B-","8.3"
"34","Michael Gallup",DAL,"vs. HOU","3 out of 5 stars","C+","8.3"
"35","Donovan Peoples-Jones",CLE,"at CIN","3 out of 5 stars","C+","8.2"
"36","Mike Williams",LAC,"vs. MIA","2 out of 5 stars","C+","8.0"
"37","Tyler Boyd",CIN,"vs. CLE","4 out of 5 stars","C+","7.9"
"38","Mack Hollins",LV,"at LAR","4 out of 5 stars","C+","7.8"
"39","D.J. Chark Jr.",DET,"vs. MIN","3 out of 5 stars","C+","7.7"
"40","Marquez Valdes-Scantling",KC,"at DEN","2 out of 5 stars","C","7.7"
"41","Corey Davis",NYJ,"at BUF","3 out of 5 stars","C","7.5"
"42","Van Jefferson",LAR,"vs. LV","4 out of 5 stars","C","7.3"
"43","Isaiah McKenzie",BUF,"vs. NYJ","3 out of 5 stars","C","7.3"
"44","Robert Woods",TEN,"vs. JAC","3 out of 5 stars","C","7.2"
"45","Devin Duvernay",BAL,"at PIT","3 out of 5 stars","C","7.2"
"46","Julio Jones",TB,"at SF","3 out of 5 stars","C","7.2"
"47","DeVante Parker",NE,"at ARI","4 out of 5 stars","C","6.9"
"48","Demarcus Robinson",BAL,"at PIT","3 out of 5 stars","C","6.9"
"49","Chris Moore",HOU,"at DAL","4 out of 5 stars","C","6.8"
"50","Elijah Moore",NYJ,"at BUF","3 out of 5 stars","C","6.8"
"51","Nick Westbrook-Ikhine",TEN,"vs. JAC","3 out of 5 stars","C-","6.7"
"52","Marvin Jones Jr.",JAC,"at TEN","3 out of 5 stars","C-","6.2"
"53","Quez Watkins",PHI,"at NYG","2 out of 5 stars","C-","6.1"
"54","Kendall Hinton",DEN,"vs. KC","4 out of 5 stars","C-","6.1"
"55","Terrace Marshall Jr.",CAR,"at SEA","3 out of 5 stars","C-","5.9"
"56","K.J. Osborn",MIN,"at DET","2 out of 5 stars","D+","5.8"
"57","Richie James Jr.",NYG,"vs. PHI","2 out of 5 stars","D","5.8"
"58","Nelson Agholor",NE,"at ARI","4 out of 5 stars","D+","5.8"
"59","DeAndre Carter",LAC,"vs. MIA","2 out of 5 stars","D+","5.8"
"60","Trent Sherfield",MIA,"at LAC","3 out of 5 stars","D","5.8"
"61","Isaiah Hodgins",NYG,"vs. PHI","2 out of 5 stars","D","5.7"
"62","Skyy Moore",KC,"at DEN","2 out of 5 stars","D-","5.4"
"63","Tutu Atwell",LAR,"vs. LV","4 out of 5 stars","D","5.3"
"64","Phillip Dorsett II",HOU,"at DAL","4 out of 5 stars","D-","5.2"
"65","Ben Skowronek",LAR,"vs. LV","4 out of 5 stars","D-","5.1"
"66","Jameson Williams",DET,"vs. MIN","3 out of 5 stars","F","5.0"
"67","Marquise Goodwin",SEA,"vs. CAR","3 out of 5 stars","F","5.0"
"68","Josh Reynolds",DET,"vs. MIN","3 out of 5 stars","F","5.0"
"69","Noah Brown",DAL,"vs. HOU","3 out of 5 stars","F","4.8"
"70","Jauan Jennings",SF,"vs. TB","3 out of 5 stars","F","4.8"
"71","Brandon Powell",LAR,"vs. LV","4 out of 5 stars","F","4.7"
"72","Greg Dortch",ARI,"vs. NE","4 out of 5 stars","F","4.6"
"73","Justin Watson",KC,"at DEN","2 out of 5 stars","F","4.6"
"74","Kendrick Bourne",NE,"at ARI","4 out of 5 stars","F","4.5"
"75","Tyquan Thornton",NE,"at ARI","4 out of 5 stars","F","4.1"
"76","Laviska Shenault Jr.",CAR,"at SEA","3 out of 5 stars","F","4.1"
"77","Kalif Raymond",DET,"vs. MIN","3 out of 5 stars","F","4.1"
"78","DeSean Jackson",BAL,"at PIT","3 out of 5 stars","F","4.0"
"79","David Bell",CLE,"at CIN","3 out of 5 stars","F","4.0"
"80","Jamal Agnew",JAC,"at TEN","3 out of 5 stars","F","3.9"
"81","Keelan Cole Sr.",LV,"at LAR","4 out of 5 stars","F","3.9"
"82","Braxton Berrios",NYJ,"at BUF","3 out of 5 stars","F","3.9"
"83","Steven Sims Jr.",PIT,"vs. BAL","3 out of 5 stars","F","3.9"
"84","A.J. Green",ARI,"vs. NE","4 out of 5 stars","F","3.8"
"85","Russell Gage",TB,"at SF","3 out of 5 stars","F","3.8"
"86","Brandon Johnson",DEN,"vs. KC","4 out of 5 stars","F","3.7"
"87","Zach Pascal",PHI,"at NYG","2 out of 5 stars","F","3.7"
"88","Robbie Anderson",ARI,"vs. NE","4 out of 5 stars","F","3.7"
"89","Khalil Shakir",BUF,"vs. NYJ","3 out of 5 stars","F","3.7"
"90","Denzel Mims",NYJ,"at BUF","3 out of 5 stars","F","3.6"
"91","James Proche II",BAL,"at PIT","3 out of 5 stars","F","3.5"
"92","Montrell Washington",DEN,"vs. KC","4 out of 5 stars","F","3.4"
"93","Amari Rodgers",HOU,"at DAL","4 out of 5 stars","F","3.4"
"94","Cedrick Wilson Jr.",MIA,"at LAC","3 out of 5 stars","F","3.3"
"95","Jalen Reagor",MIN,"at DET","2 out of 5 stars","F","3.2"
"96","Scotty Miller",TB,"at SF","3 out of 5 stars","F","2.9"
"97","Shi Smith",CAR,"at SEA","3 out of 5 stars","F","2.9"
"98","Trenton Irwin",CIN,"vs. CLE","4 out of 5 stars","F","2.7"
"99","Ray-Ray McCloud",SF,"vs. TB","3 out of 5 stars","F","2.5"
"100","Michael Bandy",LAC,"vs. MIA","2 out of 5 stars","F","2.4"
"101","James Washington",DAL,"vs. HOU","3 out of 5 stars","F","2.4"
"102","Austin Trammell",LAR,"vs. LV","4 out of 5 stars","F","2.1"
"103","Kenny Golladay",NYG,"vs. PHI","2 out of 5 stars","F","2.1"
"104","Gunner Olszewski",PIT,"vs. BAL","3 out of 5 stars","F","2.0"
"105","Lance McCutcheon",LAR,"vs. LV","4 out of 5 stars","F","2.0"
"106","Laquon Treadwell",SEA,"vs. CAR","3 out of 5 stars","F","1.9"
"107","River Cracraft",MIA,"at LAC","3 out of 5 stars","F","1.8"
"108","Jalen Virgil",DEN,"vs. KC","4 out of 5 stars","F","1.8"
"109","Marcus Johnson",NYG,"vs. PHI","2 out of 5 stars","F","1.8"
"110","Chris Conley",TEN,"vs. JAC","3 out of 5 stars","F","1.7"
"111","Trent Taylor",CIN,"vs. CLE","4 out of 5 stars","F","1.4"
"112","Jalen Camp",HOU,"at DAL","4 out of 5 stars","F","1.2"
"113","Tyrie Cleveland",DEN,"vs. KC","4 out of 5 stars","F","-"
"114","Stanley Morgan Jr.",CIN,"vs. CLE","4 out of 5 stars","F","-"
"115","Tim Jones",JAC,"at TEN","3 out of 5 stars","F","-"
"116","Jalen Tolbert",DAL,"vs. HOU","3 out of 5 stars","F","-"
"117","John Brown",BUF,"vs. NYJ","3 out of 5 stars","F","-"
"118","Lawrence Cager",NYG,"vs. PHI","2 out of 5 stars","F","-"
"119","DJ Turner",LV,"at LAR","4 out of 5 stars","F","-"
"120","Dareke Young",SEA,"vs. CAR","3 out of 5 stars","F","-"
"121","Michael Woods II",CLE,"at CIN","3 out of 5 stars","F","-"
"122","KaVontae Turpin",DAL,"vs. HOU","3 out of 5 stars","F","-"
"123","Jalen Nailor",MIN,"at DET","2 out of 5 stars","F","-"
"124","Danny Gray",SF,"vs. TB","3 out of 5 stars","F","-"
"125","Jaelon Darden",CLE,"at CIN","3 out of 5 stars","F","-"
"126","Demetric Felton Jr.",CLE,"at CIN","3 out of 5 stars","F","-"
"127","Hunter Renfrow",LV,"at LAR","4 out of 5 stars","F","-"
"128","David Sills V",NYG,"vs. PHI","2 out of 5 stars","F","-"
"129","Miles Boykin",PIT,"vs. BAL","3 out of 5 stars","F","-"
"130","Britain Covey",PHI,"at NYG","2 out of 5 stars","F","-"
"131","Tom Kennedy",DET,"vs. MIN","3 out of 5 stars","F","-"
"132","Andre Baccellia",ARI,"vs. NE","4 out of 5 stars","F","-"
"133","Rashard Higgins",CAR,"at SEA","3 out of 5 stars","F","-"
