"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","San Francisco 49ers",SF,"vs. ARI","3 out of 5 stars","A+","11.5"
"2","Philadelphia Eagles",PHI,"vs. NYG","3 out of 5 stars","A","8.1"
"3","Dallas Cowboys",DAL,"at WAS","4 out of 5 stars","A-","7.7"
"4","Buffalo Bills",BUF,"vs. NE","4 out of 5 stars","B+","7.3"
"5","New York Jets",NYJ,"at MIA","2 out of 5 stars","B+","7.2"
"6","Jacksonville Jaguars",JAC,"vs. TEN","3 out of 5 stars","B","7.0"
"7","Los Angeles Chargers",LAC,"at DEN","5 out of 5 stars","B","6.9"
"8","Kansas City Chiefs",KC,"at LV","3 out of 5 stars","B","6.9"
"9","Seattle Seahawks",SEA,"vs. LAR","5 out of 5 stars","B","6.8"
"10","Cincinnati Bengals",CIN,"vs. BAL","2 out of 5 stars","B-","6.7"
"11","Cleveland Browns",CLE,"at PIT","3 out of 5 stars","C+","6.7"
"12","Miami Dolphins",MIA,"vs. NYJ","4 out of 5 stars","C+","6.7"
"13","Indianapolis Colts",IND,"vs. HOU","5 out of 5 stars","C+","6.7"
"14","Baltimore Ravens",BAL,"at CIN","2 out of 5 stars","C","6.6"
"15","New England Patriots",NE,"at BUF","2 out of 5 stars","C","6.4"
"16","Pittsburgh Steelers",PIT,"vs. CLE","3 out of 5 stars","C","6.4"
"17","Minnesota Vikings",MIN,"at CHI","4 out of 5 stars","C","6.4"
"18","Tampa Bay Buccaneers",TB,"at ATL","3 out of 5 stars","C-","6.2"
"19","New Orleans Saints",NO,"vs. CAR","3 out of 5 stars","C-","6.0"
"20","Houston Texans",HOU,"at IND","5 out of 5 stars","D+","5.9"
"21","Green Bay Packers",GB,"vs. DET","1 out of 5 stars","D+","5.7"
"22","Atlanta Falcons",ATL,"vs. TB","2 out of 5 stars","D-","5.6"
"23","Carolina Panthers",CAR,"at NO","4 out of 5 stars","D","5.6"
"24","Denver Broncos",DEN,"vs. LAC","3 out of 5 stars","F","5.5"
"25","Washington Commanders",WAS,"vs. DAL","1 out of 5 stars","F","5.5"
"26","Detroit Lions",DET,"at GB","3 out of 5 stars","F","5.4"
"27","Los Angeles Rams",LAR,"at SEA","3 out of 5 stars","F","5.3"
"28","Tennessee Titans",TEN,"at JAC","2 out of 5 stars","F","5.2"
"29","New York Giants",NYG,"at PHI","2 out of 5 stars","F","5.1"
"30","Chicago Bears",CHI,"vs. MIN","3 out of 5 stars","F","5.1"
"31","Arizona Cardinals",ARI,"at SF","2 out of 5 stars","F","5.0"
"32","Las Vegas Raiders",LV,"vs. KC","1 out of 5 stars","F","5.0"
