"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Justin Jefferson",MIN,"at CHI","4 out of 5 stars","A+","18.9"
"2","Ja'Marr Chase",CIN,"vs. BAL","3 out of 5 stars","A+","17.8"
"3","Davante Adams",LV,"vs. KC","3 out of 5 stars","A+","17.1"
"4","Stefon Diggs",BUF,"vs. NE","3 out of 5 stars","A+","15.8"
"5","CeeDee Lamb",DAL,"at WAS","3 out of 5 stars","A+","15.7"
"6","Tyreek Hill",MIA,"vs. NYJ","2 out of 5 stars","A","15.6"
"7","A.J. Brown",PHI,"vs. NYG","2 out of 5 stars","A","15.3"
"8","Amon-Ra St. Brown",DET,"at GB","3 out of 5 stars","A","15.0"
"9","Tee Higgins",CIN,"vs. BAL","3 out of 5 stars","A","14.6"
"10","DeVonta Smith",PHI,"vs. NYG","2 out of 5 stars","A","14.3"
"11","DK Metcalf",SEA,"vs. LAR","3 out of 5 stars","A","14.2"
"12","Keenan Allen",LAC,"at DEN","2 out of 5 stars","A","14.1"
"13","Garrett Wilson",NYJ,"at MIA","2 out of 5 stars","A","14.0"
"14","Amari Cooper",CLE,"at PIT","3 out of 5 stars","A","14.0"
"15","Christian Kirk",JAC,"vs. TEN","4 out of 5 stars","A-","13.9"
"16","Brandon Aiyuk",SF,"vs. ARI","4 out of 5 stars","A","13.5"
"17","Jaylen Waddle",MIA,"vs. NYJ","2 out of 5 stars","A-","13.4"
"18","DJ Moore",CAR,"at NO","3 out of 5 stars","A-","13.3"
"19","Mike Williams",LAC,"at DEN","2 out of 5 stars","A-","13.2"
"20","Chris Olave",NO,"vs. CAR","4 out of 5 stars","A-","13.2"
"21","JuJu Smith-Schuster",KC,"at LV","3 out of 5 stars","B+","13.1"
"22","Jerry Jeudy",DEN,"vs. LAC","2 out of 5 stars","B+","13.0"
"23","Terry McLaurin",WAS,"vs. DAL","4 out of 5 stars","B+","13.0"
"24","Christian Watson",GB,"vs. DET","3 out of 5 stars","B+","12.9"
"25","Allen Lazard",GB,"vs. DET","3 out of 5 stars","B","12.4"
"26","Michael Pittman Jr.",IND,"vs. HOU","3 out of 5 stars","B","12.0"
"27","Tyler Lockett",SEA,"vs. LAR","3 out of 5 stars","B","11.5"
"28","Drake London",ATL,"vs. TB","3 out of 5 stars","B","11.4"
"29","Zay Jones",JAC,"vs. TEN","4 out of 5 stars","B","11.0"
"30","Gabe Davis",BUF,"vs. NE","3 out of 5 stars","B-","10.9"
"31","Marquise Brown",ARI,"at SF","3 out of 5 stars","B-","9.9"
"32","Diontae Johnson",PIT,"vs. CLE","3 out of 5 stars","B-","9.8"
"33","Jakobi Meyers",NE,"at BUF","3 out of 5 stars","B-","9.6"
"34","Chris Godwin",TB,"at ATL","4 out of 5 stars","B-","9.4"
"35","Mike Evans",TB,"at ATL","4 out of 5 stars","C+","9.3"
"36","Courtland Sutton",DEN,"vs. LAC","2 out of 5 stars","C+","9.3"
"37","Jahan Dotson",WAS,"vs. DAL","4 out of 5 stars","C+","9.0"
"38","DJ Chark Jr.",DET,"at GB","3 out of 5 stars","C+","8.2"
"39","Donovan Peoples-Jones",CLE,"at PIT","3 out of 5 stars","C+","8.0"
"40","Brandin Cooks",HOU,"at IND","4 out of 5 stars","C","7.9"
"41","Rashid Shaheed",NO,"vs. CAR","4 out of 5 stars","C","7.9"
"42","George Pickens",PIT,"vs. CLE","3 out of 5 stars","C","7.5"
"43","Adam Thielen",MIN,"at CHI","4 out of 5 stars","C","7.4"
"44","Treylon Burks",TEN,"at JAC","3 out of 5 stars","C","7.3"
"45","Curtis Samuel",WAS,"vs. DAL","4 out of 5 stars","C","7.2"
"46","Michael Gallup",DAL,"at WAS","3 out of 5 stars","C","7.0"
"47","Van Jefferson",LAR,"at SEA","3 out of 5 stars","C","7.0"
"48","Tyler Boyd",CIN,"vs. BAL","3 out of 5 stars","C-","7.0"
"49","Corey Davis",NYJ,"at MIA","2 out of 5 stars","C-","6.6"
"50","Parris Campbell",IND,"vs. HOU","3 out of 5 stars","C-","6.6"
"51","Romeo Doubs",GB,"vs. DET","3 out of 5 stars","C-","6.5"
"52","Joshua Palmer",LAC,"at DEN","2 out of 5 stars","C-","6.1"
"53","K.J. Osborn",MIN,"at CHI","4 out of 5 stars","C-","6.0"
"54","Mack Hollins",LV,"vs. KC","3 out of 5 stars","D+","6.0"
"55","Marquez Valdes-Scantling",KC,"at LV","3 out of 5 stars","D+","6.0"
"56","Chris Moore",HOU,"at IND","4 out of 5 stars","D+","6.0"
"57","Greg Dortch",ARI,"at SF","3 out of 5 stars","D+","6.0"
"58","Kadarius Toney",KC,"at LV","3 out of 5 stars","D+","5.9"
"59","Russell Gage",TB,"at ATL","4 out of 5 stars","D+","5.8"
"60","Darius Slayton",NYG,"at PHI","2 out of 5 stars","D","5.6"
"61","Alec Pierce",IND,"vs. HOU","3 out of 5 stars","D","5.6"
"62","Marvin Jones Jr.",JAC,"vs. TEN","4 out of 5 stars","D","5.4"
"63","Elijah Moore",NYJ,"at MIA","2 out of 5 stars","D","5.4"
"64","Isaiah Hodgins",NYG,"at PHI","2 out of 5 stars","D-","5.2"
"65","Richie James Jr.",NYG,"at PHI","2 out of 5 stars","D-","5.2"
"66","Demarcus Robinson",BAL,"at CIN","3 out of 5 stars","D","5.1"
"67","Tyquan Thornton",NE,"at BUF","3 out of 5 stars","D","5.1"
"68","Isaiah McKenzie",BUF,"vs. NE","3 out of 5 stars","D-","5.1"
"69","Tutu Atwell",LAR,"at SEA","3 out of 5 stars","D","5.1"
"70","Terrace Marshall Jr.",CAR,"at NO","3 out of 5 stars","D-","5.1"
"71","Robert Woods",TEN,"at JAC","3 out of 5 stars","D-","5.0"
"72","Jauan Jennings",SF,"vs. ARI","4 out of 5 stars","F","5.0"
"73","Hunter Renfrow",LV,"vs. KC","3 out of 5 stars","F","5.0"
"74","Kendrick Bourne",NE,"at BUF","3 out of 5 stars","F","4.9"
"75","Chase Claypool",CHI,"vs. MIN","3 out of 5 stars","F","4.8"
"76","Randall Cobb",GB,"vs. DET","3 out of 5 stars","F","4.6"
"77","Noah Brown",DAL,"at WAS","3 out of 5 stars","F","4.6"
"78","Kalif Raymond",DET,"at GB","3 out of 5 stars","F","4.6"
"79","Olamide Zaccheaus",ATL,"vs. TB","3 out of 5 stars","F","4.5"
"80","Josh Reynolds",DET,"at GB","3 out of 5 stars","F","4.4"
"81","Quez Watkins",PHI,"vs. NYG","2 out of 5 stars","F","4.3"
"82","Trenton Irwin",CIN,"vs. BAL","3 out of 5 stars","F","4.2"
"83","T.Y. Hilton",DAL,"at WAS","3 out of 5 stars","F","4.1"
"84","Dante Pettis",CHI,"vs. MIN","3 out of 5 stars","F","4.1"
"85","Jameson Williams",DET,"at GB","3 out of 5 stars","F","4.0"
"86","Equanimeous St. Brown",CHI,"vs. MIN","3 out of 5 stars","F","4.0"
"87","Byron Pringle",CHI,"vs. MIN","3 out of 5 stars","F","4.0"
"88","Brandon Powell",LAR,"at SEA","3 out of 5 stars","F","4.0"
"89","Julio Jones",TB,"at ATL","4 out of 5 stars","F","3.8"
"90","Nick Westbrook-Ikhine",TEN,"at JAC","3 out of 5 stars","F","3.8"
"91","DeSean Jackson",BAL,"at CIN","3 out of 5 stars","F","3.8"
"92","Laviska Shenault Jr.",CAR,"at NO","3 out of 5 stars","F","3.7"
"93","Nelson Agholor",NE,"at BUF","3 out of 5 stars","F","3.7"
"94","Trent Sherfield",MIA,"vs. NYJ","2 out of 5 stars","F","3.5"
"95","Shi Smith",CAR,"at NO","3 out of 5 stars","F","3.5"
"96","Justin Watson",KC,"at LV","3 out of 5 stars","F","3.4"
"97","Phillip Dorsett II",HOU,"at IND","4 out of 5 stars","F","3.4"
"98","Laquon Treadwell",SEA,"vs. LAR","3 out of 5 stars","F","3.3"
"99","Kendall Hinton",DEN,"vs. LAC","2 out of 5 stars","F","3.3"
"100","Ray-Ray McCloud III",SF,"vs. ARI","4 out of 5 stars","F","3.2"
"101","DeAndre Carter",LAC,"at DEN","2 out of 5 stars","F","3.2"
"102","A.J. Green",ARI,"at SF","3 out of 5 stars","F","3.1"
"103","Skyy Moore",KC,"at LV","3 out of 5 stars","F","3.1"
"104","Scotty Miller",TB,"at ATL","4 out of 5 stars","F","3.0"
"105","Steven Sims Jr.",PIT,"vs. CLE","3 out of 5 stars","F","3.0"
"106","Sammy Watkins",BAL,"at CIN","3 out of 5 stars","F","2.9"
"107","Amari Rodgers",HOU,"at IND","4 out of 5 stars","F","2.8"
"108","David Bell",CLE,"at PIT","3 out of 5 stars","F","2.8"
