"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"at IND","3 out of 5 stars","A+","14.1"
"2","Mark Andrews",BAL,"at NE","3 out of 5 stars","A","13.7"
"3","Darren Waller",LV,"at TEN","2 out of 5 stars","A","10.3"
"4","Kyle Pitts",ATL,"at SEA","5 out of 5 stars","B+","9.4"
"5","Dallas Goedert",PHI,"at WAS","3 out of 5 stars","B+","8.9"
"6","Tyler Higbee",LAR,"at ARI","2 out of 5 stars","B","8.8"
"7","Zach Ertz",ARI,"vs. LAR","2 out of 5 stars","B","8.6"
"8","Pat Freiermuth",PIT,"at CLE","3 out of 5 stars","B","8.1"
"9","T.J. Hockenson",DET,"at MIN","2 out of 5 stars","B-","8.0"
"10","Gerald Everett",LAC,"vs. JAC","3 out of 5 stars","C+","7.7"
"11","Dawson Knox",BUF,"at MIA","4 out of 5 stars","C","7.0"
"12","Logan Thomas",WAS,"vs. PHI","4 out of 5 stars","C-","6.8"
"13","Hayden Hurst",CIN,"at NYJ","4 out of 5 stars","D+","6.6"
"14","George Kittle",SF,"at DEN","3 out of 5 stars","B-","6.5"
"15","Evan Engram",JAC,"at LAC","4 out of 5 stars","D+","6.4"
"16","Irv Smith Jr.",MIN,"vs. DET","3 out of 5 stars","D+","6.3"
"17","Tyler Conklin",NYJ,"vs. CIN","4 out of 5 stars","D","6.2"
"18","Robert Tonyan",GB,"at TB","3 out of 5 stars","D","6.0"
"19","Albert Okwuegbunam",DEN,"vs. SF","3 out of 5 stars","D","5.9"
"20","Hunter Henry",NE,"vs. BAL","3 out of 5 stars","D-","5.9"
"21","David Njoku",CLE,"vs. PIT","2 out of 5 stars","D-","5.9"
"22","Mike Gesicki",MIA,"vs. BUF","2 out of 5 stars","D-","5.8"
"23","Juwan Johnson",NO,"at CAR","3 out of 5 stars","F","5.8"
"24","Cole Kmet",CHI,"vs. HOU","4 out of 5 stars","F","5.7"
"25","Austin Hooper",TEN,"vs. LV","3 out of 5 stars","F","5.6"
"26","Noah Fant",SEA,"vs. ATL","5 out of 5 stars","F","4.6"
"27","Taysom Hill",NO,"at CAR","3 out of 5 stars","F","4.5"
"28","Cameron Brate",TB,"vs. GB","4 out of 5 stars","F","4.4"
"29","Jonnu Smith",NE,"vs. BAL","3 out of 5 stars","F","4.1"
"30","Kylen Granson",IND,"vs. KC","3 out of 5 stars","F","4.1"
"31","Isaiah Likely",BAL,"at NE","3 out of 5 stars","F","3.9"
"32","Harrison Bryant",CLE,"vs. PIT","2 out of 5 stars","F","3.9"
"33","Mo Alie-Cox",IND,"vs. KC","3 out of 5 stars","F","3.9"
"34","O.J. Howard",HOU,"at CHI","3 out of 5 stars","F","3.8"
"35","Will Dissly",SEA,"vs. ATL","5 out of 5 stars","F","3.8"
"36","Ian Thomas",CAR,"vs. NO","2 out of 5 stars","F","3.7"
"37","Dalton Schultz",DAL,"at NYG","2 out of 5 stars","F","3.4"
"38","Daniel Bellinger",NYG,"vs. DAL","3 out of 5 stars","F","3.4"
"39","Foster Moreau",LV,"at TEN","2 out of 5 stars","F","3.2"
"40","Jake Ferguson",DAL,"at NYG","2 out of 5 stars","F","3.1"
"41","Pharaoh Brown",HOU,"at CHI","3 out of 5 stars","F","3.1"
"42","Johnny Mundt",MIN,"vs. DET","3 out of 5 stars","F","3.0"
"43","Noah Gray",KC,"at IND","3 out of 5 stars","F","2.9"
"44","Durham Smythe",MIA,"vs. BUF","2 out of 5 stars","F","2.8"
"45","Geoff Swaim",TEN,"vs. LV","3 out of 5 stars","F","2.8"
"46","John Bates",WAS,"vs. PHI","4 out of 5 stars","F","2.8"
"47","Eric Saubert",DEN,"vs. SF","3 out of 5 stars","F","2.7"
"48","Tanner Hudson",NYG,"vs. DAL","3 out of 5 stars","F","2.6"
"49","Tre' McKitty",LAC,"vs. JAC","3 out of 5 stars","F","2.5"
"50","Parker Hesse",ATL,"at SEA","5 out of 5 stars","F","2.4"
"51","Jody Fortson",KC,"at IND","3 out of 5 stars","F","2.4"
"52","Colby Parkinson",SEA,"vs. ATL","5 out of 5 stars","F","2.3"
"53","Dan Arnold",JAC,"at LAC","4 out of 5 stars","F","2.3"
"54","Josiah Deguara",GB,"at TB","3 out of 5 stars","F","2.3"
"55","Brock Wright",DET,"at MIN","2 out of 5 stars","F","2.3"
"56","Tommy Tremble",CAR,"vs. NO","2 out of 5 stars","F","2.2"
"57","Ross Dwelley",SF,"at DEN","3 out of 5 stars","F","2.1"
"58","Zach Gentry",PIT,"at CLE","3 out of 5 stars","F","2.1"
"59","Peyton Hendershot",DAL,"at NYG","2 out of 5 stars","F","2.1"
"60","Anthony Firkser",ATL,"at SEA","5 out of 5 stars","F","1.9"
"61","Adam Trautman",NO,"at CAR","3 out of 5 stars","F","1.9"
"62","Chigoziem Okonkwo",TEN,"vs. LV","3 out of 5 stars","F","1.9"
"63","Jeremy Ruckert",NYJ,"vs. CIN","4 out of 5 stars","F","1.8"
"64","Cade Otton",TB,"vs. GB","4 out of 5 stars","F","1.7"
"65","Josh Oliver",BAL,"at NE","3 out of 5 stars","F","1.6"
"66","Tyler Davis",GB,"at TB","3 out of 5 stars","F","1.6"
"67","Eric Tomlinson",DEN,"vs. SF","3 out of 5 stars","F","1.6"
"68","Marcedes Lewis",GB,"at TB","3 out of 5 stars","F","1.6"
"69","Jack Stoll",PHI,"at WAS","3 out of 5 stars","F","1.6"
"70","Maxx Williams",ARI,"vs. LAR","2 out of 5 stars","F","1.6"
"71","Donald Parham Jr.",LAC,"vs. JAC","3 out of 5 stars","F","1.6"
"72","Chris Myarick",NYG,"vs. DAL","3 out of 5 stars","F","1.5"
"73","Stephen Anderson",ARI,"vs. LAR","2 out of 5 stars","F","1.5"
"74","Andrew Beck",DEN,"vs. SF","3 out of 5 stars","F","1.5"
"75","Jelani Woods",IND,"vs. KC","3 out of 5 stars","F","1.5"
"76","C.J. Uzomah",NYJ,"vs. CIN","4 out of 5 stars","F","1.4"
"77","Chris Manhertz",JAC,"at LAC","4 out of 5 stars","F","1.4"
"78","Giovanni Ricci",CAR,"vs. NO","2 out of 5 stars","F","1.3"
"79","Tommy Sweeney",BUF,"at MIA","4 out of 5 stars","F","1.3"
"80","Mitchell Wilcox",CIN,"at NYJ","4 out of 5 stars","F","1.3"
"81","Charlie Woerner",SF,"at DEN","3 out of 5 stars","F","1.3"
"82","Armani Rogers",WAS,"vs. PHI","4 out of 5 stars","F","1.3"
"83","Ko Kieft",TB,"vs. GB","4 out of 5 stars","F","1.3"
"84","Trey McBride",ARI,"vs. LAR","2 out of 5 stars","F","1.3"
"85","Quintin Morris",BUF,"at MIA","4 out of 5 stars","F","1.3"
"86","Trevon Wesco",CHI,"vs. HOU","4 out of 5 stars","F","1.2"
"87","Mason Schreck",HOU,"at CHI","3 out of 5 stars","F","1.2"
"88","Stephen Sullivan",CAR,"vs. NO","2 out of 5 stars","F","1.1"
"89","Jordan Akins",HOU,"at CHI","3 out of 5 stars","F","1.1"
"90","Ben Ellefson",MIN,"vs. DET","3 out of 5 stars","F","1.1"
"91","Richard Rodgers",LAC,"vs. JAC","3 out of 5 stars","F","1.1"
"92","Shane Zylstra",DET,"at MIN","2 out of 5 stars","F","1.0"
"93","Kyle Rudolph",TB,"vs. GB","4 out of 5 stars","F","1.0"
"94","Noah Togiai",PHI,"at WAS","3 out of 5 stars","F","1.0"
"95","Luke Farrell",JAC,"at LAC","4 out of 5 stars","F","1.0"
"96","Jesper Horsted",LV,"at TEN","2 out of 5 stars","F","0.9"
"97","Jake Tonges",CHI,"vs. HOU","4 out of 5 stars","F","0.9"
"98","Brycen Hopkins",LAR,"at ARI","2 out of 5 stars","F","0.8"
"99","Devin Asiasi",CIN,"at NYJ","4 out of 5 stars","F","0.8"
"100","Connor Heyward",PIT,"at CLE","3 out of 5 stars","F","0.6"
"101","Kendall Blanton",LAR,"at ARI","2 out of 5 stars","F","0.6"
"102","Kevin Rader",TEN,"vs. LV","3 out of 5 stars","F","0.6"
"103","Miller Forristall",CLE,"vs. PIT","2 out of 5 stars","F","0.5"
"104","Nick Boyle",BAL,"at NE","3 out of 5 stars","F","0.2"
"105","Nick Vannett",NO,"at CAR","3 out of 5 stars","F","-"
