"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Saquon Barkley",NYG,"at GB","3 out of 5 stars","A+","18.7"
"2","Nick Chubb",CLE,"vs. LAC","4 out of 5 stars","A+","17.8"
"3","Derrick Henry",TEN,"at WAS","2 out of 5 stars","A+","16.9"
"4","Austin Ekeler",LAC,"at CLE","4 out of 5 stars","A","16.4"
"5","Christian McCaffrey",CAR,"vs. SF","2 out of 5 stars","A","16.4"
"6","Dalvin Cook",MIN,"vs. CHI","2 out of 5 stars","A","15.6"
"7","Aaron Jones",GB,"vs. NYG","3 out of 5 stars","A","15.4"
"8","Joe Mixon",CIN,"at BAL","4 out of 5 stars","A","15.0"
"9","Leonard Fournette",TB,"vs. ATL","4 out of 5 stars","A","14.6"
"10","Jamaal Williams",DET,"at NE","2 out of 5 stars","A-","14.1"
"11","James Robinson",JAC,"vs. HOU","4 out of 5 stars","A-","14.1"
"12","Alvin Kamara",NO,"vs. SEA","4 out of 5 stars","A-","13.8"
"13","Josh Jacobs",LV,"at KC","4 out of 5 stars","B+","13.7"
"14","Miles Sanders",PHI,"at ARI","4 out of 5 stars","B+","13.4"
"15","Dameon Pierce",HOU,"at JAC","2 out of 5 stars","B+","13.3"
"16","Clyde Edwards-Helaire",KC,"vs. LV","3 out of 5 stars","B","13.3"
"17","Jeff Wilson Jr.",SF,"at CAR","2 out of 5 stars","B","13.2"
"18","Damien Harris",NE,"vs. DET","5 out of 5 stars","B","13.1"
"19","Khalil Herbert",CHI,"at MIN","3 out of 5 stars","B","13.0"
"20","Najee Harris",PIT,"at BUF","2 out of 5 stars","B","12.8"
"21","Rhamondre Stevenson",NE,"vs. DET","5 out of 5 stars","B","12.3"
"22","Melvin Gordon III",DEN,"vs. IND","2 out of 5 stars","B","11.3"
"23","J.K. Dobbins",BAL,"vs. CIN","2 out of 5 stars","B-","11.3"
"24","James Conner",ARI,"vs. PHI","4 out of 5 stars","B-","11.3"
"25","Breece Hall",NYJ,"vs. MIA","2 out of 5 stars","B-","11.2"
"26","AJ Dillon",GB,"vs. NYG","3 out of 5 stars","C+","11.2"
"27","Devin Singletary",BUF,"vs. PIT","2 out of 5 stars","C+","11.1"
"28","Rashaad Penny",SEA,"at NO","3 out of 5 stars","C+","10.8"
"29","Nyheim Hines",IND,"at DEN","4 out of 5 stars","C","10.5"
"30","Ezekiel Elliott",DAL,"at LAR","2 out of 5 stars","C","10.5"
"31","Kareem Hunt",CLE,"vs. LAC","4 out of 5 stars","C","10.1"
"32","Antonio Gibson",WAS,"vs. TEN","4 out of 5 stars","C","10.0"
"33","Raheem Mostert",MIA,"at NYJ","4 out of 5 stars","C","9.4"
"34","Tyler Allgeier",ATL,"at TB","2 out of 5 stars","C","9.0"
"35","Travis Etienne Jr.",JAC,"vs. HOU","4 out of 5 stars","C","8.8"
"36","Cam Akers",LAR,"vs. DAL","5 out of 5 stars","C-","8.8"
"37","Tony Pollard",DAL,"at LAR","2 out of 5 stars","C-","8.5"
"38","Darrell Henderson Jr.",LAR,"vs. DAL","5 out of 5 stars","C-","8.3"
"39","Chase Edmonds",MIA,"at NYJ","4 out of 5 stars","D+","8.3"
"40","Michael Carter",NYJ,"vs. MIA","2 out of 5 stars","D","7.8"
"41","Mike Boone",DEN,"vs. IND","2 out of 5 stars","D+","7.6"
"42","J.D. McKissic",WAS,"vs. TEN","4 out of 5 stars","D","7.4"
"43","Rachaad White",TB,"vs. ATL","4 out of 5 stars","D","6.8"
"44","Alexander Mattison",MIN,"vs. CHI","2 out of 5 stars","D-","6.6"
"45","Rex Burkhead",HOU,"at JAC","2 out of 5 stars","D-","6.5"
"46","Mark Ingram II",NO,"vs. SEA","4 out of 5 stars","D-","6.2"
"47","Isiah Pacheco",KC,"vs. LV","3 out of 5 stars","F","6.2"
"48","Kenneth Gainwell",PHI,"at ARI","4 out of 5 stars","F","5.3"
"49","Ken Walker III",SEA,"at NO","3 out of 5 stars","F","5.3"
"50","Dontrell Hilliard",TEN,"at WAS","2 out of 5 stars","F","5.2"
"51","Jerick McKinnon",KC,"vs. LV","3 out of 5 stars","F","4.9"
"52","Eno Benjamin",ARI,"vs. PHI","4 out of 5 stars","F","4.7"
"53","Caleb Huntley",ATL,"at TB","2 out of 5 stars","F","4.6"
"54","Craig Reynolds",DET,"at NE","2 out of 5 stars","F","4.5"
"55","Samaje Perine",CIN,"at BAL","4 out of 5 stars","F","4.3"
"56","Zack Moss",BUF,"vs. PIT","2 out of 5 stars","F","4.0"
"57","Phillip Lindsay",IND,"at DEN","4 out of 5 stars","F","4.0"
"58","Sony Michel",LAC,"at CLE","4 out of 5 stars","F","4.0"
"59","Jaylen Warren",PIT,"at BUF","2 out of 5 stars","F","3.8"
"60","Brian Robinson Jr.",WAS,"vs. TEN","4 out of 5 stars","F","3.6"
"61","Deon Jackson",IND,"at DEN","4 out of 5 stars","F","3.6"
"62","James Cook",BUF,"vs. PIT","2 out of 5 stars","F","3.3"
"63","Brandon Bolden",LV,"at KC","4 out of 5 stars","F","3.3"
"64","Joshua Kelley",LAC,"at CLE","4 out of 5 stars","F","3.2"
"65","Darrel Williams",ARI,"vs. PHI","4 out of 5 stars","F","3.0"
"66","Trestan Ebner",CHI,"at MIN","3 out of 5 stars","F","2.9"
"67","Kyle Juszczyk",SF,"at CAR","2 out of 5 stars","F","2.9"
"68","David Montgomery",CHI,"at MIN","3 out of 5 stars","F","2.7"
"69","Matt Breida",NYG,"at GB","3 out of 5 stars","F","2.7"
"70","D'Onta Foreman",CAR,"vs. SF","2 out of 5 stars","F","2.6"
"71","Chuba Hubbard",CAR,"vs. SF","2 out of 5 stars","F","2.6"
"72","Avery Williams",ATL,"at TB","2 out of 5 stars","F","2.4"
"73","Jordan Mason",SF,"at CAR","2 out of 5 stars","F","2.3"
"74","Zamir White",LV,"at KC","4 out of 5 stars","F","2.2"
"75","Justin Jackson",DET,"at NE","2 out of 5 stars","F","2.2"
"76","DeeJay Dallas",SEA,"at NO","3 out of 5 stars","F","2.0"
"77","Mike Davis",BAL,"vs. CIN","2 out of 5 stars","F","2.0"
"78","Zander Horvath",LAC,"at CLE","4 out of 5 stars","F","1.9"
"79","Ameer Abdullah",LV,"at KC","4 out of 5 stars","F","1.9"
"80","Patrick Ricard",BAL,"vs. CIN","2 out of 5 stars","F","1.8"
"81","Jonathan Williams",WAS,"vs. TEN","4 out of 5 stars","F","1.8"
"82","Hassan Haskins",TEN,"at WAS","2 out of 5 stars","F","1.8"
"83","C.J. Ham",MIN,"vs. CHI","2 out of 5 stars","F","1.8"
"84","Alec Ingold",MIA,"at NYJ","4 out of 5 stars","F","1.8"
"85","Boston Scott",PHI,"at ARI","4 out of 5 stars","F","1.7"
"86","Chris Evans",CIN,"at BAL","4 out of 5 stars","F","1.7"
"87","Reggie Gilliam",BUF,"vs. PIT","2 out of 5 stars","F","1.7"
"88","Gary Brightwell",NYG,"at GB","3 out of 5 stars","F","1.7"
"89","Dwayne Washington",NO,"vs. SEA","4 out of 5 stars","F","1.7"
"90","D'Ernest Johnson",CLE,"vs. LAC","4 out of 5 stars","F","1.6"
"91","Trey Sermon",PHI,"at ARI","4 out of 5 stars","F","1.5"
"92","Tevin Coleman",SF,"at CAR","2 out of 5 stars","F","1.5"
"93","Marlon Mack",SF,"at CAR","2 out of 5 stars","F","1.5"
"94","Ty Johnson",NYJ,"vs. MIA","2 out of 5 stars","F","1.4"
"95","Kenyan Drake",BAL,"vs. CIN","2 out of 5 stars","F","1.4"
"96","JaMycal Hasty",JAC,"vs. HOU","4 out of 5 stars","F","1.4"
"97","Benny Snell Jr.",PIT,"at BUF","2 out of 5 stars","F","1.3"
"98","Ke'Shawn Vaughn",TB,"vs. ATL","4 out of 5 stars","F","1.3"
"99","Devine Ozigbo",DEN,"vs. IND","2 out of 5 stars","F","1.2"
"100","Michael Burton",KC,"vs. LV","3 out of 5 stars","F","1.1"
"101","Gus Edwards",BAL,"vs. CIN","2 out of 5 stars","F","1.1"
"102","Demetric Felton Jr.",CLE,"vs. LAC","4 out of 5 stars","F","1.1"
"103","Keith Smith",ATL,"at TB","2 out of 5 stars","F","1.0"
"104","Jakob Johnson",LV,"at KC","4 out of 5 stars","F","0.9"
"105","Rico Dowdle",DAL,"at LAR","2 out of 5 stars","F","0.8"
"106","Ty Chandler",MIN,"vs. CHI","2 out of 5 stars","F","0.8"
"107","Darrynton Evans",CHI,"at MIN","3 out of 5 stars","F","0.6"
"108","Khari Blasingame",CHI,"at MIN","3 out of 5 stars","F","0.2"
"109","Myles Gaskin",MIA,"at NYJ","4 out of 5 stars","F","-"
"110","Brittain Brown",LV,"at KC","4 out of 5 stars","F","-"
"111","Kene Nwangwu",MIN,"vs. CHI","2 out of 5 stars","F","-"
"112","Pierre Strong Jr.",NE,"vs. DET","5 out of 5 stars","F","-"
"113","Dare Ogunbowale",HOU,"at JAC","2 out of 5 stars","F","-"
"114","Snoop Conner",JAC,"vs. HOU","4 out of 5 stars","F","-"
"115","Derek Watt",PIT,"at BUF","2 out of 5 stars","F","-"
"116","Tory Carter",TEN,"at WAS","2 out of 5 stars","F","-"
"117","Ronald Jones II",KC,"vs. LV","3 out of 5 stars","F","-"
"118","Malcolm Brown",LAR,"vs. DAL","5 out of 5 stars","F","-"
"119","Isaiah Spiller",LAC,"at CLE","4 out of 5 stars","F","-"
"120","Adam Prentice",NO,"vs. SEA","4 out of 5 stars","F","-"
"121","Salvon Ahmed",MIA,"at NYJ","4 out of 5 stars","F","-"
