"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Drake Maye",NE,"at CIN","Coach Upside rating","Coach Bust rating","5 out of 5 stars","A+","23.4"
"2","Lamar Jackson",BAL,"vs. NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","22.1"
"3","Josh Allen",BUF,"at HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","21.6"
"4","Patrick Mahomes II",KC,"vs. IND","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","20.8"
"5","Jalen Hurts",PHI,"at DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars","A","20.3"
"6","Matthew Stafford",LAR,"vs. TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","A-","19.8"
"7","Jared Goff",DET,"vs. NYG","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","19.2"
"8","Brock Purdy",SF,"vs. CAR","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","18.7"
"9","Jacoby Brissett",ARI,"vs. JAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","18.2"
"10","Dak Prescott",DAL,"vs. PHI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","17.8"
"11","Caleb Williams",CHI,"vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","17.5"
"12","Daniel Jones",IND,"at KC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B-","17.1"
"13","Sam Darnold",SEA,"at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","16.8"
"14","Baker Mayfield",TB,"at LAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C","16.6"
"15","Trevor Lawrence",JAC,"at ARI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","16.3"
"16","Jordan Love",GB,"vs. MIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","16.0"
"17","Bryce Young",CAR,"at SF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C-","15.8"
"18","Joe Flacco",CIN,"vs. NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D+","15.5"
"19","Tyler Shough",NO,"vs. ATL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D","15.1"
"20","Davis Mills",HOU,"vs. BUF","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D","14.7"
"21","J.J. McCarthy",MIN,"at GB","Coach Upside rating","Coach Bust rating","2 out of 5 stars","D","14.3"
"22","Tyrod Taylor",NYJ,"at BAL","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","13.9"
"23","Geno Smith",LV,"vs. CLE","Coach Upside rating","Coach Bust rating","2 out of 5 stars","F","13.5"
"24","Mason Rudolph",PIT,"at CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars","F","13.1"
"25","Kirk Cousins",ATL,"at NO","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","12.6"
"26","Shedeur Sanders",CLE,"at LV","Coach Upside rating","Coach Bust rating","2 out of 5 stars","F","12.0"
""
"27","Cam Ward",TEN,"vs. SEA","Coach Upside rating","Coach Bust rating","2 out of 5 stars","F","11.3"
"28","Jameis Winston",NYG,"at DET","Coach Upside rating","Coach Bust rating","3 out of 5 stars","F","10.4"
"29","Aaron Rodgers",PIT,"at CHI","Coach Upside rating","Coach Bust rating","5 out of 5 stars","F","5.2"
"30","Justin Fields",NYJ,"at BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.8"
"31","Jalen Milroe",SEA,"at TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.7"
"32","Andy Dalton",CAR,"at SF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.6"
"33","Tyler Huntley",BAL,"vs. NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.6"
"34","Aidan O'Connell",LV,"vs. CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.6"
"35","Max Brosmer",MIN,"at GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"36","Malik Willis",GB,"vs. MIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.5"
"37","Joshua Dobbs",NE,"at CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","F","0.5"
"38","Jimmy Garoppolo",LAR,"vs. TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"39","Mac Jones",SF,"vs. CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.5"
"40","Mitchell Trubisky",BUF,"at HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"41","Spencer Rattler",NO,"vs. ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.5"
"42","Joe Milton III",DAL,"vs. PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.5"
"43","Tyson Bagent",CHI,"vs. PIT","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.4"
"44","Tanner McKee",PHI,"at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","F","0.4"
"45","Nick Mullens",JAC,"at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.4"
"46","Riley Leonard",IND,"at KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.4"
"47","Kyle Trask",ATL,"at NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.4"
"48","Russell Wilson",NYG,"at DET","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.4"
"49","Brandon Allen",TEN,"vs. SEA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.4"
"50","Jake Browning",CIN,"vs. NE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.3"
"51","Cooper Rush",BAL,"vs. NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.3"
"52","Brett Rypien",IND,"at KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.3"
"53","Will Howard",PIT,"at CHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","F","0.2"
"54","Sam Howell",PHI,"at DAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","F","0.1"
"55","Gardner Minshew II",KC,"vs. IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
"56","Drew Lock",SEA,"at TEN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.0"
"57","Case Keenum",CHI,"vs. PIT","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
"58","Jake Haener",NO,"vs. ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","F","0.0"
"59","Trevor Siemian",TEN,"vs. SEA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.0"
"60","Tommy DeVito",NE,"at CIN","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","F","0.0"
"61","Shane Buechele",BUF,"at HOU","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.0"
"62","Jeff Driskel",ARI,"vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
"63","Graham Mertz",HOU,"vs. BUF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","0.0"
"64","Teddy Bridgewater",TB,"at LAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","0.0"
