"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Trey McBride",ARI,"at TB","4 out of 5 stars","A+","13.7"
"2","Brock Bowers",LV,"at LAC","5 out of 5 stars","A","11.6"
"3","George Kittle",SF,"at CLE","2 out of 5 stars","A","10.9"
"4","Travis Kelce",KC,"at DAL","4 out of 5 stars","A-","10.1"
"5","Tyler Warren",IND,"vs. HOU","2 out of 5 stars","B+","9.7"
"6","Mark Andrews",BAL,"vs. CIN","4 out of 5 stars","B","9.0"
"7","Oronde Gadsden II",LAC,"vs. LV","3 out of 5 stars","B","8.8"
"8","Jake Ferguson",DAL,"vs. KC","3 out of 5 stars","B","8.8"
"9","Hunter Henry",NE,"vs. NYG","2 out of 5 stars","B-","8.7"
"10","Dallas Goedert",PHI,"vs. CHI","4 out of 5 stars","C+","8.3"
"11","Kyle Pitts Sr.",ATL,"at NYJ","3 out of 5 stars","C+","8.0"
"12","Juwan Johnson",NO,"at MIA","4 out of 5 stars","C","7.7"
"13","Theo Johnson",NYG,"at NE","4 out of 5 stars","C-","7.6"
"14","Brenton Strange",JAC,"at TEN","3 out of 5 stars","C-","7.4"
"15","Dalton Schultz",HOU,"at IND","4 out of 5 stars","C-","7.3"
"16","Harold Fannin Jr.",CLE,"vs. SF","3 out of 5 stars","D+","7.0"
"17","Colston Loveland",CHI,"at PHI","1 out of 5 stars","D+","6.8"
"18","AJ Barner",SEA,"vs. MIN","3 out of 5 stars","D","6.8"
"19","Zach Ertz",WAS,"vs. DEN","3 out of 5 stars","D","6.6"
"20","Cade Otton",TB,"vs. ARI","3 out of 5 stars","D","6.3"
"21","Isaiah Likely",BAL,"vs. CIN","4 out of 5 stars","D-","6.3"
"22","Mike Gesicki",CIN,"at BAL","3 out of 5 stars","D-","6.2"
"23","Mason Taylor",NYJ,"vs. ATL","2 out of 5 stars","F","6.1"
"24","Evan Engram",DEN,"at WAS","4 out of 5 stars","F","5.9"
"25","T.J. Hockenson",MIN,"at SEA","4 out of 5 stars","F","5.7"
"26","Taysom Hill",NO,"at MIA","4 out of 5 stars","F","5.7"
""
"27","Dawson Knox",BUF,"at PIT","4 out of 5 stars","F","5.6"
"28","Gunnar Helm",TEN,"vs. JAC","4 out of 5 stars","F","5.5"
"29","David Njoku",CLE,"vs. SF","3 out of 5 stars","F","5.3"
"30","Brock Wright",DET,"vs. GB","3 out of 5 stars","F","5.0"
"31","Colby Parkinson",LAR,"at CAR","4 out of 5 stars","F","5.0"
"32","Chig Okonkwo",TEN,"vs. JAC","4 out of 5 stars","F","4.9"
"33","Darnell Washington",PIT,"vs. BUF","4 out of 5 stars","F","4.6"
"34","Pat Freiermuth",PIT,"vs. BUF","4 out of 5 stars","F","4.4"
"35","Noah Fant",CIN,"at BAL","3 out of 5 stars","F","4.2"
"36","Jonnu Smith",PIT,"vs. BUF","4 out of 5 stars","F","4.1"
"37","Luke Musgrave",GB,"at DET","3 out of 5 stars","F","3.9"
"38","Greg Dulcich",MIA,"vs. NO","3 out of 5 stars","F","3.8"
"39","Cole Kmet",CHI,"at PHI","1 out of 5 stars","F","3.4"
"40","Ja'Tavion Sanders",CAR,"vs. LAR","2 out of 5 stars","F","3.4"
"41","Davis Allen",LAR,"at CAR","4 out of 5 stars","F","3.1"
"42","Austin Hooper",NE,"vs. NYG","2 out of 5 stars","F","3.1"
"43","Elijah Arroyo",SEA,"vs. MIN","3 out of 5 stars","F","3.0"
"44","Terrance Ferguson",LAR,"at CAR","4 out of 5 stars","F","2.9"
"45","Charlie Kolar",BAL,"vs. CIN","4 out of 5 stars","F","2.9"
