"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Trey McBride",ARI,"at CIN","Coach Upside rating","Coach Bust rating","5 out of 5 stars","A+","15.2"
"2","George Kittle",SF,"vs. CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","13.0"
"3","Kyle Pitts Sr.",ATL,"vs. LAR","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","9.5"
"4","Harold Fannin Jr.",CLE,"vs. PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A","9.3"
"5","Juwan Johnson",NO,"at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","9.1"
"6","Hunter Henry",NE,"at NYJ","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","B+","8.9"
"7","Brenton Strange",JAC,"at IND","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","8.7"
"8","Tyler Warren",IND,"vs. JAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B-","8.6"
"9","Colston Loveland",CHI,"at SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","8.2"
"10","Dalton Schultz",HOU,"at LAC","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C+","8.0"
"11","Colby Parkinson",LAR,"at ATL","Coach Upside rating","Coach Bust rating","2 out of 5 stars","C","8.0"
"12","Jake Ferguson",DAL,"at WAS","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","C","7.8"
"13","Dallas Goedert",PHI,"at BUF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","C","7.6"
"14","Darren Waller",MIA,"vs. TB","Coach Upside rating","Coach Bust rating","5 out of 5 stars","C-","7.6"
"15","Travis Kelce",KC,"vs. DEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars","C-","7.6"
"16","AJ Barner",SEA,"at CAR","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","D+","7.4"
"17","Taysom Hill",NO,"at TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D+","7.4"
"18","Michael Mayer",LV,"vs. NYG","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","D","7.3"
"19","Dalton Kincaid",BUF,"vs. PHI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","D","7.0"
"20","Oronde Gadsden II",LAC,"vs. HOU","Coach Upside rating","Coach Bust rating","3 out of 5 stars","D-","6.3"
"21","Mike Gesicki",CIN,"vs. ARI","Coach Upside rating","Coach Bust rating","4 out of 5 stars","D-","5.8"
"22","Mark Andrews",BAL,"at GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","5.8"
"23","Chig Okonkwo",TEN,"vs. NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","5.8"
"24","Evan Engram",DEN,"at KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","5.5"
"25","Gunnar Helm",TEN,"vs. NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","5.0"
"26","Cade Otton",TB,"at MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","4.8"
""
"27","Darnell Washington",PIT,"at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","4.6"
"28","Pat Freiermuth",PIT,"at CLE","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","4.5"
"29","Terrance Ferguson",LAR,"at ATL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","4.5"
"30","Isaiah Likely",BAL,"at GB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","4.4"
"31","Luke Musgrave",GB,"vs. BAL","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","F","4.3"
"32","Cole Kmet",CHI,"at SF","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","F","4.2"
