"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"at NO","4 out of 5 stars","A+","17.9"
"2","Derrick Henry",BAL,"vs. CLE","4 out of 5 stars","A+","17.4"
"3","Bijan Robinson",ATL,"at MIN","2 out of 5 stars","A+","17.0"
"4","Jahmyr Gibbs",DET,"vs. CHI","3 out of 5 stars","A","16.9"
"5","Saquon Barkley",PHI,"at KC","2 out of 5 stars","A","16.6"
"6","Chase Brown",CIN,"vs. JAC","3 out of 5 stars","A","16.5"
"7","Josh Jacobs",GB,"vs. WAS","4 out of 5 stars","A","16.4"
"8","James Conner",ARI,"vs. CAR","4 out of 5 stars","A","15.3"
"9","Kyren Williams",LAR,"at TEN","3 out of 5 stars","A","15.0"
"10","Bucky Irving",TB,"at HOU","2 out of 5 stars","A-","14.8"
"11","De'Von Achane",MIA,"vs. NE","4 out of 5 stars","A-","14.5"
"12","Ashton Jeanty",LV,"vs. LAC","2 out of 5 stars","A-","14.1"
"13","Jonathan Taylor",IND,"vs. DEN","2 out of 5 stars","A-","13.8"
"14","James Cook",BUF,"at NYJ","2 out of 5 stars","B+","13.7"
"15","Breece Hall",NYJ,"vs. BUF","4 out of 5 stars","B+","13.4"
"16","Chuba Hubbard",CAR,"at ARI","3 out of 5 stars","B","13.3"
"17","Travis Etienne Jr.",JAC,"at CIN","4 out of 5 stars","B","12.8"
"18","Omarion Hampton",LAC,"at LV","4 out of 5 stars","B","12.6"
"19","Alvin Kamara",NO,"vs. SF","4 out of 5 stars","B","12.5"
"20","Tony Pollard",TEN,"vs. LAR","3 out of 5 stars","B","12.2"
"21","D'Andre Swift",CHI,"at DET","3 out of 5 stars","B","12.1"
"22","Javonte Williams",DAL,"vs. NYG","4 out of 5 stars","B-","11.7"
"23","Kenneth Walker III",SEA,"at PIT","4 out of 5 stars","B-","11.7"
"24","TreVeyon Henderson",NE,"at MIA","4 out of 5 stars","C+","11.6"
"25","David Montgomery",DET,"vs. CHI","3 out of 5 stars","C+","11.3"
"26","Jaylen Warren",PIT,"vs. SEA","3 out of 5 stars","C+","11.1"
"27","J.K. Dobbins",DEN,"at IND","3 out of 5 stars","C+","10.7"
"28","Aaron Jones Sr.",MIN,"vs. ATL","2 out of 5 stars","C","9.9"
"29","Jacory Croskey-Merritt",WAS,"at GB","2 out of 5 stars","C","9.8"
"30","Isiah Pacheco",KC,"vs. PHI","2 out of 5 stars","C","9.8"
"31","Zach Charbonnet",SEA,"at PIT","4 out of 5 stars","C","9.8"
"32","Jordan Mason",MIN,"vs. ATL","2 out of 5 stars","C","9.6"
"33","Tyrone Tracy Jr.",NYG,"at DAL","4 out of 5 stars","C","9.6"
"34","Nick Chubb",HOU,"vs. TB","2 out of 5 stars","C","8.6"
"35","Dylan Sampson",CLE,"at BAL","3 out of 5 stars","C","8.4"
"36","Austin Ekeler",WAS,"at GB","2 out of 5 stars","C","8.4"
"37","RJ Harvey",DEN,"at IND","3 out of 5 stars","C-","8.4"
"38","Rhamondre Stevenson",NE,"at MIA","4 out of 5 stars","C-","8.3"
"39","Trey Benson",ARI,"vs. CAR","4 out of 5 stars","C-","7.9"
"40","Braelon Allen",NYJ,"vs. BUF","4 out of 5 stars","D+","7.3"
"41","Jerome Ford",CLE,"at BAL","3 out of 5 stars","D+","6.8"
"42","Brian Robinson Jr.",SF,"at NO","4 out of 5 stars","D","6.3"
"43","Tyler Allgeier",ATL,"at MIN","2 out of 5 stars","D","6.1"
"44","Rachaad White",TB,"at HOU","2 out of 5 stars","D","6.0"
"45","Rico Dowdle",CAR,"at ARI","3 out of 5 stars","D","5.6"
"46","Kenneth Gainwell",PIT,"vs. SEA","3 out of 5 stars","D-","5.5"
"47","Najee Harris",LAC,"at LV","4 out of 5 stars","D-","5.4"
"48","Kareem Hunt",KC,"vs. PHI","2 out of 5 stars","D-","5.3"
"49","Cam Skattebo",NYG,"at DAL","4 out of 5 stars","F","5.2"
"50","Bhayshul Tuten",JAC,"at CIN","4 out of 5 stars","F","5.1"
"51","Miles Sanders",DAL,"vs. NYG","4 out of 5 stars","F","4.8"
"52","Ollie Gordon II",MIA,"vs. NE","4 out of 5 stars","F","4.6"
"53","Ray Davis",BUF,"at NYJ","2 out of 5 stars","F","4.5"
"54","Kendre Miller",NO,"vs. SF","4 out of 5 stars","F","4.4"
"55","DJ Giddens",IND,"vs. DEN","2 out of 5 stars","F","4.4"
"56","Tank Bigsby",PHI,"at KC","2 out of 5 stars","F","4.4"
"57","Justice Hill",BAL,"vs. CLE","4 out of 5 stars","F","4.3"
"58","Kaleb Johnson",PIT,"vs. SEA","3 out of 5 stars","F","3.7"
"59","Ty Johnson",BUF,"at NYJ","2 out of 5 stars","F","3.6"
"60","Blake Corum",LAR,"at TEN","3 out of 5 stars","F","3.4"
"61","Woody Marks",HOU,"vs. TB","2 out of 5 stars","F","3.4"
"62","Dameon Pierce",HOU,"vs. TB","2 out of 5 stars","F","3.3"
"63","Kyle Monangai",CHI,"at DET","3 out of 5 stars","F","3.3"
"64","Isaiah Davis",NYJ,"vs. BUF","4 out of 5 stars","F","3.1"
"65","Samaje Perine",CIN,"vs. JAC","3 out of 5 stars","F","3.0"
"66","A.J. Dillon",PHI,"at KC","2 out of 5 stars","F","2.9"
"67","Devin Singletary",NYG,"at DAL","4 out of 5 stars","F","2.8"
"68","Jeremy McNichols",WAS,"at GB","2 out of 5 stars","F","2.7"
"69","Will Shipley",PHI,"at KC","2 out of 5 stars","F","2.7"
"70","Quinshon Judkins",CLE,"at BAL","3 out of 5 stars","F","2.7"
"71","Emanuel Wilson",GB,"vs. WAS","4 out of 5 stars","F","2.7"
"72","Brashard Smith",KC,"vs. PHI","2 out of 5 stars","F","2.4"
"73","Zamir White",LV,"vs. LAC","2 out of 5 stars","F","2.4"
"74","Raheim Sanders",CLE,"at BAL","3 out of 5 stars","F","2.3"
"75","Chris Rodriguez Jr.",WAS,"at GB","2 out of 5 stars","F","2.2"
"76","Kyle Juszczyk",SF,"at NO","4 out of 5 stars","F","2.1"
"77","Julius Chestnut",TEN,"vs. LAR","3 out of 5 stars","F","2.0"
"78","Chris Brooks",GB,"vs. WAS","4 out of 5 stars","F","1.9"
"79","Devin Neal",NO,"vs. SF","4 out of 5 stars","F","1.8"
"80","Tyler Badie",DEN,"at IND","3 out of 5 stars","F","1.8"
"81","Jaydon Blue",DAL,"vs. NYG","4 out of 5 stars","F","1.8"
"82","Roschon Johnson",CHI,"at DET","3 out of 5 stars","F","1.6"
"83","Sean Tucker",TB,"at HOU","2 out of 5 stars","F","1.5"
"84","Antonio Gibson",NE,"at MIA","4 out of 5 stars","F","1.4"
"85","LeQuint Allen Jr.",JAC,"at CIN","4 out of 5 stars","F","1.4"
"86","Tahj Brooks",CIN,"vs. JAC","3 out of 5 stars","F","1.4"
"87","Dare Ogunbowale",HOU,"vs. TB","2 out of 5 stars","F","1.3"
"88","Trevor Etienne",CAR,"at ARI","3 out of 5 stars","F","1.3"
