"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Denver Broncos",DEN,"vs. CIN","5 out of 5 stars","A+","9.9"
"2","Houston Texans",HOU,"vs. TEN","5 out of 5 stars","A","9.4"
"3","Buffalo Bills",BUF,"vs. NO","3 out of 5 stars","A","9.1"
"4","Detroit Lions",DET,"vs. CLE","5 out of 5 stars","A","8.8"
"5","Los Angeles Chargers",LAC,"at NYG","5 out of 5 stars","A-","7.9"
"6","Green Bay Packers",GB,"at DAL","2 out of 5 stars","B+","7.8"
"7","Minnesota Vikings",MIN,"at PIT","3 out of 5 stars","B+","7.5"
"8","Philadelphia Eagles",PHI,"at TB","1 out of 5 stars","B","7.1"
"9","New England Patriots",NE,"vs. CAR","5 out of 5 stars","B","6.9"
"10","Pittsburgh Steelers",PIT,"vs. MIN","5 out of 5 stars","B-","6.9"
"11","Seattle Seahawks",SEA,"at ARI","3 out of 5 stars","C+","6.8"
"12","San Francisco 49ers",SF,"vs. JAC","2 out of 5 stars","C+","6.6"
"13","Arizona Cardinals",ARI,"vs. SEA","1 out of 5 stars","C","6.6"
"14","New York Jets",NYJ,"at MIA","5 out of 5 stars","C","6.4"
"15","Washington Commanders",WAS,"at ATL","5 out of 5 stars","C","6.3"
"16","Tennessee Titans",TEN,"at HOU","5 out of 5 stars","C-","6.2"
"17","Chicago Bears",CHI,"at LV","5 out of 5 stars","C-","6.1"
"18","Baltimore Ravens",BAL,"at KC","1 out of 5 stars","D+","5.9"
"19","Miami Dolphins",MIA,"vs. NYJ","4 out of 5 stars","D","5.9"
"20","Los Angeles Rams",LAR,"vs. IND","1 out of 5 stars","D","5.9"
"21","Atlanta Falcons",ATL,"vs. WAS","1 out of 5 stars","D","5.8"
"22","Carolina Panthers",CAR,"at NE","5 out of 5 stars","D-","5.8"
"23","Jacksonville Jaguars",JAC,"at SF","3 out of 5 stars","D-","5.7"
"24","Cleveland Browns",CLE,"at DET","1 out of 5 stars","F","5.6"
"25","New York Giants",NYG,"vs. LAC","2 out of 5 stars","F","5.5"
"26","Indianapolis Colts",IND,"at LAR","1 out of 5 stars","F","5.4"
"27","Kansas City Chiefs",KC,"vs. BAL","1 out of 5 stars","F","5.3"
"28","Tampa Bay Buccaneers",TB,"vs. PHI","1 out of 5 stars","F","5.3"
"29","Las Vegas Raiders",LV,"vs. CHI","1 out of 5 stars","F","5.2"
"30","Cincinnati Bengals",CIN,"at DEN","2 out of 5 stars","F","5.2"
"31","Dallas Cowboys",DAL,"vs. GB","2 out of 5 stars","F","4.9"
"32","New Orleans Saints",NO,"at BUF","1 out of 5 stars","F","3.7"
