"RK","PLAYER NAME",TEAM,"OPP","UPSIDE ","BUST ","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"vs. JAC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A+","19.5"
"2","Bijan Robinson",ATL,"vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A+","17.9"
"3","Jonathan Taylor",IND,"at LAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars","A+","17.1"
"4","James Cook III",BUF,"vs. NO","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","A","16.7"
"5","De'Von Achane",MIA,"vs. NYJ","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A","16.6"
"6","Saquon Barkley",PHI,"at TB","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","A","16.5"
"7","Josh Jacobs",GB,"at DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","16.3"
"8","Jahmyr Gibbs",DET,"vs. CLE","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A","15.4"
"9","Derrick Henry",BAL,"at KC","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","A","15.0"
"10","Bucky Irving",TB,"vs. PHI","Coach Upside rating","Coach Bust rating","2 out of 5 stars","A-","14.9"
"11","Jordan Mason",MIN,"at PIT","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","14.5"
"12","Omarion Hampton",LAC,"at NYG","Coach Upside rating","Coach Bust rating","4 out of 5 stars","A-","14.0"
"13","Kyren Williams",LAR,"vs. IND","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","A-","12.8"
"14","Ashton Jeanty",LV,"vs. CHI","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B+","12.8"
"15","Breece Hall",NYJ,"at MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B+","12.6"
"16","Trey Benson",ARI,"vs. SEA","Coach Upside rating","Coach Bust rating","3 out of 5 stars","B","12.6"
"17","J.K. Dobbins",DEN,"vs. CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","12.5"
"18","Jaylen Warren",PIT,"vs. MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","12.4"
"19","Chuba Hubbard",CAR,"at NE","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B","12.3"
"20","Chase Brown",CIN,"at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","12.2"
"21","Kenneth Walker III",SEA,"at ARI","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","B","12.2"
"22","Cam Skattebo",NYG,"vs. LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars","B","12.0"
"23","Travis Etienne Jr.",JAC,"at SF","Coach Upside rating","Coach Bust rating","4 out of 5 stars","B-","11.9"
