"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"vs. WAS","3 out of 5 stars","A","9.4"
"2","Cameron Dicker",LAC,"vs. IND","1 out of 5 stars","B+","8.8"
"3","Chris Boswell",PIT,"at CIN","3 out of 5 stars","B","8.5"
"4","Matt Gay",WAS,"at DAL","5 out of 5 stars","B","8.2"
"5","Jake Bates",DET,"vs. TB","3 out of 5 stars","B","8.1"
"6","Chase McLaughlin",TB,"at DET","1 out of 5 stars","B-","8.1"
"7","Harrison Butker",KC,"vs. LV","3 out of 5 stars","C+","8.0"
"8","Eddy Pineiro",SF,"vs. ATL","4 out of 5 stars","C+","7.9"
"9","Michael Badgley",IND,"at LAC","4 out of 5 stars","C+","7.9"
"10","Ka'imi Fairbairn",HOU,"at SEA","1 out of 5 stars","C","7.8"
"11","Jason Myers",SEA,"vs. HOU","1 out of 5 stars","C","7.6"
"12","Will Reichard",MIN,"vs. PHI","4 out of 5 stars","C","7.5"
"13","Joshua Karty",LAR,"at JAC","1 out of 5 stars","C","7.3"
"14","Cam Little",JAC,"vs. LAR","4 out of 5 stars","C","7.2"
"15","Andy Borregales",NE,"at TEN","2 out of 5 stars","C","7.2"
"16","Wil Lutz",DEN,"vs. NYG","3 out of 5 stars","C","7.2"
"17","Jake Elliott",PHI,"at MIN","2 out of 5 stars","C-","6.9"
"18","Ryan Fitzgerald",CAR,"at NYJ","5 out of 5 stars","C-","6.8"
"19","Jake Moody",CHI,"vs. NO","3 out of 5 stars","C-","6.8"
"20","Lucas Havrisik",GB,"at ARI","3 out of 5 stars","D+","6.8"
"21","Blake Grupe",NO,"at CHI","2 out of 5 stars","D+","6.8"
"22","Parker Romo",ATL,"at SF","1 out of 5 stars","D+","6.8"
"23","Nick Folk",NYJ,"vs. CAR","2 out of 5 stars","D","6.7"
"24","Evan McPherson",CIN,"vs. PIT","3 out of 5 stars","D","6.7"
"25","Chad Ryland",ARI,"vs. GB","2 out of 5 stars","D","6.4"
"26","Daniel Carlson",LV,"at KC","3 out of 5 stars","D","6.3"
"27","Riley Patterson",MIA,"at CLE","2 out of 5 stars","D-","6.2"
"28","Andre Szmyt",CLE,"vs. MIA","5 out of 5 stars","D-","6.1"
"29","Brandon McManus",GB,"at ARI","3 out of 5 stars","D-","6.1"
"30","Jude McAtamney",NYG,"at DEN","5 out of 5 stars","F","6.1"
"31","Matthew Wright",FA,"-","-","F","0.0"
"32","Joey Slye",TEN,"vs. NE","3 out of 5 stars","F","0.0"
