Player,Team,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS
Dallas Cowboys,,46.5,14.5,11.9,18.7,2.7,0,358.7,"5,680.60",115.7
Philadelphia Eagles,,53.4,12.6,9.5,16.1,2.7,0.4,358.8,"5,570.60",114.6
New England Patriots,,45.3,14.6,9.4,13.8,2.9,0.1,358.7,"5,708.50",110.8
Pittsburgh Steelers,,49.7,14.7,8.8,13,2,0.1,349.2,"5,615.70",109.1
Cleveland Browns,,45.6,14.1,9.7,15,2.5,0.2,364.9,"5,574.50",108.8
Kansas City Chiefs,,46.7,13,9.9,14.7,2.5,0.5,373.6,"5,741.00",108.4
San Francisco 49ers,,47.6,13.4,10,16,2.3,0,314.9,"5,502.90",108.2
Washington Commanders,,47.8,12.9,9.5,15.4,2.3,0.5,379.8,"5,649.80",107.4
Miami Dolphins,,45.8,13.7,9.6,15.1,2.3,0.5,366.8,"5,595.60",107.2
Indianapolis Colts,,44.1,13.3,10.8,16.6,2.1,0.9,387.4,"5,678.20",106.5
New Orleans Saints,,46.5,14,9.1,12.9,2.3,0.2,335.1,"5,338.00",106.5
Buffalo Bills,,43.7,14.9,9.6,13.6,2.1,0.6,327.6,"5,575.50",106.2
Green Bay Packers,,42.6,14.9,8.9,13.5,2.4,0.5,370.2,"5,813.60",105.6
New York Jets,,45.3,13.5,8.7,13.4,2.3,1,354.8,"5,498.00",105.4
Seattle Seahawks,,43.7,13.6,9.9,15.3,2,0.7,380.8,"5,942.20",104.5
Los Angeles Chargers,,42.6,14.2,9.8,15.6,2.1,0.6,399.3,"6,130.50",104.4
Detroit Lions,,42.1,13.3,10.3,15.9,2.3,0.6,411.4,"6,176.40",104
Houston Texans,,41.2,13.9,10.6,14.7,2.1,0.5,391.5,"5,750.30",103.5
Minnesota Vikings,,42.4,13.7,9.9,14.5,2.2,0.2,421.6,"6,120.80",103.2
Baltimore Ravens,,44.9,12.5,10,16.4,2.1,0.2,345.7,"5,767.00",103
Tampa Bay Buccaneers,,43,11.9,10.9,17.1,2.1,0.1,378.9,"5,693.70",101.5
Jacksonville Jaguars,,39.3,13.3,10.1,16.1,2.4,0,359.7,"5,709.30",100.4
Denver Broncos,,41.6,14.1,9.4,15.1,1.9,0.1,369.2,"5,683.70",100.2
New York Giants,,40.9,12.7,10.2,17.6,2,0.5,389,"6,018.70",99.9
Tennessee Titans,,41.3,13.8,8.5,12.7,2.3,0.1,356,"5,614.40",99.9
Cincinnati Bengals,,40,13.7,10,15.8,2.1,0.1,350.6,"5,779.60",99.8
Los Angeles Rams,,43.2,13.1,8.3,12.3,2.2,0.1,397.7,"5,896.80",99.7
Carolina Panthers,,40.7,12.1,9.7,13.1,2.3,0.3,369,"5,581.80",98.8
Atlanta Falcons,,34.6,14.1,9.9,16.3,2.3,0.6,378,"5,844.80",97.6
Arizona Cardinals,,40.4,11.9,10,15.1,2.1,0.1,414.6,"5,847.80",97
Chicago Bears,,35.8,12.7,9.5,14.6,1.9,0.6,401.6,"6,263.00",93.1
Las Vegas Raiders,,36.6,10.4,9,13.8,2.2,0.5,419.1,"6,107.80",89.7
