Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Patrick Mahomes II,KC,610.8,406.2,"4,836.80",37.7,11.2,64.9,356.8,3.2,1.9,384
Josh Allen,BUF,577.1,364,"4,284.30",32.1,14.2,116.6,659.7,6.2,4.2,380.6
Jalen Hurts,PHI,494.2,318.2,"3,806.50",23.5,10.1,157.5,800.3,11,2.9,376.5
Lamar Jackson,BAL,481.8,305.9,"3,489.00",25.6,11.6,148.6,941,5.5,3,351.2
Joe Burrow,CIN,591.3,402,"4,590.10",32.7,12.9,63.8,269.1,3.7,2.3,346.1
Justin Fields,CHI,415,257,"2,970.90",20.9,12.7,153.1,"1,029.00",6.8,3.3,326.9
Justin Herbert,LAC,627.2,421.6,"4,594.40",30.1,12.7,57.2,220.8,2,2,321.6
Deshaun Watson,CLE,504,324.1,"3,851.80",24.7,10.8,97.1,485.6,4.1,1.8,311.5
Dak Prescott,DAL,552,364.3,"4,120.20",29.2,13.8,58.8,251.4,2.4,3.1,301.1
Trevor Lawrence,JAC,578.7,378.7,"4,090.40",26.9,12.2,62.4,285.3,3.9,5.2,300.9
Kirk Cousins,MIN,593,395.1,"4,442.90",30.5,12.3,31.6,92.1,1.5,2.8,300
Daniel Jones,NYG,518.6,337.2,"3,502.40",20.8,10,109.5,636.7,4.9,4.1,298
Geno Smith,SEA,544.4,370.7,"4,048.90",27.1,11.3,62.2,323.1,2,3.5,296.1
Aaron Rodgers,NYJ,558.5,361.3,"4,051.90",27.9,8.5,35.1,120.1,1.5,2.6,280.9
Tua Tagovailoa,MIA,535.6,350.6,"4,120.40",27.2,12.3,43.1,133.4,1.6,1.8,280.7
Russell Wilson,DEN,510.7,321.5,"3,790.20",23.9,10.9,63.5,317.4,2.6,2.1,279.6
Jared Goff,DET,568.6,373.4,"4,220.40",27.6,11,31.2,80.7,1.2,3.5,276.2
Anthony Richardson,IND,489.1,302.4,"3,219.60",18.3,13.1,135.8,611.7,4.3,2.3,271.3
Derek Carr,NO,512.1,336.9,"3,961.40",24,11.9,34.2,115.2,1,2.6,254.8
Jordan Love,GB,544.5,345.4,"3,827.60",23.3,14.5,43.5,168.5,1.5,2.6,252.4
Kenny Pickett,PIT,502.1,318,"3,317.90",17.7,12.3,67,421.4,3.6,1.5,251.8
Matthew Stafford,LAR,524.5,348.3,"3,954.80",24.1,13.2,30.3,71.3,0.8,2.8,247.8
Brock Purdy,SF,440,287.2,"3,400.40",23.9,9.8,37.8,118.6,2.1,1.4,243.2
Bryce Young,CAR,521,327.2,"3,626.20",20.2,12.9,51.4,203.4,1.6,2.3,238.2
Jimmy Garoppolo,LV,486.2,321.3,"3,574.80",21.5,11.9,29.9,65.5,1.5,2.3,227.9
Ryan Tannehill,TEN,454,295.5,"3,282.80",19.1,11,41.4,163.8,2.4,2.1,223.2
C.J. Stroud,HOU,512.2,321,"3,401.90",18.9,14.1,49.4,177.2,1.4,2.4,218.7
Mac Jones,NE,494.2,323.4,"3,443.00",18.9,13.4,50.8,149.7,1.2,2.1,217.8
Sam Howell,WAS,500.5,312.1,"3,197.70",17.7,12.5,53.3,223.2,1.8,2.2,214.6
Kyler Murray,ARI,419.1,276.6,"2,708.20",13.5,9.3,78.4,413.2,2.9,1.9,207.9
Baker Mayfield,TB,480.2,295,"3,107.20",16.4,11.7,35.7,126.1,1.1,2.4,192.9
Desmond Ridder,ATL,437.1,269.5,"2,911.60",16.5,10.2,39.4,171.1,1.4,3,192
Jacoby Brissett,WAS,174.8,101.5,"1,152.30",4.8,3.7,22.7,91.1,0.9,1.6,72.6
Colt McCoy,ARI,184.6,120.3,"1,280.90",4.7,4.9,19.3,63.8,0.5,1,72.1
Kyle Trask,TB,200.9,121.6,"1,253.90",5.4,6.1,17.8,50.2,0.2,1.2,69.8
Will Levis,TEN,127.5,78.5,935.8,3.7,4.3,17.6,58.8,0.3,0.9,53.9
Trey Lance,DAL,130.4,80.7,796.3,3,3.9,23.8,90.9,0.4,0.8,50.1
Brian Hoyer,LV,98.1,59.5,742.7,4,4,10.4,32.5,0.2,0.8,44.7
Taylor Heinicke,ATL,99,60.6,705.1,3.8,3.9,18.1,51,0.2,1.2,43.4
Gardner Minshew II,IND,74.2,46.6,665.2,2.7,2.3,11.9,41.3,0.2,1.2,38.1
Sam Darnold,SF,124.7,73.4,618.2,2.4,3.8,16.1,46.3,0.1,1.2,33.6
Mike White,MIA,94.6,56.6,606.9,2.8,3.7,12.6,20.3,0.1,0.6,33
Brett Rypien,LAR,0,0,580.3,2.6,3.8,0,15.3,0.3,0.2,32.6
Bailey Zappe,NE,100.3,61.3,598.8,2.4,3.6,12,22.4,0.1,1.1,30.8
Clayton Tune,ARI,145,86.1,809.2,0,5.9,24.7,53.6,0.2,1.7,29.6
Davis Mills,HOU,84.6,49.6,516,1.6,4,14.5,31.7,0.2,0.6,26.4
Tyrod Taylor,NYG,42,27.2,285.9,2,1.3,14.3,59.2,0.2,0.3,24.9
