Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffrey,SF,219.2,"1,013.30",7.4,74.8,631.6,4.2,0.5,270.4
Austin Ekeler,LAC,191.2,863.6,9.4,77.7,605.5,3.9,1.5,262.8
Derrick Henry,TEN,307.8,"1,347.10",9.4,32,271,0.8,1.8,235.5
Bijan Robinson,ATL,249.1,"1,186.10",8.9,40.6,337.2,2,1.9,234.5
Saquon Barkley,NYG,254,"1,134.30",7.9,53.2,379.6,1.7,0.7,234.2
Tony Pollard,DAL,222.8,"1,116.70",8.2,45.3,378.3,2.2,0.5,233.5
Nick Chubb,CLE,279.3,"1,369.20",9.1,28.3,234.9,1.1,1.1,233.4
Josh Jacobs,LV,259,"1,212.00",9.6,38.8,286.1,0.8,1.2,229.5
Jonathan Taylor,IND,276.1,"1,263.30",8.4,32.1,226.6,0.8,2.1,215.7
Joe Mixon,CIN,229.4,959.4,7.5,50,368.8,2.2,0.6,214.4
Aaron Jones,GB,200.2,988.3,5.6,49.6,374,2.7,1.3,207.7
Najee Harris,PIT,255.9,"1,013.10",6.6,38.2,260.2,2.2,1,197.2
Rhamondre Stevenson,NE,208.2,929.4,5.7,50.2,358.2,1.3,1,194
Travis Etienne Jr.,JAC,218.5,"1,077.30",6.4,35,285.3,0.9,2.3,193.3
Alexander Mattison,MIN,214.8,938.8,8.1,34.4,235,1.6,1,190.7
James Conner,ARI,213.5,910.9,6.8,41.1,297.9,1.3,0.8,188.2
Kenneth Walker III,SEA,228.9,"1,040.30",8.2,25.9,173.8,0.6,0.4,186.6
Dameon Pierce,HOU,258.3,"1,084.70",5.9,32.7,217.4,1.1,2.1,184.3
Jahmyr Gibbs,DET,178.8,785.1,6.5,44.7,353,2,1.5,184.1
Breece Hall,NYJ,178.5,845.7,5.7,37,333.1,1.9,1.1,179.8
Rachaad White,TB,207.2,846.5,4.6,48.1,341.2,1.9,2.7,176.4
Miles Sanders,CAR,218.1,"1,014.00",6,29.8,208.4,0.8,1.4,175.3
J.K. Dobbins,BAL,174.7,891.8,6.8,24.4,173.5,1.7,0.4,169.1
Cam Akers,LAR,233.4,984.7,6.4,24,199.8,0.6,2.2,168.5
Isiah Pacheco,KC,196.7,937.1,6.8,24.3,199.7,0.7,1.9,167.4
James Cook,BUF,165.6,838.8,4.9,35.2,271.5,1.8,1.5,165.7
David Montgomery,DET,194.3,777.1,6.3,33.4,277,1.2,1,164.6
Alvin Kamara,NO,170.2,702.6,3.6,41.8,360.8,1.7,1.1,157
