Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Justin Jefferson,MIN,110.9,"1,523.60",8.3,3.7,19,0.3,0.3,260.7
Ja'Marr Chase,CIN,105.9,"1,390.00",10.2,4.9,24,0.1,1.1,253.7
Tyreek Hill,MIA,105.5,"1,395.50",8,9.2,55.7,0.6,0.4,248.3
Cooper Kupp,LAR,107.2,"1,336.10",8.3,8.1,73.7,0.8,0.8,247.5
CeeDee Lamb,DAL,99,"1,294.30",7.7,8.7,55.8,0.3,0.3,231.5
Stefon Diggs,BUF,97.2,"1,274.30",8.4,0.6,3.2,0,0.4,225.8
Davante Adams,LV,93.6,"1,260.50",8.4,1.8,7.6,0.1,0.3,224.1
Amon-Ra St. Brown,DET,101.3,"1,149.70",5.8,8.1,63.2,0.5,0.2,209.2
A.J. Brown,PHI,77.8,"1,195.10",8.3,0.3,3.8,0,0.6,207.7
Jaylen Waddle,MIA,79.8,"1,155.50",6.4,4.1,34,0.3,0.7,197.4
Garrett Wilson,NYJ,85.1,"1,156.30",6.6,2.4,6.3,0,0.8,196.9
Chris Olave,NO,82.3,"1,155.50",5.8,0,0.1,0,1.3,189.2
Tee Higgins,CIN,80.5,"1,081.80",6.7,0.5,2.4,0,0.3,188.1
DK Metcalf,SEA,82.4,"1,023.20",7.2,0.1,1.1,0,0.8,185.4
Deebo Samuel,SF,68.4,886.5,4.1,42.3,253.4,2.4,1.4,184.2
DeVonta Smith,PHI,82.9,"1,050.10",6.4,0,0.1,0,0.6,183.3
Calvin Ridley,JAC,80.7,"1,023.00",6.6,2.2,7.7,0,0.5,182
Christian Watson,GB,69.4,964.3,6.2,8.5,68.7,1,0.2,180.7
Amari Cooper,CLE,72.6,"1,025.20",7,0.5,1.6,0,0.1,180.5
Keenan Allen,LAC,90.6,"1,001.80",5.7,1.3,7.4,0,0.6,179.3
DJ Moore,CHI,67.5,947,6.5,6,36.8,0.1,0.3,171.1
Mike Evans,TB,71.5,993,5.8,0,6.8,0,0.1,170.4
DeAndre Hopkins,TEN,78.1,995.3,5.4,0.2,1.2,0,0.8,169.3
Mike Williams,LAC,70.3,977.8,6,1,4.5,0,0.1,169.1
Terry McLaurin,WAS,72.2,"1,017.80",4.8,3.3,20.1,0.1,0.2,168.6
Chris Godwin,TB,89.7,968.5,4.1,2.7,13.4,0.1,0.7,167
Christian Kirk,JAC,74.2,919.6,5.9,3.5,21,0.1,0.5,166
Tyler Lockett,SEA,75.8,905.2,5.8,0.2,0.7,0,0.6,162.2
Drake London,ATL,75.8,938,5.5,0,0.1,0,1.8,160.9
Marquise Brown,ARI,77.9,913.7,4.9,1.4,8.4,0,0.3,160.1
Diontae Johnson,PIT,80.5,914.2,4.3,4.6,25.2,0,0.5,158.9
Jerry Jeudy,DEN,64.9,948.6,4.9,1.5,14.7,0,0.2,157.9
Brandon Aiyuk,SF,64.7,892.2,5.4,2.7,18.4,0.2,0.6,155.6
Jahan Dotson,WAS,60,841,6,2.4,8.3,0.1,0.2,150.9
Michael Pittman Jr.,IND,75.8,858.1,4.1,2.4,20.8,0,0.5,149.5
Gabe Davis,BUF,51.6,825.7,6.5,0.1,0.7,0,0.4,146.5
George Pickens,PIT,56.3,837.9,5.1,2.8,18,0.4,0.2,146.1
Brandin Cooks,DAL,62,813.5,4.7,3,19.5,0.1,0.1,143.2
Jordan Addison,MIN,60.9,813.4,5,2.5,14.1,0.1,0.7,142.1
JuJu Smith-Schuster,NE,72.5,802.5,3.9,0.2,1,0.1,0.7,138.8
Michael Thomas,NO,67.4,770.4,4.6,0.3,1.2,0,0.2,137.9
Courtland Sutton,DEN,60,811.4,4.2,0.5,2.7,0,0.1,136.6
Treylon Burks,TEN,57.3,786.8,3.9,6.8,52.4,0.1,0.2,136.3
Jaxon Smith-Njigba,SEA,57.1,770.1,4.5,1.2,8.5,0,0.7,132.5
Zay Flowers,BAL,54.6,749.8,4.8,2.1,14.6,0.1,0.7,131.7
Jakobi Meyers,LV,62.5,749.4,3.7,1.1,3.8,0,0.7,127.6
Nico Collins,HOU,56.8,722.7,4.4,0,0.2,0,0.1,126.6
Allen Lazard,NYJ,54.6,689.4,4.7,2.1,12.4,0,0.1,125.9
Kadarius Toney,KC,51.2,583.9,4.1,10.2,102.3,1.3,0.6,125.2
Tyler Boyd,CIN,58.2,710.9,3.9,1.5,8.9,0,0.2,124.1
Rondale Moore,ARI,67.1,691.4,2.2,13.9,61.1,0.2,0.4,122.1
Odell Beckham Jr.,BAL,50.8,672.3,4.4,1.6,19.2,0.2,0.2,122.1
Zay Jones,JAC,60.3,663,3.9,1.9,8.5,0,0.2,120.6
Romeo Doubs,GB,56.2,662.2,4.2,0.7,6.4,0,0.7,118.8
