Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh Allen,BUF,520.5,333.3,"3,911.20",28.9,10.4,115.9,572.3,10.7,3.4,376.2
Lamar Jackson,BAL,477.7,319.2,"3,872.90",32.4,8.3,134.7,827.9,3.9,4.5,373.2
Jalen Hurts,PHI,464.7,314,"3,558.10",23.7,8.7,147.3,633.1,12.6,3.9,359.7
Jayden Daniels,WAS,533.4,362.4,"3,883.20",26.8,10.6,137.5,749.7,5.7,2.5,356
Joe Burrow,CIN,627,434.2,"4,661.90",35.9,10.5,48.2,179.7,2.1,3.8,342.3
Patrick Mahomes II,KC,605.3,409.9,"4,282.90",30.3,12.2,75.1,365.9,2.8,2.5,328.7
Baker Mayfield,TB,554.2,384,"4,167.10",32.8,14.7,64.4,288.4,2.6,3.9,319.4
Kyler Murray,ARI,540.4,366.3,"3,819.60",24.2,11.1,88.6,551.8,5.1,3.8,316.3
Brock Purdy,SF,525.2,351.4,"4,305.50",27.1,12.5,64.6,279.1,3.6,2.9,311.7
Bo Nix,DEN,560.9,366.4,"3,814.80",27.5,12.1,88.7,423.4,3.5,2,309.9
Justin Fields,NYJ,497.1,309,"3,246.10",19.4,10.9,135,743,6.1,3.8,299.8
J.J. McCarthy,MIN,562.9,367.2,"4,077.40",28.7,14.5,57.4,258.2,2,3.8,293.7
Dak Prescott,DAL,605.5,398.4,"4,274.10",27.7,12.2,42.5,178.5,1.9,3,292.3
Justin Herbert,LAC,539.3,353.7,"3,974.00",25.8,8.6,65.4,271.9,2.6,2.5,291.5
Caleb Williams,CHI,565.9,359.6,"3,787.90",23.9,10.4,86.6,469.8,2.6,4.5,290.5
Jared Goff,DET,550.8,380.8,"4,356.50",30.1,11.5,30.3,61.5,0.5,2.9,286.6
C.J. Stroud,HOU,563.7,362.2,"4,087.70",25,10.7,58.7,256.9,1.7,3.7,281.3
