Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Saquon Barkley,PHI,336.3,"1,682.20",11,43.4,332.5,2.2,1.4,278
Bijan Robinson,ATL,304.7,"1,421.40",11.4,59.1,448.4,2.3,1.4,266.1
Jahmyr Gibbs,DET,240,"1,239.90",11.7,57.7,507,2.8,1.3,258.8
Derrick Henry,BAL,306.1,"1,554.00",13.7,16.4,153.3,0.9,1.4,255.7
Christian McCaffrey,SF,245.6,"1,111.50",8.1,65.4,571,3.6,1.8,234.6
Jonathan Taylor,IND,310.7,"1,413.80",10.6,28.6,204.9,1.3,1.6,230.3
Josh Jacobs,GB,290.5,"1,231.90",11.4,38.1,316,1.5,1.5,229.2
Kyren Williams,LAR,291.6,"1,249.50",11.6,33.6,213.8,1.7,2.3,221.5
Ashton Jeanty,LV,272.9,"1,227.40",9.2,46,361.8,1.9,2.4,220.6
De'Von Achane,MIA,217.8,"1,013.70",7.5,68.7,506.4,3.9,1.3,218
Bucky Irving,TB,244.9,"1,161.20",8.5,45.5,353.7,1.7,1.4,209.8
Chase Brown,CIN,244.7,"1,032.60",8.4,58.1,408,2.8,1.4,208.5
James Cook,BUF,232.4,"1,089.40",9.7,31.6,259.1,1.9,1.4,201.8
James Conner,ARI,222.9,"1,004.20",8.2,42.5,326.4,1.7,1.4,189.9
Chuba Hubbard,CAR,252.5,"1,109.80",8.1,41,246.6,1.1,1.8,187
Omarion Hampton,LAC,225.4,985,8.7,35.3,273.9,1.5,2.1,182.8
Alvin Kamara,NO,218.5,896.7,5.4,62.9,478.9,2,1.3,179.7
Breece Hall,NYJ,218.1,975.6,5.8,46.2,377.5,1.9,1.6,178.5
Kenneth Walker III,SEA,233.4,948.5,8,43.2,309.3,1.3,1.3,178.5
Tony Pollard,TEN,251.3,"1,050.50",5.9,42.2,271.7,0.9,1,171.1
TreVeyon Henderson,NE,219.8,958.9,6.2,35.9,280.1,1.8,1.7,168.5
D'Andre Swift,CHI,237.3,962.3,6.1,36.7,284.4,1.2,1.1,166.6
David Montgomery,DET,199.1,836.8,9,31,253.9,0.9,1,166.3
Aaron Jones Sr.,MIN,198.8,888.9,4.5,44.6,329.1,2.3,1.8,158.7
RJ Harvey,DEN,192.3,827.9,5.7,35.4,270.1,1.7,1.3,151.9
Isiah Pacheco,KC,207.8,857.5,6,34.2,234.4,1.1,1,149.4
Kaleb Johnson,PIT,206.7,864.4,6.6,23.2,177.3,1,1.7,146.2
Tyrone Tracy Jr.,NYG,192.7,829.8,5.3,36.1,268.5,1.1,1.6,145
Jaylen Warren,PIT,149.6,668.6,3.6,49.9,362.4,1.2,1.1,129.4
Jacory Croskey-Merritt,WAS,163.8,693,5.8,22.8,180.1,1.3,0.9,127.9
Austin Ekeler,WAS,108.7,487.6,4.7,47.2,385.4,1.8,1.4,123.4
Zach Charbonnet,SEA,135.9,586.3,4.9,36.2,268.3,1,0.8,119.3
J.K. Dobbins,DEN,147.2,655.5,4.8,29.6,189.9,1.2,1.2,117.8
Jordan Mason,MIN,164.2,755.6,4.7,16.3,119.3,0.5,0.7,117.1
Javonte Williams,DAL,168.3,644.8,4.4,34.3,220.1,0.9,0.6,116.9
Rhamondre Stevenson,NE,153.8,624,4.9,27.8,176.8,1.1,1.5,113.4
Travis Etienne Jr.,JAC,140.4,573.9,3.7,37.7,279.4,1.1,0.8,112.9
Joe Mixon,HOU,143.4,569.9,4.9,24.7,198.1,1.1,0.8,111.4
Jerome Ford,CLE,142.8,589.3,3.1,34.4,239.6,1.1,0.8,106.4
Nick Chubb,HOU,133.6,566.2,4.8,11.9,91.1,0.9,0.5,98.9
Tank Bigsby,JAC,150.7,619.5,5,10.7,77,0.2,1.1,98.2
Quinshon Judkins,CLE,126.9,543.4,3.6,21.8,169,0.9,1.2,96.1
Rachaad White,TB,104.5,420.5,2.7,35.9,270.8,2.1,1.3,95.3
Trey Benson,ARI,129.4,581.5,3.8,16.5,126.3,0.5,0.9,94.9
Cam Skattebo,NYG,122.3,522.9,3.4,23.8,185.2,0.9,1.2,94.7
Dylan Sampson,CLE,125.1,518.8,3,22.9,179.7,0.9,0.8,92
Jaydon Blue,DAL,114.5,498.8,3.1,22.8,176.7,0.9,0.8,89.7
Najee Harris,LAC,124.5,484,3.8,17.8,130.4,0.7,0.8,86.9
Tyler Allgeier,ATL,121.3,554.9,3.3,13.9,102.5,0.4,0.8,86.4
Ray Davis,BUF,114.6,485.3,3.6,12.4,105.7,1,0.8,85.2
Bhayshul Tuten,JAC,106.7,449.4,3,18.5,145.3,0.9,0.9,81.2
Braelon Allen,NYJ,116.4,439.4,3,16.9,126.7,0.8,0.4,78.6
Tyjae Spears,TEN,83.8,337.2,2.5,29.3,219.6,1,0.5,75.8
Rico Dowdle,CAR,93.2,416.5,2.3,22.4,152.1,1.1,0.8,75.7
Kendre Miller,NO,110.1,416.2,3.7,12.1,90.3,0.2,0.5,73
Kareem Hunt,KC,80.8,323.2,3.3,21.4,149.5,0.8,0.1,71.7
Ollie Gordon II,MIA,96.6,409.6,3.4,12.5,95,0.5,1.1,71.5
Brian Robinson Jr.,SF,106.3,427.2,3.5,8.1,67.6,0.4,1.2,70.5
Roschon Johnson,CHI,86.6,300.5,4.2,15,98.6,0.4,0.1,67.6
Jaylen Wright,MIA,108.2,426.8,2.8,10.5,71.4,0.5,1.1,66.9
Blake Corum,LAR,93.3,347.3,2.3,12.7,93.9,0.3,0.4,59.2
MarShawn Lloyd,GB,87.4,313.6,2.5,11.1,88.8,0.6,0.4,58.4
Justice Hill,BAL,41.8,185.2,1.2,27.3,221.5,1.7,0.4,56.6
Raheem Mostert,LV,77.2,278.3,2.4,16.4,121.3,0.5,0.8,56
Miles Sanders,DAL,93.4,350.5,2,10,61.9,0.3,0.5,54.5
Keaton Mitchell,BAL,66,322.3,1.7,9.2,85.9,0.5,0,54.1
Chris Rodriguez Jr.,WAS,70.4,318.2,2.9,5.4,40.6,0.2,0.4,53.5
Woody Marks,HOU,58.4,234.7,1.6,19.6,145.5,0.8,0.1,52.3
Tahj Brooks,CIN,66,266,2.1,12.5,104.1,0.7,1,51.8
Ty Johnson,BUF,45.2,205.9,0.9,15.2,165.6,1.4,0.1,51.3
Samaje Perine,CIN,49.5,201.5,1.3,18.5,162.5,0.9,0.7,48.5
Zamir White,LV,68,263.7,1.6,11.5,80.9,0.3,0.1,45.8
Kyle Monangai,CHI,44.2,265.3,2.4,6.4,45.6,0.1,0.1,45.7
Jarquez Hunter,LAR,61.6,251,2,7.1,61.4,0.4,0.7,44.4
Antonio Gibson,NE,50.7,213.7,1,16.5,133.8,0.5,0,43.5
Devin Neal,NO,53.5,247.6,1.7,8.3,61.7,0.4,0.1,43.3
Kenneth Gainwell,PIT,58.5,226.6,1.6,12.5,88.2,0.4,0.4,42.7
Isaac Guerendo,SF,50.1,239.8,1.9,7.5,67.4,0.1,0.4,41.8
Devin Singletary,NYG,52.1,236.9,1.5,9.4,63.7,0.1,0.4,39.3
Will Shipley,PHI,40.2,214.2,1.4,9.2,68.4,0.5,0.1,38.9
Trevor Etienne,CAR,48.3,192.7,1.5,10.8,87.7,0.4,0.4,38.7
Jaleel McLaughlin,DEN,39.6,169.4,0.9,18.2,110.1,0.9,0.5,37.7
Emanuel Wilson,GB,42.9,206.7,1.4,7.9,57.3,0.4,0.4,36.7
Sean Tucker,TB,45.1,231.9,1.4,5.3,41.1,0.4,0.7,36.3
Elijah Mitchell,KC,59.6,200.8,1.6,7.2,40.8,0.4,0.1,35.8
Tyler Goodson,IND,52.6,180.9,1.1,5.7,37.8,0.4,0,30.5
DJ Giddens,IND,23.7,163.2,1.3,7.6,56.4,0.1,0,30.3
Dameon Pierce,HOU,38.1,183.4,1.2,7.7,50.9,0.2,0.8,29.9
Julius Chestnut,TEN,36.7,144.3,0.8,10.3,75.3,0.3,0,28.9
A.J. Dillon,PHI,37,154.1,1.3,3.6,28.5,0.1,0,26.5
Hassan Haskins,LAC,28.2,117.5,0.9,7.7,59.3,0.5,0.3,25.3
Isaiah Davis,NYJ,30.7,151.8,0.9,4.9,35.7,0.1,0,24.5
Zavier Scott,MIN,32,153,1,3,29,0,0,24.2
Chris Brooks,GB,27.3,136.3,0.9,7.3,48.5,0.1,0,24.1
Kyle Juszczyk,SF,5.9,24.2,0.3,14.6,139.9,0.8,0.4,22.8
Brashard Smith,KC,19.9,98.1,0.7,7.1,54.1,0.3,0,21.5
Kalel Mullings,TEN,28.5,118.9,0.9,4.2,32.3,0.1,0,20.9
Kimani Vidal,LAC,39.6,95,0.5,6.5,49.6,0.4,0,19.7
Emari Demercado,ARI,18.7,106.3,0.4,8.1,54.1,0.1,0,19.1
Ty Chandler,MIN,19.3,97.3,0.7,4.9,34.7,0.1,0,17.9
Jeremy McNichols,WAS,21.9,92.9,1.1,2.7,15.3,0,0,17.7
George Holani,SEA,8.8,98.1,0.6,3,21.9,0,0,15.8
