Player,Team,REC,YDS,TDS,FL,FPTS
George Kittle,SF,76.7,"1,044.40",7.5,0.5,148.6
Brock Bowers,LV,105.3,"1,117.00",6.1,0.5,147.9
Trey McBride,ARI,104.2,"1,053.90",5.8,0.5,139.6
Sam LaPorta,DET,68.3,765.8,6.8,0.4,116.6
Mark Andrews,BAL,59,701.1,7.7,0.8,114.8
Travis Kelce,KC,81.4,777.6,5.3,0.9,107.6
T.J. Hockenson,MIN,73.1,767.2,4.6,0.5,103.3
David Njoku,CLE,76.5,739.7,4.9,0.8,101.9
Tyler Warren,IND,63.4,681.2,4.7,1.1,95.3
Tucker Kraft,GB,55.6,655.6,4.8,0.8,92.8
Kyle Pitts Sr.,ATL,51.4,650.3,4.3,0.1,90.4
Dallas Goedert,PHI,57.7,636.1,3.9,0.5,86.3
Evan Engram,DEN,70.6,628.7,4.2,0.9,86.2
Zach Ertz,WAS,58.5,542.7,5.1,0.1,84.9
Dalton Kincaid,BUF,57.4,604.2,4,0.5,83.6
Jake Ferguson,DAL,67.9,621.7,3.8,1.2,82.6
Hunter Henry,NE,54.4,568.3,3.9,0.4,79.2
Colston Loveland,CHI,54.6,572.3,3.8,1.1,77.7
Cade Otton,TB,50.9,520.9,4.2,0.5,76.1
Brenton Strange,JAC,55.3,549.7,3.5,0.5,74.9
Jonnu Smith,PIT,51.5,532.2,3.8,0.9,74.7
Isaiah Likely,BAL,39.9,472.7,4.7,0.7,73.8
Darren Waller,MIA,49.2,541.5,3.1,0.1,72.7
Chig Okonkwo,TEN,55.1,550,3,0.8,71.7
Mike Gesicki,CIN,51,503,3.4,0.4,70
Dalton Schultz,HOU,49,505.5,3.2,0.4,68.8
Juwan Johnson,NO,47.1,487.3,3.2,0.2,67.5
Pat Freiermuth,PIT,51,489.7,3.4,0.9,67.5
Mason Taylor,NYJ,50.3,506.9,2.9,0.8,66.6
Theo Johnson,NYG,45.2,494.5,2.8,0.1,65.8
Tyler Higbee,LAR,45.3,425.3,3.7,0.1,64.4
Robbie Ouzts,SEA,49,481,3,1,64.1
Elijah Arroyo,SEA,40,424.2,2.8,0.4,58.6
Ja'Tavion Sanders,CAR,43.9,436.5,2.2,0.1,56.6
Will Dissly,LAC,38.6,378.4,2.5,0.1,53
Noah Fant,CIN,37.2,381,2.4,0.1,52.7
Noah Gray,KC,30.2,308.3,2.7,0.1,47.2
Tyler Conklin,LAC,33.7,326.1,2.3,0,46.2
AJ Barner,SEA,32.5,307,2.4,0.1,45
Cole Kmet,CHI,28.6,275,2.3,0.4,40.3
Harold Fannin Jr.,CLE,30.7,303.5,1.8,0.4,40.2
Austin Hooper,NE,29.6,295,1.9,0.4,39.9
Michael Mayer,LV,28.6,262.4,1.8,0.1,36.8
Dawson Knox,BUF,22,238.4,1.9,0,35.2
Terrance Ferguson,LAR,23,235.5,1.9,0.4,34.1
Foster Moreau,NO,19.2,218.3,1.5,0,31
Gunnar Helm,TEN,22,220.8,1.3,0.4,28.9
Oronde Gadsden II,LAC,19.1,195.5,1.6,0.1,28.8
Josh Oliver,MIN,18.3,193.5,1.5,0,28.5
Tommy Tremble,CAR,19.4,184.7,1.7,0.4,27.8
Luke Musgrave,GB,19.3,187.5,1.4,0,27.2
Brock Wright,DET,15,135.2,2.2,0,26.5
Ben Sinnott,WAS,17.8,175,1.5,0,26.3
Cade Stover,HOU,17,161.7,1.2,0,23.5
Adam Trautman,DEN,13.6,147,1.4,0,23.3
Julian Hill,MIA,16,147.7,1,0.4,20.3
Luke Schoonmaker,DAL,14.9,132.5,1.2,0,20.1
Jeremy Ruckert,NYJ,16.3,140.2,0.9,0,19.5
Payne Durham,TB,12,117.6,1.3,0,19.5
Grant Calcaterra,PHI,12.4,136.5,0.9,0,18.7
Elijah Higgins,ARI,11.4,110.6,1.1,0,17.4
Daniel Bellinger,NYG,13.9,130.9,0.7,0,17
Charlie Woerner,ATL,12.6,119.9,0.8,0,16.6
Darnell Washington,PIT,12.3,123.2,0.7,0,16.6
Johnny Mundt,JAC,13.4,115.2,0.8,0,16.5
Colby Parkinson,LAR,10.6,106.9,0.9,0,15.8
Connor Heyward,PIT,10.1,87.4,1.2,0,15.7
Jake Briningstool,KC,10,94,1,0,15.4
Drew Ogletree,IND,7.6,97,0.8,0,14.7
Stone Smartt,NYJ,8.9,96.3,0.8,0.3,13.6
Teagan Quitoriano,ATL,6.4,99.5,0.6,0,13.4
Taysom Hill,NO,2.3,22,0,0,13.2
Drew Sample,CIN,10.4,83,0.8,0,12.8
Blake Whiteheart,CLE,9.1,88.8,0.6,0,12.5
Nate Adkins,DEN,7,55.3,1.1,0,12.1
Lucas Krull,DEN,9.5,85.7,0.6,0,12
Moliki Matavao,NO,7.6,74.5,0.6,0,11.2
Devin Culp,TB,6.8,73,0.6,0,11.1
Charlie Kolar,BAL,6.3,78.3,0.5,0,11
Tanner Conner,MIA,8.6,69.1,0.7,0,10.8
Brevyn Spann-Ford,DAL,7.3,69.6,0.6,0,10.7
John Bates,WAS,7.8,74.3,0.5,0,10.6
Hunter Long,JAC,8.4,75.9,0.4,0,9.8
Gavin Bartholomew,MIN,5.5,59.5,0.6,0,9.4
Kenny Yeboah,DET,6,60.4,0.5,0,9
Eric Saubert,SEA,6.8,60.2,0.5,0,8.7
Travis Vokolek,ARI,5.5,55.5,0.5,0,8.6
Tip Reiman,ARI,6.6,60.4,0.4,0,8.5
Ian Thomas,LV,6.6,58.6,0.4,0,8.2
Mitchell Evans,CAR,6.3,59.7,0.4,0,8.2
Thomas Fidone II,NYG,5.5,52,0.5,0,8.2
Luke Farrell,SF,6.1,59.1,0.4,0,8.2
Cam Grandy,CIN,6.2,54.3,0.4,0,8.1
Ben Sims,GB,5,51,0.5,0,8.1
Jackson Hawes,BUF,5.3,57.2,0.4,0,8
Jelani Woods,NYJ,3.5,46.5,0.5,0,7.7
Jared Wiley,KC,5.4,53.1,0.4,0,7.6
Chris Manhertz,NYG,4.9,44.3,0.4,0,6.7
Durham Smythe,CHI,5.4,45.8,0.4,0,6.7
Will Mallory,IND,3.9,38.8,0.3,0,5.8
Brenden Bates,CLE,4.1,43.4,0.2,0,5.5
David Martin-Robinson,TEN,3.7,37.2,0.3,0,5.2
Davis Allen,LAR,4.1,38.4,0.2,0,5.1
Irv Smith Jr.,HOU,4,33.8,0.3,0,5
Ko Kieft,TB,1.5,16,0.5,0,4.6
Kylen Granson,PHI,3,33.2,0.2,0,4.3
Mo Alie-Cox,IND,2.8,31.1,0.2,0,4.2
Tucker Fisk,LAC,3.3,31.8,0.2,0,4.1
Tanner Hudson,CIN,3,26.7,0.2,0,3.6
Erick All Jr.,CIN,2.4,20.9,0.2,0,3.1
Jack Westover,NE,1.8,18.1,0.1,0,2.6
Feleipe Franks,ATL,1.8,17.7,0.1,0,2.5
James Mitchell,CAR,1.9,17.9,0.1,0,2.3
Josh Whyle,GB,1.5,15.5,0,0,1.6
Jack Stoll,NO,1.5,15,0,0,1.5
Quintin Morris,JAC,1,10,0,0,1
Robert Tonyan,KC,1,10,0,0,1
Nick Vannett,MIN,1,10,0,0,1
Greg Dulcich,MIA,1,9.5,0,0,1
Harrison Bryant,HOU,0.5,5.5,0,0,0.6
Tyree Jackson,WAS,0,0,0,0,0
Shane Zylstra,DET,0,0,0,0,0
John FitzPatrick,GB,0,0,0,0,0
Jake Tonges,SF,0,0,0,0,0
Tanner McLachlan,CIN,0,0,0,0,0
Colson Yankoff,WAS,0,0,0,0,0
Stephen Carlson,CHI,0,0,0,0,0
Josiah Deguara,ARI,0,0,0,0,0
Albert Okwuegbunam Jr.,LV,0,0,0,0,0
Sean McKeon,IND,0,0,0,0,0
Lawrence Cager,WAS,0,0,0,0,0
Nikola Kalinic,CHI,0,0,0,0,0
Cameron Latu,PHI,0,0,0,0,0
Justin Shorter,LV,0,0,0,0,0
Brayden Willis,SF,0,0,0,0,0
Princeton Fant,DAL,0,0,0,0,0
John Stephens Jr.,DAL,0,0,0,0,0
Thomas Odukoya,TEN,0,0,0,0,0
E.J. Jenkins,PHI,0,0,0,0,0
Caleb Lohner,DEN,0,0,0,0,0
