Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Ja'Marr Chase,CIN,120.6,"1,587.20",12.3,1.6,12.7,0,0.6,232.4
Justin Jefferson,MIN,104.3,"1,453.60",9.5,0.5,2.2,0,0.6,201.5
CeeDee Lamb,DAL,112.1,"1,396.50",8.1,9.2,59.1,0.3,1,194.3
Nico Collins,HOU,92.6,"1,320.20",9,0,1.6,0,0.5,185.1
Puka Nacua,LAR,104.1,"1,352.30",6.8,10.7,61.5,0.6,0.6,184.7
Malik Nabers,NYG,107.2,"1,346.10",8.2,2.5,12.2,0,0.6,184.1
Brian Thomas Jr.,JAC,92,"1,296.00",8.6,3.8,24.9,0,0.6,182.5
Amon-Ra St. Brown,DET,110.3,"1,263.20",8.8,1.9,12.6,0.1,0.9,179
A.J. Brown,PHI,85.2,"1,248.00",8.4,0,0,0,0.9,173.3
Drake London,ATL,96,"1,234.90",8.2,0.3,2,0,0.6,171.7
Tyreek Hill,MIA,93,"1,173.90",7.7,7.2,41,0.1,0.6,167.4
Mike Evans,TB,80.2,"1,077.50",10,0,0,0,0.5,166.7
Ladd McConkey,LAC,90.5,"1,210.60",7.6,0,1.4,0,0.7,165.2
Tee Higgins,CIN,86.5,"1,100.50",8.9,0,0,0,0.9,161.9
Terry McLaurin,WAS,84.7,"1,126.80",8.2,1.1,4.8,0,0.9,161
Davante Adams,LAR,85.4,"1,101.60",8.3,0.3,0,0,0.5,159.1
DK Metcalf,PIT,78.9,"1,147.70",7.3,0,1.2,0,1.3,156.2
Xavier Worthy,KC,74.7,928,7.4,15.5,84.7,1.5,0.5,154
Marvin Harrison Jr.,ARI,78.9,"1,090.50",7.6,0,3.2,0,1,153.1
Jaxon Smith-Njigba,SEA,93.5,"1,115.30",6.6,2.7,20.9,0,0.6,152.2
Zay Flowers,BAL,77.3,"1,048.60",6.4,8.2,48.4,0.1,0.5,147.9
Courtland Sutton,DEN,76.7,"1,017.60",7.6,0,0.2,0,0.9,145.5
Jameson Williams,DET,61.4,973.6,6.3,7.4,63.4,0.8,0.5,145.4
DJ Moore,CHI,87.8,"1,016.30",6.5,9.5,53.7,0.1,0.9,144.7
Garrett Wilson,NYJ,91.6,"1,092.50",6,1.9,13.5,0,1.3,144
Calvin Ridley,TEN,70.4,"1,032.60",6,5.6,33.4,0.3,0.9,142.7
Tetairoa McMillan,CAR,80.9,"1,048.20",6.4,0.5,7.6,0,1.2,141.4
George Pickens,DAL,69.7,"1,019.90",6.5,1,6.2,0,0.9,139.6
DeVonta Smith,PHI,81.5,981.1,7,0.3,1.2,0,0.5,139.3
Jerry Jeudy,CLE,83.1,"1,126.40",4.2,0.3,4.8,0,0.6,137.3
Deebo Samuel Sr.,WAS,65.8,835.9,5.1,29.2,124.2,1.3,1,132.4
Ricky Pearsall,SF,67.4,910.2,5.9,7,54,0.3,0.6,132.3
Jaylen Waddle,MIA,78,995.4,5,2.8,16.4,0.1,0.5,130.6
Matthew Golden,GB,65.4,907.8,6.1,0.5,9.4,0,0.8,126.8
Travis Hunter,JAC,71.7,929.5,5.3,3.8,21.8,0.1,0.8,126.1
Rome Odunze,CHI,68.9,923.8,5.7,1.3,8,0,0.9,125.4
Jauan Jennings,SF,68.7,899.5,5.4,2.4,10.8,0.1,0.6,122.9
Jakobi Meyers,LV,77.9,908.7,4.9,1.2,8.7,0,0.5,120.1
Chris Olave,NO,75.4,943.4,4.4,0.3,2.6,0,0.9,118.9
Cooper Kupp,SEA,75.2,850.3,5.6,1.3,9.2,0,0.6,118.6
Keon Coleman,BUF,52.5,824.2,6.1,0.3,3.8,0,0.5,118.4
Stefon Diggs,NE,77.5,854.7,5.2,1.3,6.9,0.2,0.5,117.8
Emeka Egbuka,TB,65.9,835.5,5.7,1.6,11.5,0,1.1,117
Rashid Shaheed,NO,55.8,843.3,4.7,8,46.7,0.1,1.2,115.8
Jordan Addison,MIN,58,760.5,6.1,0.9,6.6,0.2,0.4,113.6
Darnell Mooney,ATL,61.1,864.2,4.6,0,1.5,0,0.5,113.1
Michael Pittman Jr.,IND,78.4,887.4,4.2,0.3,2,0,0.9,112.5
Jayden Reed,GB,52.8,706,5.2,11,79.7,0.7,0.9,112.1
Chris Godwin Jr.,TB,67.9,787.6,5.1,1.6,8.1,0,0.6,109.3
