Player,Team,REC,YDS,TDS,FL,FPTS
Travis Kelce,KC,105.5,"1,236.80",9.9,0.6,234.5
Mark Andrews,BAL,74.8,884.1,6.4,0.2,165.5
T.J. Hockenson,MIN,80.9,833.4,5.7,0.5,157
Darren Waller,NYG,67.4,824.8,5,0.3,145.4
George Kittle,SF,59.8,765.8,5.7,0.5,140.7
Kyle Pitts,ATL,59.2,787.3,4,0.1,132.1
Dallas Goedert,PHI,64.2,738.2,4.1,0.5,129.6
Evan Engram,JAC,62.6,653.7,3.6,0.2,118.8
Pat Freiermuth,PIT,59.9,635.9,4.1,0.2,117.6
Dalton Schultz,HOU,56,575.2,4.2,0.5,109.6
David Njoku,CLE,52.4,576.8,4.3,0.4,109.4
Tyler Higbee,LAR,60.9,576.7,3.4,0.1,108.3
Chigoziem Okonkwo,TEN,47,571.3,3.7,0.1,105.8
Cole Kmet,CHI,47.5,518.8,4.3,0.2,101.1
Gerald Everett,LAC,50.7,521.3,3.7,0.3,99
Greg Dulcich,DEN,44.9,557,3.4,0.1,98.5
Dalton Kincaid,BUF,44.6,508.7,4.2,0.4,97.6
Juwan Johnson,NO,40.6,480.6,4.2,0.1,93.4
Sam LaPorta,DET,44.6,485.3,3.7,0.6,92
Irv Smith Jr.,CIN,43.4,411.4,4.1,0.1,87.1
Hunter Henry,NE,41.1,486.2,2.9,0.1,86.6
Noah Fant,SEA,43.9,453.2,2.9,0.1,84.7
Zach Ertz,ARI,44.8,439.6,2.7,0.1,82.6
Cade Otton,TB,45.2,455.1,2.4,0.1,82.5
Hayden Hurst,CAR,46.2,437.9,2.7,0.5,82.2
Tyler Conklin,NYJ,45.8,432.6,2.4,0.1,80.9
Dawson Knox,BUF,36.8,408.7,3.5,0.2,80.3
Jelani Woods,IND,34.7,426,2.9,0.1,77.3
Mike Gesicki,NE,35.6,406.2,2.7,0.1,74.1
Logan Thomas,WAS,42.6,404,2.1,0.1,74.1
Jake Ferguson,DAL,37.5,378.3,2.9,0.1,73.8
Michael Mayer,LV,37.1,392.8,2.6,0.4,72.7
Luke Musgrave,GB,36.2,384.9,2.6,0.4,71.6
Trey McBride,ARI,35.7,377.9,2,0.1,67.5
Taysom Hill,NO,14.3,192.5,1.7,1.1,66.8
Austin Hooper,LV,28.2,298.7,1.7,0,54
Isaiah Likely,BAL,24,290,2,0,53.2
Noah Gray,KC,22.2,240.6,1.4,0,44.1
Luke Schoonmaker,DAL,21,236.2,1.5,0.3,42.5
Adam Trautman,DEN,20.5,229.5,1.2,0.2,40.4
Foster Moreau,NO,17.6,244,1.2,0.4,39.9
Will Dissly,SEA,20.6,219.4,1.2,0.1,39.4
Donald Parham Jr.,LAC,17.7,208.3,1.6,0,39.3
Jonnu Smith,ATL,19,217.6,1.2,0,39.1
Brock Wright,DET,17.4,183.7,2,0,38.8
