"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","50.1","14.2","10.9","16.6","3.1","0.0","347.1","5,447.8","118.8"
"Baltimore Ravens","","50.9","14.2","11.0","16.5","2.7","0.0","323.9","5,269.0","117.1"
"New York Jets","","47.8","14.5","9.5","15.5","2.8","1.0","339.5","5,165.6","114.6"
"Philadelphia Eagles","","50.9","13.1","10.3","15.1","2.5","0.0","382.4","5,585.2","112.3"
"Houston Texans","","49.1","13.3","10.7","15.5","2.4","0.5","393.5","5,711.0","112.2"
"Kansas City Chiefs","","50.0","12.1","10.0","15.8","2.7","0.5","338.1","5,288.1","111.5"
"Pittsburgh Steelers","","48.5","13.6","9.8","15.8","2.7","0.0","352.3","5,618.6","111.4"
"San Francisco 49ers","","44.4","15.1","9.4","13.8","2.7","0.5","327.0","5,498.6","110.5"
"Cleveland Browns","","47.5","13.4","9.2","14.4","2.9","0.0","358.5","5,232.2","109.8"
"Buffalo Bills","","46.0","13.4","10.7","18.0","2.4","0.5","349.1","5,609.3","109.2"
"Indianapolis Colts","","49.0","12.4","9.9","15.8","2.4","0.5","410.6","5,694.8","109.2"
"Miami Dolphins","","47.2","12.4","10.4","18.0","2.5","0.5","377.0","5,518.2","108.4"
"Cincinnati Bengals","","47.3","13.0","10.0","16.1","2.4","0.0","365.7","5,765.3","107.7"
"Los Angeles Chargers","","45.9","11.5","10.6","18.1","2.4","0.5","384.8","5,708.8","105.3"
"Jacksonville Jaguars","","41.2","13.0","10.9","16.2","2.7","0.0","384.2","5,639.7","105.2"
"Green Bay Packers","","43.9","13.3","9.2","14.7","2.4","0.5","381.7","5,799.8","104.8"
"Washington Commanders","","47.9","11.5","9.9","15.7","2.1","0.5","432.0","5,761.8","104.6"
"Atlanta Falcons","","45.9","12.4","9.3","13.8","2.4","0.5","377.1","5,370.3","104.6"
"New York Giants","","41.6","12.3","11.4","19.3","2.5","0.0","398.5","5,815.3","104.0"
"New Orleans Saints","","41.9","13.4","10.0","14.4","2.5","0.0","362.7","5,538.3","103.9"
"Seattle Seahawks","","45.1","12.6","9.5","14.3","2.2","0.5","394.5","5,826.9","103.1"
"Tampa Bay Buccaneers","","45.3","11.5","10.1","18.0","2.4","0.0","374.7","5,676.7","103.0"
"Las Vegas Raiders","","44.7","11.3","9.5","15.2","2.6","0.5","387.1","5,655.0","102.6"
"Denver Broncos","","41.7","11.3","11.1","18.9","2.4","0.5","407.1","5,967.4","101.5"
"Chicago Bears","","38.1","14.7","8.9","13.2","2.4","0.5","372.4","5,543.8","101.0"
"Detroit Lions","","40.9","13.4","9.1","12.8","2.2","0.5","401.2","5,843.3","100.4"
"Minnesota Vikings","","43.3","11.9","9.6","17.1","2.1","0.0","405.1","5,654.4","99.0"
"Los Angeles Rams","","41.1","13.1","8.2","11.9","2.2","0.5","406.9","5,855.0","97.5"
"Tennessee Titans","","43.5","11.1","9.2","12.9","2.1","0.0","394.2","5,703.3","96.6"
"Arizona Cardinals","","38.3","11.9","8.8","13.3","2.3","0.0","427.1","6,041.3","93.5"
"New England Patriots","","34.9","12.3","9.3","13.9","2.3","0.0","410.8","5,660.9","92.1"
"Carolina Panthers","","36.4","11.6","8.3","11.3","2.2","0.0","403.8","5,574.6","89.5"
""
""
