Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffrey,SF,RB1,272.4,"1,289.30",11.6,69.9,567.6,4.8,1.7,280.6
Breece Hall,NYJ,RB2,249.5,"1,129.30",8.1,66.8,529.9,3.8,1.4,234.7
Bijan Robinson,ATL,RB3,243.8,"1,112.50",7.4,65.6,548.9,4.3,2.2,231.9
Jonathan Taylor,IND,RB4,283.5,"1,270.50",10.1,37.3,279,1.6,1.4,222.3
Saquon Barkley,PHI,RB5,269.1,"1,128.60",9.3,48,344.1,3,1.7,217.6
CeeDee Lamb,DAL,WR1,9.8,68.4,0.8,116.1,"1,488.80",9.7,1.1,216.5
Tyreek Hill,MIA,WR2,5.2,30.5,0.1,110.1,"1,544.80",9.9,1,215.8
Derrick Henry,BAL,RB6,269.2,"1,203.40",11.2,24.9,199.1,0.9,1,211
Kyren Williams,LAR,RB7,245.4,"1,115.30",9.9,34.4,251.4,1.9,1.7,204.6
Jahmyr Gibbs,DET,RB8,202.5,941.8,8.4,54.6,388.9,2.2,1.4,193.9
Isiah Pacheco,KC,RB9,238.6,"1,065.80",8.5,38.8,258.4,1.9,1.4,192.2
Travis Etienne Jr.,JAC,RB10,250,"1,025.20",8.2,46.1,358.2,1.2,1.3,192.1
Josh Jacobs,GB,RB11,255.5,"1,055.90",8.6,39.7,301.9,1.1,1.1,192.1
Ja'Marr Chase,CIN,WR3,3,12.6,0.1,106.5,"1,357.50",8.9,0.7,189.4
Justin Jefferson,MIN,WR4,1.2,3.8,0,105.6,"1,447.80",7.4,1,188
James Cook,BUF,RB12,231.7,"1,033.20",5.1,45,382.4,2.8,1.4,186.2
Amon-Ra St. Brown,DET,WR5,4.5,31.3,0.1,111,"1,351.00",8.2,0.9,186
De'Von Achane,MIA,RB13,175,907,7.3,45.4,348.4,2.9,0.9,184.5
Joe Mixon,HOU,RB14,244.8,961.8,7.6,40.1,304.4,2.2,0.9,183.4
Rachaad White,TB,RB15,235.2,913.7,6.5,52.6,396,2.4,1.7,181.2
Kenneth Walker III,SEA,RB16,240.9,"1,005.60",9,29.1,224.2,1,0.9,181.1
A.J. Brown,PHI,WR6,0,1.4,0,92.9,"1,318.30",8.2,1.3,178.7
Puka Nacua,LAR,WR7,8.9,54.7,0.2,94.7,"1,298.90",7.2,0.7,178.1
Alvin Kamara,NO,RB17,204.7,802.2,5.3,66,467.4,2.2,0.9,169.9
David Montgomery,DET,RB18,205.1,902.4,9.9,22.4,167.6,0.8,0.9,169.5
Garrett Wilson,NYJ,WR8,3.9,19.2,0.1,95.1,"1,189.90",8.2,1.3,167.7
Deebo Samuel Sr.,SF,WR9,35.8,208.4,3.1,66.9,925.2,5.9,1,165
Mike Evans,TB,WR10,0,1.2,0,75.6,"1,121.70",8.4,0.5,161.9
Aaron Jones,MIN,RB19,189.1,868.8,5.3,42.8,313.6,1.9,1,159.5
Nico Collins,HOU,WR11,1.4,8.6,0,78.5,"1,152.20",7.2,0.5,158.6
Zamir White,LV,RB20,235.2,988.4,5.8,32.9,230,0.8,1.3,158.5
Chris Olave,NO,WR12,0,1,0,89.9,"1,201.80",6.5,0.6,158.3
Najee Harris,PIT,RB21,237.1,949,6.6,28.7,180.8,1.2,1,157.5
James Conner,ARI,RB22,201.6,883.1,6.7,32.6,222.2,1.4,0.9,157.3
Marvin Harrison Jr.,ARI,WR13,0.5,3.6,0,88.4,"1,174.80",6.8,1.5,155.5
Brandon Aiyuk,SF,WR14,0.8,4,0,75.4,"1,131.50",7.2,0.9,155.2
Raheem Mostert,MIA,RB23,168.7,804,8.5,25.4,179.2,1.3,1,155.1
Drake London,ATL,WR15,0,2.2,0,87.9,"1,140.10",7,0.9,154.6
DK Metcalf,SEA,WR16,0,1.2,0,73.6,"1,065.90",8.1,0.5,154.3
Rhamondre Stevenson,NE,RB24,208.8,870.9,5.6,41.1,281.7,0.8,1,152
Davante Adams,LV,WR17,0,1,0,93.1,"1,129.20",6.5,0.5,151.1
Cooper Kupp,LAR,WR18,2.9,17.4,0.1,85.9,"1,060.90",7.3,0.5,150.7
DeVonta Smith,PHI,WR19,0,1.2,0,84.8,"1,082.20",7.1,0.9,149
Jaylen Waddle,MIA,WR20,3.6,21.1,0.1,81.8,"1,123.90",5.7,0.5,148.4
DJ Moore,CHI,WR21,2.3,15.1,0.2,76.1,"1,047.20",7,0.9,147.7
Amari Cooper,CLE,WR22,0,1,0,73,"1,106.90",6.3,0.9,146.9
Tee Higgins,CIN,WR23,0,1,0,71.6,"1,026.50",7.5,0.5,146.7
Tony Pollard,TEN,RB25,197.6,846.4,5.7,34.1,236.6,0.9,0.9,145.7
George Pickens,PIT,WR24,2.6,16.9,0,70.7,"1,089.30",6.1,0.9,145.3
D'Andre Swift,CHI,RB26,178.2,810.2,5.2,36.6,251.9,1.6,1,144.9
Javonte Williams,DEN,RB27,204.2,834.4,4.7,41.2,247,1.5,0.9,143.5
Tank Dell,HOU,WR25,11.1,61.6,0.2,70,954.4,7,0.6,143.2
Stefon Diggs,HOU,WR26,1.9,9.1,0.1,85.1,"1,032.00",6.6,1,142.1
Brian Robinson Jr.,WAS,RB28,185.3,776,5.3,28.8,241.2,1.8,1.5,141.4
Malik Nabers,NYG,WR27,0.5,5,0,81.2,"1,076.60",5.9,1.2,141
Travis Kelce,KC,TE1,2.3,7.5,0,89,961,7.5,0.8,140.5
Calvin Ridley,TEN,WR28,2.9,14.8,0,71.2,974.6,7,0.5,139.7
Zay Flowers,BAL,WR29,7.4,46.3,0.6,79.4,964.5,6.2,1,139.6
Devin Singletary,NYG,RB29,196.3,847.3,5,33,212.8,0.7,1,138
Rashee Rice,KC,WR30,1.5,7,0,80.7,960,7.1,1,137.7
Zack Moss,CIN,RB30,170.3,737.9,5.8,29.5,205,1.4,0.5,136.9
Michael Pittman Jr.,IND,WR31,0.3,3,0,96.7,"1,062.20",5,1,134.8
Sam LaPorta,DET,TE2,0,0,0,86.3,891.4,7.7,0.4,134.6
Mark Andrews,BAL,TE3,0,0,0,71.9,869.6,7.9,0.5,133.3
