Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh Allen,BUF,564.9,368.1,"4,062.10",27.7,14,108.7,558.9,8.9,4,360.4
Jalen Hurts,PHI,520.3,339.2,"3,810.80",24.4,12.1,144.8,622.4,11.3,3.8,360.3
Lamar Jackson,BAL,463.6,303.7,"3,567.90",25,10.6,146.1,836.2,5.4,4.4,339.3
Patrick Mahomes II,KC,588.1,394.7,"4,392.00",32.7,11.2,72,376.5,1.8,3.1,337.7
Anthony Richardson,IND,512.2,325.9,"3,505.90",20,11.4,128.1,648.2,7.9,5,310.9
Dak Prescott,DAL,572.5,385.2,"4,182.70",30.6,12,51.9,221.7,2,2.8,306.5
C.J. Stroud,HOU,557,362.6,"4,335.70",29.5,10.1,43.8,183.8,2.4,3.6,306.4
Joe Burrow,CIN,580.3,388.9,"4,239.50",30.2,11.5,56.7,191.2,2.1,3.1,304.5
Kyler Murray,ARI,530.8,353.8,"3,710.80",22,12.1,96.1,530.6,5.2,2.6,303.2
Jordan Love,GB,545.5,354.8,"3,987.90",29.4,11.5,45.7,200.5,2.4,3,294.2
Brock Purdy,SF,498.5,336.2,"4,077.60",29.6,10.8,44.1,161.9,1.9,2.6,293.1
Jayden Daniels,WAS,543.7,338.7,"3,583.70",20.1,13.8,114.6,594.3,5,4.4,290.5
Caleb Williams,CHI,532.8,346.7,"3,784.80",25.3,13.4,78.1,363.4,3.3,4.3,286.8
Trevor Lawrence,JAC,566.6,373.7,"3,986.70",24.4,12.5,66.4,306.4,3.5,4.8,286.4
Justin Herbert,LAC,544.8,356.3,"3,851.00",24.5,9.9,64.9,263.5,2.7,3,278.6
Deshaun Watson,CLE,544.8,334.4,"3,748.40",23,13.3,77.1,385.1,3.2,3.8,278.6
Jared Goff,DET,569,384,"4,231.80",28.1,10.6,24,54,1.1,3.1,276.7
Tua Tagovailoa,MIA,544.9,371.1,"4,269.50",27.3,12.5,31.8,88.7,0.6,3.8,272.5
Kirk Cousins,ATL,537.3,351.9,"4,038.90",27.1,10.5,34.7,101,1.4,4.5,269.1
Baker Mayfield,TB,562.9,355.6,"3,948.40",25.8,11.9,51.8,171,1.4,3.3,268.4
Matthew Stafford,LAR,552.9,355.4,"4,127.40",26.9,12.5,24,67.8,0.6,2.2,266
Aaron Rodgers,NYJ,544.5,359.7,"3,840.60",26.2,9,32.6,107.5,1.3,2.7,262.5
Geno Smith,SEA,521.5,341.8,"3,746.60",24.1,11.9,50.6,204,1.7,3.1,259.1
Will Levis,TEN,513,323.2,"3,727.30",22.2,12.4,53.8,185.3,2.2,4.2,249
Daniel Jones,NYG,494,322.4,"3,227.10",16.6,10.6,95,469.1,3.5,3.6,245.6
Derek Carr,NO,544.7,363.7,"3,843.90",24.6,10.9,24.7,71.1,0.5,3.2,244.5
Sam Darnold,MIN,541.2,343.6,"3,722.40",22,14.4,44.5,173.2,2.1,4.1,244.2
Bo Nix,DEN,496.6,309.7,"3,210.70",19,12.1,61.4,281,2.4,3.6,227.7
Bryce Young,CAR,531.4,333.2,"3,450.60",19.3,11.9,42.5,235.3,1.2,3.5,227.2
Russell Wilson,PIT,443.1,281.9,"2,952.10",18.2,9.4,65.7,297.2,2.6,3.5,219.7
Gardner Minshew II,LV,413.4,259.5,"2,793.60",16.1,10.3,34,123.4,1.8,2.9,182.8
Drake Maye,NE,422.6,267.9,"2,452.40",12.2,10.1,54.7,206.4,1.6,1.9,163.5
Jacoby Brissett,NE,126.7,80.8,"1,301.70",7.4,4.8,11.6,94.5,0.8,1.6,87.9
