player,Position,Team,Team_s,py_fl_per_tou,py_qb_fl
Deshaun Watson,QB,Cleveland Browns,CLE,0,0.23536510751521095
Kenny Pickett,QB,Pittsburgh Steelers,PIT,0,0.23536510751521095
Dak Prescott,QB,Dallas Cowboys,DAL,0,0.3248000679438209
Tom Brady,QB,Tampa Bay Buccaneers,TB,0,0.14932348842312373
Josh Allen,QB,Buffalo Bills,BUF,0,0.1985319125335086
Patrick Mahomes,QB,Kansas City Chiefs,KC,0,0.2231869597375754
Justin Herbert,QB,Los Angeles Chargers,LAC,0,0.11205624078332709
Mac Jones,QB,New England Patriots,NE,0,0.18622980650591237
Joe Burrow,QB,Cincinnati Bengals,CIN,0,0.154661179054932
Matthew Stafford,QB,Los Angeles Rams,LAR,0,0.14927265327424938
Matt Ryan,QB,Indianapolis Colts,IND,0,0.24779117179276788
Aaron Rodgers,QB,Green Bay Packers,GB,0,0.11205624078332709
Kyler Murray,QB,Arizona Cardinals,ARI,0,0.25725377164752455
Jalen Hurts,QB,Philadelphia Eagles,PHI,0,0.21653772226480855
Trey Lance,QB,San Francisco 49ers,SF,0,0.11205624078332709
Kirk Cousins,QB,Minnesota Vikings,MIN,0,0.24615809263517888
Ryan Tannehill,QB,Tennessee Titans,TEN,0,0.23548906576517167
Geno Smith,QB,Seattle Seahawks,SEA,0,0.194036179054932
Lamar Jackson,QB,Baltimore Ravens,BAL,0,0.22012414201789493
Derek Carr,QB,Las Vegas Raiders,LV,0,0.2847483250244309
Jameis Winston,QB,New Orleans Saints,NO,0,0.15280932720308016
Tua Tagovailoa,QB,Miami Dolphins,MIA,0,0.23454986555564034
Russell Wilson,QB,Denver Broncos,DEN,0,0.16768587041295668
Carson Wentz,QB,Washington Commanders,WAS,0,0.2232377948864498
Jared Goff,QB,Detroit Lions,DET,0,0.2875006852277715
Marcus Mariota,QB,Atlanta Falcons,ATL,0,0.16762414201789497
Justin Fields,QB,Chicago Bears,CHI,0,0.3780562407833271
Zach Wilson,QB,New York Jets,NYJ,0,0.159646934040687
Baker Mayfield,QB,Carolina Panthers,CAR,0,0.19768587041295665
Davis Mills,QB,Houston Texans,HOU,0,0.17320352256803578
Daniel Jones,QB,New York Giants,NYG,0,0.25341538780914075
Trevor Lawrence,QB,Jacksonville Jaguars,JAC,0,0.235539900914046
Taysom Hill,TE,New Orleans Saints,NO,0.006495529462274038,0
Tyler Allgeier,RB,Atlanta Falcons,ATL,0.006495529462274038,0
James Cook,RB,Buffalo Bills,BUF,0.006495529462274038,0
Kyren Williams,RB,Los Angeles Rams,LAR,0.006495529462274038,0
Rachaad White,RB,Tampa Bay Buccaneers,TB,0.006495529462274038,0
Ty Chandler,RB,Minnesota Vikings,MIN,0.006495529462274038,0
Zamir White,RB,Las Vegas Raiders,LV,0.006495529462274038,0
Brittain Brown,RB,Las Vegas Raiders,LV,0.006495529462274038,0
Isaiah Spiller,RB,Los Angeles Chargers,LAC,0.006495529462274038,0
Zander Horvath,RB,Los Angeles Chargers,LAC,0.006495529462274038,0
Dameon Pierce,RB,Houston Texans,HOU,0.006495529462274038,0
Josh Johnson,RB,Seattle Seahawks,SEA,0.006495529462274038,0
