player,team,pos,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
Patrick Mahomes,KAN,QB,17,17,25.58823529411765,38.11764705882353,308.8235294117647,2.411764705882353,3.588235294117647,21.058823529411764,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.35294117647058826,0,0.7058823529411765,0.29411764705882354,0.09569654375661886,3.7058823529411766,0.025822876886706675
Josh Jacobs,LVR,RB,17,17,0,0,0,0,20,97.23529411764706,0.7058823529411765,3.764705882352941,3.1176470588235294,23.529411764705884,0,0,0.17647058823529413,0.07506498507750071,23.176470588235293,0.003238844533800792
Christian McCaffrey,2TM,RB,17,16,0.058823529411764705,0.058823529411764705,2,0.058823529411764705,14.352941176470589,67,0.47058823529411764,6.352941176470588,5,43.588235294117645,0.29411764705882354,0,0.058823529411764705,0.01913930875132377,19.41176470588235,9.859643902197094e-4
Derrick Henry,TEN,RB,16,16,0.125,0.125,0.25,0.0625,21.8125,96.125,0.8125,2.5625,2.0625,24.875,0,0,0.375,0.178263093289689,23.9375,0.007447022173981786
Justin Jefferson,MIN,WR,17,17,0.11764705882352941,0.11764705882352941,2,0,0.23529411764705882,1.411764705882353,0.058823529411764705,10.823529411764707,7.529411764705882,106.41176470588235,0.47058823529411764,0,0,0,7.823529411764706,0
Austin Ekeler,LAC,RB,17,17,0,0,0,0,12,53.8235294117647,0.7647058823529411,7.470588235294118,6.294117647058823,42.470588235294116,0.29411764705882354,0,0.29411764705882354,0.1486377202272071,18.352941176470587,0.008098850140585001
Josh Allen,BUF,QB,16,16,22.4375,35.4375,267.6875,2.1875,7.75,47.625,0.4375,0,0,0,0,0.875,0.8125,0.3581117021276596,7.8125,0.04583829787234043
Davante Adams,LVR,WR,17,17,0,0,0,0,0.17647058823529413,-0.058823529411764705,0,10.588235294117647,5.882352941176471,89.17647058823529,0.8235294117647058,0,0.058823529411764705,0.01913930875132377,6.117647058823529,0.00312854085358177
Travis Kelce,KAN,TE,17,17,0,0,0,0,0.11764705882352941,0.29411764705882354,0,8.941176470588236,6.470588235294118,78.70588235294117,0.7058823529411765,0,0.058823529411764705,0.03678636757485318,6.647058823529412,0.00553423229002216
Nick Chubb,CLE,RB,17,17,0,0,0,0,17.764705882352942,89.70588235294117,0.7058823529411765,2.176470588235294,1.588235294117647,14.058823529411764,0.058823529411764705,0,0.058823529411764705,0.03678636757485318,19.41176470588235,0.0018950552993106185
Tyreek Hill,MIA,WR,17,17,0,0,0,0,0.4117647058823529,1.8823529411764706,0.058823529411764705,10,7,100.58823529411765,0.4117647058823529,0,0.058823529411764705,0.01913930875132377,7.470588235294118,0.0025619547147441267
Jalen Hurts,PHI,QB,15,15,20.4,30.666666666666668,246.73333333333332,1.4666666666666666,11,50.666666666666664,0.8666666666666667,0,0,0,0,0.4,0.6,0.23522094926350245,11.066666666666666,0.021254905053930944
A J Brown,PHI,WR,17,16,0,0,0,0,0,0,0,8.529411764705882,5.176470588235294,88,0.6470588235294118,0,0.11764705882352941,0.07357273514970636,5.235294117647059,0.014053219073539418
Stefon Diggs,BUF,WR,16,16,0,0,0,0,0.0625,-0.1875,0,9.625,6.75,89.3125,0.6875,0,0.0625,0.020335515548281505,6.875,0.002957893170659128
Saquon Barkley,NYG,RB,16,16,0,0,0,0,18.4375,82,0.625,4.75,3.5625,21.125,0,0,0.0625,0.020335515548281505,22.0625,9.217230843413714e-4
CeeDee Lamb,DAL,WR,17,17,0,0,0,0,0.5882352941176471,2.764705882352941,0,9.176470588235293,6.294117647058823,79.94117647058823,0.5294117647058824,0,0,0,6.9411764705882355,0
Joe Burrow,CIN,QB,16,16,25.875,37.875,279.6875,2.1875,4.6875,16.0625,0.3125,0,0,0,0,0.75,0.375,0.178263093289689,4.75,0.037529072271513475
