player,Position,Team,player_games,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,tgt_per,rec_per,rec_yds_per,rec_tds_per,Pick,rep,tot_tgt_per,tot_rec_per,tot_rec_yds_per,tot_rec_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per
Kalif Raymond,WR,DET,17,64,47,616,0,0.108843537414966,0.12271540469973888,0.14389161410885307,0.060007356469587644,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.08251003281035033,0.08945080883020776,0.09903150302281478,0.048079159095022764
Josh Reynolds,WR,DET,14,59,38,479,3,0.1218415937803693,0.12047743379336068,0.13586611939800447,0.12492650722729585,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.0923633514606935,0.08781948708862344,0.09350806228139852,0.1000937513254855
Jason Cabinda,RB,DET,8,4,1,5,0,0.01445578231292517,0.00554830287206266,0.00248189675309507,0.004694380684350199,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.01095836373262465,0.004044318484344498,0.0017081326617165691,0.003761236772525767
David Montgomery,RB,DET,16,40,34,316,1,0.11273209549071618,0.16199551569506726,0.15130689499774674,0.09557356704250328,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.08545779674778906,0.11808321816846208,0.1041349721604114,0.0765755568226736
Craig Reynolds,RB,DET,9,10,9,116,0,0.03212396069538927,0.0443864229765013,0.05118222637493836,0.019807176257816347,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.024351919405832558,0.032354547874756,0.03522549133495505,0.015869927198098648
Amon Ra St Brown,WR,DET,16,146,106,1161,6,0.2638180272108844,0.29406005221932113,0.2881482130343378,0.2487921290425013,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.1999901381203999,0.21434887967025854,0.1983142020252938,0.19933749889292618
Brock Wright,TE,DET,17,24,18,216,4,0.04081632653061225,0.04699738903394256,0.05045550105115627,0.09126475733423939,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.030941262303881372,0.03425775657327106,0.03472533222877921,0.07312324764490152
Jameson Williams,WR,DET,6,9,1,41,1,0.04336734693877551,0.00739773716275021,0.02713540450050611,0.0635156124718007,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.032875091197873955,0.005392424645792662,0.01867558376810116,0.05089004776601355
James Mitchell,TE,DET,14,11,11,113,1,0.02271622934888241,0.03487504662439388,0.03205192378282778,0.035051467300295465,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.017220285865553023,0.02542143047302257,0.02205931323131113,0.028083974565668354
Maurice Alexander,WR,DET,4,1,1,7,0,0.00722789115646258,0.01109660574412532,0.0069493109086662,0.004166394741601063,NA,NA,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.005479181866312322,0.008088636968688997,0.004782771452806396,0.0033382033040503358
Travis Kelce,TE,KC,17,152,110,1338,12,0.2334869431643625,0.2528735632183908,0.2643224022125642,0.2690764739097398,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.21155406615094327,0.21293216529882886,0.21129133677393663,0.20591908714076257
Jerick McKinnon,RB,KC,17,71,56,512,9,0.10906298003072196,0.12873563218390804,0.10114579217700514,0.16644676661394284,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.09881801774155903,0.10840182960667652,0.08085288821244811,0.12737853198630764
Blake Bell,TE,KC,3,2,2,20,1,0.01740911418330773,0.02605363984674329,0.02238904253918082,0.07960491983366708,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.01577376809020191,0.021938465515636912,0.0178971236928596,0.06092012499599267
Justin Watson,WR,KC,17,34,15,315,2,0.05222734254992319,0.03448275862068965,0.06222836823389965,0.04884233015641323,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.047321304270605734,0.029036204358931207,0.04974347614633038,0.037378102565035494
Marquez Valdes Scantling,WR,KC,17,81,42,687,2,0.12442396313364054,0.09655172413793103,0.13571710786250496,0.08355070409278931,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.11273604840938424,0.0813013722050074,0.10848815273818721,0.06393975833995195
Richie James,WR,KC,17,70,57,569,4,0.1346153846153846,0.16473988439306358,0.1802343997465949,0.1940353276109946,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.12197012644861444,0.1387192075298072,0.1440739299292579,0.1484915308802422
Kendall Blanton,TE,KC,4,2,2,35,0,0.0160075329566855,0.02449567723342939,0.04786036036036036,0.012462270860221818,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.014503846082939894,0.02062658321174796,0.03825812505627336,0.009537137907116423
Clyde Edwards Helaire,RB,KC,10,23,17,151,3,0.06006144393241167,0.0664367816091954,0.05071118135124457,0.09224711831082619,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.05441949991119659,0.055943087064874136,0.04053698516432701,0.07059495807241463
Kadarius Toney,WR,KC,9,20,16,171,2,0.06690402838501792,0.08333572693762267,0.08726928857292424,0.11854588758678289,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.06061931795802871,0.07017284273506612,0.06976043077519788,0.09072090399233593
Ihmir Smith Marsette,WR,CAR,8,4,1,15,0,0.01505340638662903,0.00585954330030159,0.00861210084601226,0.0055034931763037215,NA,NA,1.3953281856847293,1.46312985024636,1.538652718150931,1.3418597840983797,0.010788434248708215,0.004004800598740411,0.005597170007512684,0.004101392143592425
Noah Gray,TE,KC,17,34,28,299,1,0.05222734254992319,0.06436781609195402,0.05906756222836824,0.040813886225330234,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.047321304270605734,0.05420091480333826,0.047216823389691374,0.031234087737473996
Skyy Moore,WR,KC,16,33,22,250,0,0.05385944700460829,0.05373563218390804,0.05247431845120506,0.026772638423858783,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.04880009502906216,0.045248085126001134,0.0419463836551397,0.02048858892970334
Isiah Pacheco,RB,KC,17,14,13,130,0,0.02150537634408602,0.02988505747126436,0.02568154879494271,0.012427257586205432,NA,NA,1.1036750435123766,1.1875780385904036,1.2509855171930981,1.3067097258730755,0.0194852429349553,0.025164710444407046,0.020529053647691902,0.009510342917132712
Antoine Green,WR,DET,NA,NA,NA,NA,NA,0.02845946866583336,0.02845946866583336,0.02845946866583336,0.028459468665833355,219,0.02845946866583336,1.319155182802355,1.3718758533829778,1.4529882887438703,1.2480949666983612,0.021574011182956744,0.0207449300865335,0.019586853442870478,0.022802326285409517
