player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
Jermar Jefferson,RB,DET,0,0,0,0,0.027409648194162816,0.042675511052045915,0.060325067970759025,0.011683701991836274,0.013060926567513134,0.008434573423006771,0.008075705452184157,0,0.011832333319347124
Dante Pettis,WR,CHI,0,0,0,0,0,0,0,0.06353420985558449,0.05119946040724932,0.0450809781649984,0.04797535199923069,0,0.011832333319347124
Russell Gage,WR,BAL,0,0,0,0,0,0,0,0.13078228888259583,0.12581483710443242,0.1223134990790526,0.14898098359825057,0,0.011832333319347124
Jelani Woods,TE,IND,0,0,0,0,0,0,0,0.0828416270007384,0.07516051169832712,0.08463581504090933,0.07919647124096119,0,0.011832333319347124
Denzel Mims,WR,JAC,0,0,0,0,0,0,0,0.0458193482192609,0.04061561619141494,0.04090643422365506,0.048053228481574825,0,0.011832333319347124
Cameron Latu,TE,SF,0,0,0,0,0,0,0,0.04953227481073358,0.048103650050878015,0.04868901890559224,0.05158872853762522,0,0.011832333319347124
Justin Shorter,WR,BUF,0,0,0,0,0,0,0,0.04899315227764506,0.048543598095115735,0.04750494108095849,0.05124132626544769,0,0.011832333319347124
Lew Nichols,RB,PHI,0,0,0,0,0.12138118951133715,0.13796820125730708,0.11917013974312418,0.03338754218848954,0.03398468777959859,0.0341041495032625,0.03722610536541239,0,0.011832333319347124
Dax Milne,WR,LV,0,0,0,0,0,0,0,0.003006428489675468,0.0031965670858427673,0.003113597850920637,0.00319473131264532,0,0.011832333319347124
Brittain Brown,RB,LV,0,0,0,0,3.2099119973605876e-6,3.590635304924521e-6,3.5592607948136537e-6,2.9154960380410534e-4,2.9556946308922563e-4,2.974860440384207e-4,2.8327196678938746e-4,0,0.011832333319347124
Tim Patrick,WR,DEN,0,0,0,0,0,0,0,0.13549653463364636,0.12457744894708,0.15741373300978775,0.1814724460964981,0,0.011832333319347124
Quintez Cephus,WR,HOU,0,0,0,0,0,0,0,0.03645723761157591,0.03611274105169384,0.03592799625088728,0.035106508346874024,0,0.011832333319347124
KJ Hamler,WR,BUF,0,0,0,0,0.013733699341730434,0.030300330495486822,0.014589409812800441,0.04554800960245871,0.04278121207218563,0.05725218145256028,0.03924508520738809,0,0.011832333319347124
Jody Fortson,TE,MIA,0,0,0,0,0,0,0,0.021328713049587878,0.019900152858274945,0.019070988888768743,0.01763699029208807,0,0.011832333319347124
Tom Kennedy,WR,DET,0,0,0,0,0,0,0,0.011709542583265396,0.012268442973778866,0.012856383940937903,0.012239300229731524,0,0.011832333319347124
Shane Zylstra,TE,DET,0,0,0,0,0,0,0,0.04278951202420906,0.039866690463316326,0.02929352973537372,0.044568064083162766,0,0.011832333319347124
Armani Rogers,TE,PHI,0,0,0,0,0.005432201916132821,0.019941948363019622,0.005431755323656041,0.01151549845926779,0.011921408058694957,0.012275444196854713,0.012853572485944464,0,0.011832333319347124
Aaron Rodgers,QB,NYJ,0,2,0,0,0.030247923714247955,0.02268177191203937,0.03773887914218237,0,0,0,0,1.352683461117196,0
J K Dobbins,RB,LAC,0,2,0,0,0.20630876083923502,0.18201412457219746,0.1877866112969899,0.03959429412938432,0.03601024502684856,0.026003123190071673,0.02742579322875143,0,0.011635127764024672
Evan Hull,RB,IND,0,2,0,0,0.06140283865924391,0.03730913790428513,0.02661010325972255,0.047616298439947385,0.048987607094256334,0.04707951031311026,0.04715649606314533,0,0.011792892208282633
Maurice Alexander,WR,DET,0,1,0,0,0,0,0,0.0023283027209873774,0.0025454252705008054,0.0021453633653471553,0.002160157677513562,0,0.011832333319347124
Spencer Brown,RB,ATL,0,1,0,0,0.04844126577044371,0.049462671159662,0.05652043137607139,0.012772939225219368,0.012619557497725075,0.009532769448171665,0.011759265074395803,0,0.011832333319347124
Zaire Mitchell Paden,TE,CLE,0,1,0,0,0,0,0,0,0,0,0,0,0.011832333319347124
Jaret Patterson,RB,LAC,0,1,0,0,0.08260176596069249,0.10335078086728366,0.07019117154423453,0.021688234240825888,0.01867836178199673,0.014298042879291806,0.01800791820810648,0,0.011832333319347124
Brandon Smith,WR,NYJ,0,1,0,0,0,0,0,0.044408439955958653,0.04362365094110797,0.04220196974808784,0.05031621568654823,0,0.011832333319347124
Racey McMath,WR,DAL,0,1,0,0,0.007317640279992167,0.007299713770623486,0.011749150979570813,0.017727926800056942,0.01664538230065521,0.022226575861738273,0.0206432048814104,0,0.011832333319347124
Snoop Conner,RB,DAL,0,1,0,0,0.0428182563269139,0.032372262421527055,0.061538409139735226,8.544767122457453e-4,8.22492241402308e-4,8.3637264382318e-4,8.599225572472583e-4,0,0.011832333319347124
Nsimba Webster,WR,CHI,0,1,0,0,0,0,0,0.0088747409414977,0.008805667742975226,0.007261951133010502,0.007522071581959229,0,0.011832333319347124
Nick Chubb,RB,CLE,0,2,0,0,0.4521684573105431,0.4417613543386679,0.40385294453150294,0.058555364852109694,0.06656573570280594,0.05447363712554738,0.052320010971519844,0,0.011201275542315278
Mike Williams,WR,NYJ,0,2,0,0,0.0011808238075478902,0,0,0.13460808631508545,0.13088886724728685,0.1393200463745196,0.1347486698536931,0,0.01143792220870222
Julius Chestnut,RB,TEN,0,1,0,0,0,0,3.1562514366170154e-5,0.0029698510774573,0.0032812556506103293,0.00545963144680727,0.004294053494139115,0,0.011832333319347124
Josh Ali,WR,ATL,0,1,0,0,0,0,0,0.0033086660655398245,0.002550409827017347,0.001991115806380877,0.0030769252302635633,0,0.011832333319347124
Zonovan Knight,RB,DET,0,2,0,0,0.07023650070418201,0.054602273323697575,0.05590771551416113,0.019578303261034373,0.021531282360006777,0.01995960626480889,0.01600723335368772,0,0.011753451097218143
Anthony Richardson,QB,IND,0,2,0,0,0.16569576367148445,0.19155776987575557,0.16029709467077718,0,0,0,0,1.4890470974808325,0
Greg Dulcich,TE,DEN,0,2,0,0,0,0,0,0.08546375367198976,0.0825645748531368,0.07702721081186621,0.08496756995558451,0,0.011773171652750387
Zach Ertz,TE,WAS,0,2,0,0,5.926841717626767e-9,2.9242145051881946e-9,7.22048649640586e-9,0.1364325760292742,0.13538434922656595,0.12630869444711113,0.1338677065485981,0,0.011299878319976503
Mohamed Ibrahim,RB,MIN,0,1,0,0,0,0,0,0,0,0,0,0,0.011832333319347124
Kirk Cousins,QB,ATL,0,2,0,0,0.07827292081273635,0.06476940098109459,0.059985943926154556,0,0,0,0,1.6708652792990142,0
Kendrick Bourne,WR,NE,0,2,0,0,0.008256226628034944,0.007520837644241001,0.008656522400860884,0.14281642338173825,0.14618955001365871,0.16093937170349254,0.17099110286596608,0,0.012749618875788472
Daniel Jones,QB,NYG,0,2,0,0,0.109755079231318,0.1479272387299644,0.15551905655738998,0,0,0,0,1.534501642935378,0
Cam Akers,RB,HOU,0,2,0,0,0.2507539631990012,0.21520689561777287,0.23444625002278358,0.03254061156993541,0.0367566699834075,0.027456337026149073,0.02573206714562656,0,0.010432173876557715
Hayden Hurst,TE,LAC,0,2,0,0,0,0,0,0.09761984047807348,0.09143203936867719,0.09680191908866534,0.0900850965693588,0,0.01147736331976671
Deshaun Watson,QB,CLE,0,2,0,0,0.1848191964932052,0.19126139086663183,0.1520829678318607,0,0,0,0,1.3981380065717415,0
Mark Andrews,TE,BAL,0,2,0,0,5.77239813565066e-5,3.651341227644241e-5,6.621913419031837e-5,0.1540915375579291,0.15745344995773272,0.1647826803038776,0.14329839525930788,0,0.012591854431530512
Joe Burrow,QB,CIN,0,2,0,0,0.31275760304574574,0.3492377933054768,0.4480270655553753,0,0,0,0,1.443592552026287,0
Emanuel Wilson,RB,GB,0,2,0,0,0.037604323831317524,0.04992842397657063,0.02469879095260859,0.014474931818643547,0.012989560773001774,0.010422192353419171,0.00969275722950632,0,0.013144029986433377
Rakim Jarrett,WR,TB,0,2,0,0,2.7016890978684322e-5,1.6784498408629778e-5,2.829698690629963e-5,0.02001386894560806,0.017438558900333273,0.034501829884564614,0.0190767812679308,0,0.011733730541685899
D Wayne Eskridge,WR,SEA,0,2,0,0,0.021742136953358228,0.04542842567979789,0.025250513151643575,0.013711665413639992,0.011706588424242053,0.010470497042375754,0.013385972854729797,0,0.011792892208282633
Laviska Shenault,WR,SEA,0,2,0,0,0.008010869592813115,0.006785598050412116,0.007494313921900524,0.046066861946304855,0.05411194146917521,0.04633549807640184,0.04527445457783254,0,0.013065147764304397
Christian Kirk,WR,JAC,0,2,0,0,1.3915359648699848e-4,1.721452915904753e-4,1.5991730961288894e-4,0.15788812000022667,0.15485767921876215,0.18591323690116968,0.15846583469128483,0,0.014021874431810235
Rhamondre Stevenson,RB,NE,0,2,0,0,0.5322797146124265,0.49990564794432296,0.5864628108111652,0.08500090095656126,0.09225408799039383,0.06170152856122611,0.0792115680722846,0,0.009673212212758221
Christian Watson,WR,GB,0,2,0,0,0.0192802117611649,0.027738969975121274,0.016679809341305342,0.14264051918727724,0.14182242246385127,0.14922391480739716,0.17716038746420498,0,0.011201275542315278
Josh Whyle,TE,TEN,0,2,0,0,0,0,0,0.04586219631031266,0.04550911978798199,0.043654083702801445,0.039700762211077885,0,0.011654848319556916
Tank Dell,WR,HOU,0,2,0,0,0.011640333230029321,0.02258243509407931,0.012105740504940364,0.12548435491810075,0.11933415257030074,0.1177695351130981,0.1312772593126025,0,0.012355207765143568
Keenan Allen,WR,CHI,0,2,0,0,1.136950061196368e-8,6.706039581422934e-9,1.2903025404031281e-8,0.1717029442598728,0.16972554545575255,0.16779761624105063,0.17449980796810388,0,0.012996405544133484
Josh Jacobs,RB,GB,0,2,0,0,0.4721824914009145,0.4954461459173026,0.47663577858579664,0.10412190454598196,0.10787066735711662,0.093279726704548,0.09587008290816182,0,0.011507783325640918
Justin Herbert,QB,LAC,0,2,0,0,0.13845857410825124,0.1150132034392263,0.1368277462890015,0.0011416197936582188,0.0012029827675924072,0.0010725274374598112,0.0013377124248722182,1.534501642935378,0
Jalen Nailor,WR,MIN,0,2,0,0,0,0,0,0.040430757343907414,0.03514905899907164,0.033822582308205805,0.030036675640213322,0,0.011773171652750387
Hunter Henry,TE,NE,0,2,0,0,0,0,0,0.08693960404755396,0.08927819952504874,0.09092286015380262,0.13374019061637044,0,0.012670736653659493
Myles Gaskin,RB,MIN,0,1,0,0,0,0,0,0.00493644708752346,0.005039961156161869,0.0049570493637811405,0.0050426990706066935,0,0.011832333319347124
Nick Westbrook Ikhine,WR,TEN,0,2,0,0,0,0,0,0.0747029785482734,0.07100124653330354,0.08582678599572047,0.07477892379083155,0,0.011280157764444259
Marquise Brown,WR,KC,0,2,0,0,0.0019899776730987317,4.836719219203028e-4,0.0014946813679010264,0.10350552365269727,0.09422150882247912,0.09455295254273942,0.09623875676440326,0,0.010787143876138128
Jauan Jennings,WR,SF,0,2,0,0,0,0,0,0.05843569654178841,0.05781235499541071,0.05358485565551718,0.054292245136551474,0,0.011457642764234464
Trishton Jackson,WR,MIN,0,1,0,0,0,0,0,0.007558822036555316,0.007133678726340307,0.005669251471901661,0.00665732055399073,0,0.011832333319347124
Brock Wright,TE,DET,0,2,0,0,0,0,0,0.03097553643764375,0.03508598388685494,0.02826216561590781,0.027754576853649092,0,0.011575966097427936
Kadarius Toney,WR,KC,0,2,0,0,0.0049836840053297336,0.010094754888045511,0.004606719363548849,0.049079387018029344,0.046360847811779946,0.03860248918341999,0.03980536779810627,0,0.012749618875788472
Michael Mayer,TE,LV,0,2,0,0,0,0,0,0.1059254164980644,0.10892638928436552,0.10716596595468422,0.10761743514954379,0,0.011299878319976503
Keaton Mitchell,RB,BAL,0,2,0,0,0.1254748206413005,0.15975819095126345,0.11743163992850847,0.03645249837309765,0.04331145630528864,0.03827859738230358,0.029285819797853656,0,0.010727982209541393
Tyler Badie,RB,DEN,0,1,0,0,0.01348178552363113,0.00976367413500665,0.013191916966814897,0.026550183796090504,0.027436167879824492,0.028428222228531457,0.030381641213036725,0,0.011832333319347124
Princeton Fant,TE,DAL,0,1,0,0,0,0,0,0,0,0,0,0,0.011832333319347124
