player,Position,Team,player_games,pl_rus_att,pl_rus_yds,pl_rus_tds,rus_att_per,rus_yds_per,rus_tds_per,Pick,tot_rus_att_per,tot_rus_yds_per,tot_rus_tds_per,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per
Derrick Henry,RB,BAL,17,280,1167,12,0.6306306306306306,0.632177681473456,0.6904700203995979,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.40698287532868793,0.3697325755364869,0.44369502799393473
Lamar Jackson,QB,BAL,16,148,821,5,0.29066543438077636,0.3278137918075911,0.2512110144715312,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.18758342601382139,0.19172368954706842,0.1614278314847393
Mark Andrews,TE,BAL,10,1,0,0,0.00314232902033271,0,0.001256931608133084,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.0020279289298791455,0,8.077024180344774e-4
Justice Hill,RB,BAL,16,84,387,3,0.16497227356746766,0.15452367531003383,0.14273935388106737,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.10646626881865538,0.09037401687541473,0.09172410060532908
Deonte Harty,WR,BAL,16,4,0,0,0.00830078125,0,0.0033203125000000003,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.005356980229807715,0,0.002133627969514909
Rashod Bateman,WR,BAL,16,1,18,0,0.00196395563770794,0.00718714768883878,0.0015042970239670542,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.0012674555811744636,0.004203442645368125,9.666590734438837e-4
Zay Flowers,WR,BAL,16,8,56,1,0.01571164510166358,0.02236001503194288,0.028953351851552026,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.010139644649395747,0.01307737711892306,0.018605381668646448
Keaton Mitchell,RB,BAL,8,47,396,2,0.1846118299445471,0.31623449830890643,0.18719895103947876,NA,1.549526205792615,1.709824135880258,1.5561815590348165,0.11914082463040004,0.18495147639619758,0.12029377289086006
Rasheen Ali,RB,BAL,NA,NA,NA,NA,0.249527326259489,0.249527326259489,0.249527326259489,165,1.549526205792615,1.709824135880258,1.5561815590348165,0.16103459581817822,0.1459374218805412,0.16034589589549708
Patrick Mahomes,QB,KC,16,75,389,0,0.19109712230215825,0.23167741031390135,0.09960658995225344,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.14589513721333758,0.18574160910668858,0.07991887322014263
Clyde Edwards Helaire,RB,KC,15,70,223,1,0.19024780175859313,0.14166666666666666,0.15322875033306688,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.1452467143812783,0.11357773115555524,0.122942358306005
Kadarius Toney,WR,KC,13,11,31,0,0.034495480538646,0.02272335288030355,0.016070527503488755,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.02633594271748452,0.018217883748648907,0.012894111230469615
Noah Gray,TE,KC,17,1,1,0,0.00239808153477218,5.605381165919282e-4,0.001015286425568065,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.0018308409375791365,4.493975118262539e-4,8.146102297649262e-4
Skyy Moore,WR,KC,14,3,23,0,0.00873586844809866,0.01565502882767457,0.005059850262006921,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.00666949198689543,0.012551030508861806,0.004059746767719641
Keaontay Ingram,RB,KC,8,35,74,0,0.15790870488322717,0.06649048625792811,0.06981253057908368,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.12055708578223139,0.053307095806624225,0.05601375153191755
Isiah Pacheco,RB,KC,14,205,935,7,0.5969510106200753,0.6364109545163358,0.7746437219218859,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.45574861910452114,0.5102266750341647,0.6215317021969191
Rashee Rice,WR,KC,16,1,-3,0,0.00254796163069544,-0.00178671524663677,8.405131276144989e-4,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.0019452684961778317,-0.0014324545689461832,6.74381706249437e-4
Mecole Hardman,WR,KC,11,1,3,0,0.00338590616558574,0.00242080108936049,0.0015964425751703452,NA,1.3098251658842017,1.247310236129308,1.2463462751517966,0.0025850061930212443,0.0019408171433538423,0.001280898099507626
Josh Jacobs,RB,GB,13,233,805,6,0.7377537716520768,0.6826798363763344,0.7200128489418208,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.3935492089042151,0.37502668108300097,0.37541501499275715
Jordan Love,QB,GB,17,50,247,4,0.11337868480725624,0.12965879265091862,0.25831735318799437,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.06048100792839971,0.07122739546433254,0.13468678116297925
AJ Dillon,RB,GB,15,178,613,2,0.45744520030234315,0.3646894138232721,0.3327803548365978,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.24402070665511666,0.2003402667027826,0.1735118228568879
Christian Watson,WR,GB,9,4,11,0,0.01713277903754094,0.01090696996208807,0.007943808611225183,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.009139352309180398,0.005991688237440478,0.004141905291364694
Bo Melton,WR,GB,5,3,21,0,0.02312925170068027,0.03748031496062992,0.012999732176335101,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.01233812561739354,0.020589619579568192,0.006778066054033727
Dontayvion Wicks,WR,GB,15,1,1,0,0.00256991685563114,5.94925634295713e-4,0.0010874593056820273,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.0013709028463770592,3.2681935840584434e-4,5.670017585750324e-4
Emanuel Wilson,RB,GB,7,14,85,0,0.07709750566893424,0.10836145481814773,0.04167514774938847,NA,1.874616324871426,1.8203500465750693,1.917911698219401,0.041127085391311796,0.05952781170963593,0.02172944030117752
MarShawn Lloyd,RB,GB,NA,NA,NA,NA,0.41960694727326725,0.41960694727326725,0.41960694727326725,88,1.874616324871426,1.8203500465750693,1.917911698219401,0.22383617474474238,0.23050893319268148,0.21878324620619002
Saquon Barkley,RB,PHI,14,247,962,6,0.6606356198867211,0.6233419728617167,0.6908741595265744,NA,1.6727573356489036,1.5486740409981865,1.7387050023451684,0.3949381095557679,0.4025004335062956,0.3973498428972839
Dallas Goedert,TE,PHI,14,1,1,0,0.00238095238095238,5.544683626875408e-4,0.001007827788649706,NA,1.6727573356489036,1.5486740409981865,1.7387050023451684,0.001423369863763742,3.58027801854393e-4,5.796427728052466e-4
Jalen Hurts,QB,PHI,17,157,605,15,0.3078431372549019,0.2762557077625571,0.49167191658730736,NA,1.6727573356489036,1.5486740409981865,1.7387050023451684,0.1840333506207474,0.17838208715921816,0.28278052684275906
