player,team,py_games_played,games_played,pas_att_rat,cmp_rat,pas_yds_rat,pas_tds_rat,int_rat
Jared Goff,DET,17,0,33.16237495540408,23.657759220252288,279.63955117251066,1.6596230714026414,-0.6017396728280828
Justin Herbert,LAC,17,0,32.108104310325565,21.522682928510484,252.02669677201052,1.4347404393341274,-0.6863754119152237
Sam Darnold,SEA,17,0,31.493228853536905,19.919021229233866,241.54391318983573,1.5589300025777748,-0.548937323939525
Caleb Williams,CHI,17,0,33.04073947287276,20.873744495019277,226.22322217448482,1.321055228527053,-0.30222889018411725
Russell Wilson,NYG,11,0,30.548261222797848,19.712247510774272,231.78260767219143,1.4666083425153942,-0.5556502767528008
Geno Smith,LV,17,0,32.958338164639216,23.13621897298717,253.99298615980405,1.3911341995465216,-0.47481513814189547
Jordan Love,GB,15,0,30.984489229329633,20.180057787242692,245.65594876027032,1.5170541530630224,-0.5319778125282585
Baker Mayfield,TB,17,0,32.623089596178474,23.648489112553257,265.39665120201784,1.6967258390378954,-0.5755813253979509
Kyler Murray,ARI,17,0,33.363789587231196,23.005568911842033,250.78858350092557,1.3889905549778894,-0.5265280130771725
Bryce Young,CAR,12,0,31.573612542813006,20.08897863871154,218.29034806287083,1.3287971575296773,-0.36233360037589873
Joe Burrow,CIN,17,0,37.707632693146735,26.991868185820458,288.5201445548427,1.750603318829406,-0.6769937446258136
Aaron Rodgers,PIT,17,0,33.26899157727762,21.145755080957414,244.37484716631477,1.537222486349953,-0.5396760771147081
Mac Jones,SF,8,0,32.683925529558394,22.18834619556857,225.17285505396666,1.3077653721260607,-0.34305555261429327
Lamar Jackson,BAL,17,0,28.70572513164336,19.30986859273258,253.9844741199725,1.7222342493049907,-0.7117270865291012
Bo Nix,DEN,17,0,33.27047977181278,22.49365922735954,241.11119102796167,1.4989860186679256,-0.20224347663711315
Jayden Daniels,WAS,16,0,31.824540538888375,21.206570753400477,235.90217400597686,1.454912138848265,-0.25656776411704063
Mason Rudolph,PIT,8,0,33.70583449372067,22.154399584933433,240.59060945890894,1.3611587469082118,-0.33195706157551347
Spencer Rattler,NO,7,0,34.24251451568865,21.26080096074338,221.15472736168402,1.2501905706666403,-0.12721178343509662
Drew Lock,SEA,6,0,31.66723890148151,19.801278533266803,226.8912806186841,1.3403395129028326,-0.3324930776877439
Aidan O Connell,LV,8,0,33.64444188739969,21.63479882746291,236.83888946548248,1.3717688376626032,-0.36049138211305165
Michael Penix,ATL,4,0,32.954864232451,19.97414688101299,234.77946852662402,1.3199815746631929,-0.10472763083733744
Joe Flacco,CLE,7,0,37.10285308500202,24.52618450530653,277.3163406024358,1.5760185021479955,-0.39005821921566886
Tyler Huntley,CLE,5,0,30.614619748831057,20.147217897641497,202.50161383747886,1.2589891351447078,-0.37838802322832044
