"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","188","1,080","5.7","72","9","7","13","18","132","10.2","0","0","8","171.7","21.5","99.9%"
"2","Jahmyr Gibbs (DET)","124","617","5.0","30","6","6","27","33","321","11.9","2","1","8","153.3","19.2","99.9%"
"3","Josh Jacobs (GB)","137","523","3.8","20","1","11","16","18","212","13.3","0","2","7","143.5","20.5","99.8%"
"4","Bijan Robinson (ATL)","141","654","4.6","37","2","8","21","25","125","6.0","0","0","7","138.4","19.8","99.9%"
"5","De'Von Achane (MIA)","99","366","3.7","50","2","3","41","45","290","7.1","3","0","8","122.1","15.3","99.8%"
"6","Chase Brown (CIN)","124","511","4.1","40","4","3","33","39","262","7.9","2","1","7","121.8","17.4","99.2%"
"7","Bucky Irving (TB)","105","614","5.8","56","4","4","22","22","223","10.1","0","0","7","118.7","17.0","99.7%"
"8","James Cook (BUF)","88","485","5.5","65","5","8","13","16","88","6.8","1","0","7","117.8","16.8","99.4%"
"9","Jonathan Taylor (IND)","164","752","4.6","70","6","5","7","13","33","4.7","1","1","7","116.0","16.6","99.8%"
"10","Kyren Williams (LAR)","155","697","4.5","27","1","6","14","15","66","4.7","0","2","8","115.3","14.4","99.3%"
"11","James Conner (ARI)","89","430","4.8","53","3","4","28","30","247","8.8","1","0","7","111.7","16.0","97.0%"
"12","Derrick Henry (BAL)","137","731","5.3","44","4","3","8","8","77","9.6","0","1","7","100.8","14.4","99.9%"
"13","Joe Mixon (HOU)","114","384","3.4","45","3","5","21","31","189","9.0","0","0","7","97.8","14.0","82.0%"
"14","Aaron Jones Sr. (MIN)","120","528","4.4","41","1","3","20","27","133","6.7","1","2","8","96.1","12.0","92.2%"
"15","Chuba Hubbard (CAR)","117","530","4.5","28","5","5","17","25","63","3.7","0","2","6","95.8","16.0","97.7%"
"16","David Montgomery (DET)","75","287","3.8","13","0","5","19","20","180","9.5","0","0","6","86.2","14.4","94.6%"
"17","Rico Dowdle (CAR)","142","686","4.8","27","2","1","16","20","74","4.6","0","2","8","86.0","10.8","7.4%"
"18","Rachaad White (TB)","74","338","4.6","38","1","2","20","23","141","7.1","3","2","7","83.9","12.0","58.5%"
"19","Ameer Abdullah (FA)","50","230","4.6","17","0","1","26","30","201","7.7","3","0","7","80.1","11.4","0.0%"
"20","Tyrone Tracy Jr. (NYG)","89","338","3.8","40","2","3","19","30","161","8.5","1","2","7","79.4","11.3","88.4%"
"21","Najee Harris (LAC)","115","415","3.6","20","3","3","15","19","111","7.4","0","0","8","78.1","9.8","42.3%"
"22","Jaylen Warren (PIT)","73","339","4.6","22","1","1","26","32","243","9.3","0","1","8","75.2","9.4","86.6%"
"23","Zach Charbonnet (SEA)","60","297","5.0","51","3","4","17","21","119","7.0","0","0","7","74.1","10.6","67.6%"
"24","Breece Hall (NYJ)","71","317","4.5","18","0","2","19","21","141","7.4","1","1","6","73.3","12.2","96.4%"
"25","D'Andre Swift (CHI)","108","389","3.6","39","1","1","17","21","162","9.5","0","0","8","69.6","8.7","94.9%"
"26","Tony Pollard (TEN)","96","395","4.1","27","2","2","17","25","103","6.1","0","2","7","68.3","9.8","91.1%"
"27","Tyjae Spears (TEN)","51","198","3.9","23","1","3","18","23","148","8.2","1","0","7","67.6","9.7","47.4%"
"28","Kareem Hunt (KC)","89","314","3.5","20","1","2","16","24","125","7.8","0","0","8","63.9","8.0","12.6%"
"29","Alvin Kamara (NO)","78","290","3.7","18","0","0","22","26","176","8.0","1","0","5","63.6","12.7","98.6%"
"30","Jerome Ford (CLE)","52","296","5.7","66","3","2","16","17","136","8.5","0","0","7","63.2","9.0","65.5%"
"31","Isaac Guerendo (SF)","45","188","4.2","30","1","3","11","11","130","11.8","0","0","7","55.3","7.9","10.4%"
"32","Rhamondre Stevenson (NE)","93","363","3.9","32","1","1","10","13","69","6.9","0","1","7","54.2","7.7","79.9%"
"33","Brian Robinson Jr. (SF)","81","328","4.0","40","2","2","10","12","74","7.4","0","2","6","53.2","8.9","56.5%"
"34","Gus Edwards (FA)","63","252","4.0","43","1","4","2","4","4","2.0","0","0","7","50.6","7.2","0.1%"
"35","Travis Etienne Jr. (JAC)","78","273","3.5","18","0","0","18","21","128","7.1","0","0","7","49.1","7.0","79.0%"
"36","J.K. Dobbins (DEN)","51","222","4.4","29","1","3","8","10","34","4.3","0","0","4","47.6","11.9","83.1%"
"37","Ty Johnson (BUF)","22","101","4.6","12","0","0","12","15","219","18.3","1","0","7","44.0","6.3","0.9%"
"38","Cam Akers (FA)","52","186","3.6","25","1","1","6","7","41","6.8","2","0","8","43.7","5.5","0.1%"
"39","Justice Hill (BAL)","15","109","7.3","51","2","1","17","23","111","6.5","1","0","6","42.5","7.1","14.9%"
"40","Nick Chubb (HOU)","60","219","3.7","19","0","2","3","5","25","8.3","1","1","5","41.9","8.4","69.4%"
"41","Antonio Gibson (NE)","51","261","5.1","29","2","1","6","8","55","9.2","0","0","7","40.6","5.8","0.4%"
"42","Christian McCaffrey (SF)","50","202","4.0","19","0","0","15","19","146","9.7","0","1","4","40.3","10.1","99.9%"
"43","Javonte Williams (DAL)","32","98","3.1","15","0","2","20","29","80","4.0","0","0","7","39.8","5.7","80.9%"
"44","Kenneth Walker III (SEA)","54","175","3.2","14","0","1","16","19","82","5.1","0","0","4","39.7","9.9","98.0%"
"45","Isaiah Davis (NYJ)","22","115","5.2","17","0","1","9","12","75","8.3","1","0","7","35.5","5.1","0.4%"
"46","Austin Ekeler (WAS)","24","73","3.0","10","0","2","11","14","98","8.9","0","0","3","34.6","11.5","82.2%"
"47","Tank Bigsby (JAC)","61","212","3.5","19","0","2","3","6","15","5.0","0","1","6","34.2","5.7","70.7%"
"48","Kenneth Gainwell (PIT)","33","152","4.6","20","1","1","9","9","73","8.1","0","0","8","33.0","4.1","1.1%"
"49","Devin Singletary (NYG)","36","132","3.7","14","0","2","7","8","37","5.3","0","0","7","32.4","4.6","0.6%"
"50","Tyler Allgeier (ATL)","54","222","4.1","25","2","1","3","3","14","4.7","0","0","7","31.1","4.4","38.2%"
"51","Emanuel Wilson (GB)","34","175","5.1","19","0","2","1","1","4","4.0","0","0","7","30.4","4.3","0.4%"
"52","Ray Davis (BUF)","37","116","3.1","13","0","1","5","5","39","7.8","1","0","7","30.0","4.3","21.9%"
"53","Jaleel McLaughlin (DEN)","44","249","5.7","18","0","0","6","8","20","3.3","0","0","6","29.9","5.0","0.6%"
"54","Audric Estime (PHI)","49","181","3.7","10","0","1","5","5","27","5.4","0","0","7","29.3","4.2","0.2%"
"55","Samaje Perine (CIN)","5","36","7.2","13","0","0","14","17","180","12.9","0","0","8","28.6","3.6","1.4%"
"56","Alexander Mattison (MIA)","34","99","2.9","12","0","1","10","17","88","8.8","0","1","4","27.7","6.9","0.1%"
"57","Chris Rodriguez Jr. (WAS)","24","121","5.0","25","1","2","1","1","12","12.0","0","0","5","25.8","5.2","1.8%"
"58","Sincere McCormick (SF)","39","183","4.7","29","1","0","6","7","29","4.8","0","0","4","24.2","6.1","0.2%"
"59","Braelon Allen (NYJ)","35","123","3.5","12","0","0","8","9","66","8.3","0","0","7","22.9","3.3","38.5%"
"60","Isiah Pacheco (KC)","49","175","3.6","34","1","0","5","8","25","5.0","0","0","5","22.5","4.5","92.8%"
"61","Jeremy McNichols (WAS)","21","78","3.7","13","0","1","8","10","21","2.6","0","0","7","21.9","3.1","0.1%"
"62","Raheem Mostert (LV)","30","64","2.1","21","1","0","12","14","90","7.5","0","0","7","21.4","3.1","2.4%"
"63","Chris Brooks (GB)","15","71","4.7","18","0","1","7","7","40","5.7","0","0","7","20.6","2.9","0.3%"
"64","Kendre Miller (NO)","30","96","3.2","17","0","1","3","5","32","10.7","0","0","4","20.3","5.1","4.6%"
"65","Hassan Haskins (LAC)","14","38","2.7","8","0","1","3","3","49","16.3","1","1","8","20.2","2.5","0.0%"
"66","Roschon Johnson (CHI)","18","39","2.2","7","0","2","3","4","23","7.7","0","0","6","19.7","3.3","6.2%"
"67","Sean Tucker (TB)","22","106","4.8","34","1","1","2","4","12","6.0","0","0","7","18.8","2.7","0.9%"
"68","Trey Benson (ARI)","24","137","5.7","15","0","0","3","3","29","9.7","0","0","5","18.1","3.6","49.5%"
"69","Michael Burton (DEN)","4","6","1.5","3","0","1","5","5","25","5.0","1","0","7","17.6","2.5","0.0%"
"70","Blake Corum (LAR)","35","125","3.6","11","0","0","4","5","29","7.3","0","0","8","17.4","2.2","6.7%"
"71","Ezekiel Elliott (FA)","26","77","3.0","8","0","1","5","5","29","5.8","0","1","8","17.1","2.1","0.1%"
"72","Michael Carter (ARI)","18","88","4.9","13","0","0","7","7","41","5.9","0","0","3","16.4","5.5","0.0%"
"73","Cordarrelle Patterson (FA)","15","42","2.8","12","0","0","7","7","46","6.6","1","1","8","16.3","2.0","0.1%"
"74","Kenny McIntosh (SEA)","20","107","5.4","25","1","0","3","3","22","7.3","0","0","7","14.4","2.1","0.0%"
"75","Kimani Vidal (LAC)","25","111","4.4","19","0","0","2","6","13","6.5","0","0","5","13.4","2.7","0.1%"
"76","Kyle Juszczyk (SF)","2","5","2.5","6","0","0","6","10","58","9.7","1","1","8","13.3","1.7","0.7%"
"77","Craig Reynolds (DET)","14","76","5.4","19","0","0","3","3","40","13.3","0","0","6","13.1","2.2","0.1%"
"78","Patrick Taylor Jr. (SF)","15","49","3.3","9","0","1","1","6","1","1.0","0","0","4","11.5","2.9","0.0%"
"79","Jordan Mason (MIN)","19","104","5.5","28","1","0","1","2","5","5.0","0","0","4","11.4","2.9","71.2%"
"80","Pierre Strong Jr. (FA)","9","44","4.9","19","0","0","7","9","27","3.9","0","0","6","10.6","1.8","0.1%"
"81","Tyler Goodson (IND)","5","25","5.0","7","0","0","2","3","9","4.5","1","0","7","10.4","1.5","0.1%"
"82","DeeJay Dallas (CAR)","7","25","3.6","7","0","0","2","2","6","3.0","1","0","6","10.1","1.7","0.0%"
"83","Emari Demercado (ARI)","7","48","6.9","14","0","0","5","6","18","3.6","0","0","4","9.1","2.3","0.3%"
"84","Dare Ogunbowale (HOU)","4","58","14.5","35","1","0","2","4","17","8.5","0","0","7","8.5","1.2","0.3%"
"85","Jordan Mims (TEN)","8","29","3.6","9","0","0","6","10","20","3.3","0","0","3","7.9","2.6","0.0%"
"86","Trey Sermon (PIT)","9","28","3.1","7","0","0","5","5","26","5.2","0","0","6","7.9","1.3","0.0%"
"87","Jamaal Williams (FA)","8","25","3.1","8","0","0","4","4","29","7.3","0","0","5","7.4","1.5","0.0%"
"88","Jonathon Brooks (CAR)","9","22","2.4","9","0","0","3","3","23","7.7","0","0","3","6.0","2.0","0.3%"
"89","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","2","6.0","3.0","0.0%"
"90","Khalil Herbert (FA)","8","45","5.6","14","0","0","1","1","7","7.0","0","0","6","5.7","1.0","0.2%"
"91","JaMycal Hasty (MIA)","9","37","4.1","15","0","0","3","3","4","1.3","0","0","5","5.6","1.1","0.0%"
"92","Keaton Mitchell (BAL)","11","20","1.8","7","0","0","1","1","28","28.0","0","0","3","5.3","1.8","1.8%"
"93","Jaylen Wright (MIA)","20","45","2.3","12","0","0","3","5","8","2.7","0","1","7","4.8","0.7","15.3%"
"94","Clyde Edwards-Helaire (KC)","5","20","4.0","9","0","0","2","4","10","5.0","0","0","1","4.0","4.0","0.5%"
"95","C.J. Ham (MIN)","0","0","0","0","0","0","3","4","24","8.0","0","0","8","3.9","0.5","0.1%"
"96","Sione Vaki (DET)","5","9","1.8","7","0","0","2","2","20","10.0","0","0","6","3.9","0.7","0.0%"
"97","Will Shipley (PHI)","10","38","3.8","9","0","0","0","0","0","0","0","0","4","3.8","1.0","16.5%"
"98","Jermar Jefferson (FA)","6","22","3.7","8","0","0","1","1","10","10.0","0","0","2","3.7","1.9","0.2%"
"99","D'Ernest Johnson (FA)","2","3","1.5","3","0","0","3","4","19","6.3","0","0","3","3.7","1.2","0.0%"
"100","Hunter Luepke (DAL)","3","4","1.3","2","0","0","3","6","16","5.3","0","0","7","3.5","0.5","0.1%"
"101","Travis Homer (CHI)","3","7","2.3","4","0","0","3","3","11","3.7","0","0","6","3.3","0.6","0.1%"
"102","Carson Steele (KC)","4","9","2.3","6","0","0","2","3","14","7.0","0","0","7","3.3","0.5","0.1%"
