"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonnu Smith (PIT)","49","59","526","10.7","57","4","6","1","0","0","0","8","113.1","14.1","24.7%"
"2","Trey McBride (ARI)","59","76","600","10.2","34","5","1","0","0","0","0","7","95.5","13.6","99.8%"
"3","Brock Bowers (LV)","51","71","564","11.1","33","7","2","4","1","0","0","7","94.0","13.4","99.9%"
"4","George Kittle (SF)","36","42","576","16.0","33","12","2","0","0","0","0","7","87.6","12.5","99.8%"
"5","Mark Andrews (BAL)","27","32","330","12.2","67","2","6","3","5","0","0","7","83.0","11.9","93.9%"
"6","Sam LaPorta (DET)","31","50","363","11.7","37","6","5","0","0","0","0","7","81.8","11.7","99.3%"
"7","Travis Kelce (KC)","45","69","388","8.6","27","4","2","0","0","0","0","8","73.3","9.2","97.0%"
"8","Zach Ertz (WAS)","28","40","260","9.3","37","2","5","0","0","0","0","7","72.0","10.3","38.1%"
"9","Pat Freiermuth (PIT)","31","36","304","9.8","25","4","4","0","0","0","1","8","67.9","8.5","12.0%"
"10","David Njoku (CLE)","34","54","250","7.4","29","1","3","0","0","0","0","5","64.0","12.8","94.4%"
"11","Noah Gray (KC)","22","29","228","10.4","35","3","5","0","0","0","0","8","63.8","8.0","0.7%"
"12","T.J. Hockenson (MIN)","36","50","419","11.6","34","5","0","0","0","0","0","8","59.9","7.5","97.1%"
"13","Chig Okonkwo (TEN)","32","44","320","10.0","70","2","1","1","17","0","0","8","57.7","7.2","11.2%"
"14","Austin Hooper (NE)","25","27","312","12.5","38","5","2","0","0","0","0","7","55.7","8.0","0.2%"
"15","Taysom Hill (NO)","15","19","123","8.2","34","2","0","16","162","3","1","3","51.7","17.2","0.9%"
"16","Tucker Kraft (GB)","18","24","295","16.4","35","5","2","1","2","0","0","7","50.7","7.2","83.9%"
"17","Dalton Schultz (HOU)","24","38","259","10.8","32","3","2","0","0","0","0","7","49.9","7.1","6.0%"
"18","Juwan Johnson (NO)","24","33","243","10.1","30","4","2","0","0","0","0","7","48.3","6.9","0.9%"
"19","Hunter Henry (NE)","27","44","260","9.6","16","0","1","0","0","0","0","7","45.5","6.5","39.9%"
"20","Foster Moreau (NO)","16","24","215","13.4","32","4","2","0","0","0","0","7","41.5","5.9","0.1%"
"21","Isaiah Likely (BAL)","15","19","168","11.2","42","1","3","0","0","0","1","6","40.3","6.7","7.6%"
"22","Tyler Conklin (LAC)","22","29","196","8.9","20","2","1","1","0","0","0","6","38.6","6.4","0.3%"
"23","Mike Gesicki (CIN)","27","37","244","9.0","20","1","0","0","0","0","0","7","37.9","5.4","3.7%"
"24","Will Dissly (LAC)","17","22","197","11.6","29","3","1","0","0","0","0","6","34.2","5.7","0.3%"
"25","Dallas Goedert (PHI)","14","17","140","10.0","32","1","2","0","0","0","0","4","33.0","8.3","72.5%"
"26","Cole Kmet (CHI)","18","23","168","9.3","25","2","1","0","0","0","0","8","31.8","4.0","1.2%"
"27","Luke Schoonmaker (DAL)","17","24","169","9.9","24","3","1","0","0","0","0","8","31.4","3.9","0.1%"
"28","Kyle Pitts Sr. (ATL)","15","28","157","10.5","23","2","1","0","0","0","0","7","29.2","4.2","65.3%"
"29","Dawson Knox (BUF)","14","20","209","14.9","39","4","0","0","0","0","0","7","27.9","4.0","0.7%"
"30","AJ Barner (SEA)","11","16","79","7.2","13","0","2","0","0","0","0","7","25.4","3.6","0.4%"
"31","Cade Otton (TB)","15","25","179","11.9","44","3","0","0","0","0","0","5","25.4","5.1","22.6%"
"32","Evan Engram (DEN)","22","30","142","6.5","16","0","0","0","0","0","0","4","25.2","6.3","90.9%"
"33","Tommy Tremble (CAR)","12","17","132","11.0","38","1","1","0","0","0","0","6","25.2","4.2","0.1%"
"34","Tanner Hudson (CIN)","14","15","111","7.9","19","0","1","1","1","0","0","5","24.2","4.8","0.0%"
"35","Jordan Akins (FA)","15","24","158","10.5","19","0","0","0","0","0","0","7","23.3","3.3","0.0%"
