"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","62","91","895","14.4","70","11","9","2","21","0","0","7","176.6","25.2","99.9%"
"2","Puka Nacua (LAR)","67","89","838","12.5","51","10","3","8","34","1","0","8","144.7","18.1","99.9%"
"3","Amon-Ra St. Brown (DET)","61","75","722","11.8","66","9","6","2","6","0","1","8","137.3","17.2","99.9%"
"4","Justin Jefferson (MIN)","52","76","696","13.4","52","12","5","0","0","0","0","8","125.6","15.7","99.9%"
"5","Jordan Addison (MIN)","43","65","602","14.0","69","8","7","1","4","0","0","8","124.1","15.5","81.1%"
"6","Jerry Jeudy (CLE)","51","71","748","14.7","89","8","3","0","0","0","0","7","120.3","17.2","93.1%"
"7","Davante Adams (LAR)","47","76","591","12.6","71","9","5","0","0","0","0","7","114.6","16.4","99.1%"
"8","Brian Thomas Jr. (JAC)","45","69","584","13.0","62","10","5","3","33","0","0","7","114.2","16.3","99.8%"
"9","Tee Higgins (CIN)","40","59","517","12.9","42","9","7","0","0","0","1","6","111.7","18.6","99.7%"
"10","Jameson Williams (DET)","35","53","606","17.3","82","10","4","7","29","1","0","8","111.0","13.9","92.7%"
"11","A.J. Brown (PHI)","44","63","635","14.4","45","9","4","0","0","0","0","8","109.5","13.7","99.8%"
"12","Mike Evans (TB)","39","51","580","14.9","57","10","5","0","0","0","0","6","107.5","17.9","98.5%"
"13","Keenan Allen (LAC)","46","76","522","11.3","45","8","5","0","0","0","0","8","105.2","13.2","73.7%"
"14","Tyreek Hill (MIA)","45","64","493","11.0","30","7","5","3","17","0","0","8","103.5","12.9","99.3%"
"15","Malik Nabers (NYG)","49","78","583","11.9","59","8","3","2","2","0","0","7","103.0","14.7","99.9%"
"16","Ladd McConkey (LAC)","42","52","614","14.6","48","10","3","0","0","0","0","7","100.4","14.3","99.3%"
"17","Jaxon Smith-Njigba (SEA)","46","57","553","12.0","46","8","3","4","22","0","0","7","98.5","14.1","98.9%"
"18","Courtland Sutton (DEN)","40","60","484","12.1","32","4","5","0","0","0","0","7","98.4","14.1","94.6%"
"19","DJ Moore (CHI)","52","70","506","9.7","37","5","2","9","55","0","0","8","96.1","12.0","95.9%"
"20","Terry McLaurin (WAS)","32","45","436","13.6","86","5","6","0","0","0","0","7","95.6","13.7","98.7%"
"21","Jauan Jennings (SF)","45","67","519","11.5","39","5","3","0","0","0","0","8","92.4","11.6","80.6%"
"22","Calvin Ridley (TEN)","34","56","542","15.9","63","10","3","2","26","0","0","8","91.8","11.5","92.9%"
"23","CeeDee Lamb (DAL)","48","68","534","11.1","52","7","2","4","18","0","0","7","91.2","13.0","99.9%"
"24","Xavier Worthy (KC)","40","59","403","10.1","31","2","3","11","67","1","0","8","91.0","11.4","97.9%"
"25","Adam Thielen (MIN)","35","44","462","13.2","40","6","4","0","0","0","0","6","87.7","14.6","49.7%"
"26","Cooper Kupp (SEA)","33","51","408","12.4","69","5","4","0","0","0","0","8","81.3","10.2","89.8%"
"27","Marvin Mims Jr. (DEN)","27","32","396","14.7","93","6","4","12","25","0","0","7","79.6","11.4","36.9%"
"28","Drake London (ATL)","40","70","532","13.3","31","5","1","1","-3","0","0","7","78.9","11.3","99.6%"
"29","DeVonta Smith (PHI)","33","42","360","10.9","49","8","4","1","1","0","0","6","76.6","12.8","93.7%"
"30","Jalen McMillan (TB)","22","30","278","12.6","29","4","6","1","9","0","0","6","75.7","12.6","5.2%"
"31","Jakobi Meyers (LV)","39","65","474","12.2","43","7","1","1","20","0","0","7","74.9","10.7","88.4%"
"32","Nico Collins (HOU)","31","49","401","12.9","56","6","3","0","0","0","0","6","73.6","12.3","99.8%"
"33","Nick Westbrook-Ikhine (MIA)","18","37","339","18.8","98","3","5","0","0","0","0","8","72.9","9.1","3.6%"
"34","Garrett Wilson (NYJ)","37","55","390","10.5","42","4","2","0","0","0","1","7","67.5","9.6","98.1%"
"35","Marquez Valdes-Scantling (SF)","13","26","347","26.7","71","7","4","1","4","0","0","6","65.6","10.9","0.2%"
"36","Marvin Harrison Jr. (ARI)","29","55","377","13.0","24","5","2","0","0","0","0","7","64.2","9.2","97.8%"
"37","Khalil Shakir (BUF)","34","55","350","10.3","51","4","2","0","0","0","0","7","64.0","9.1","81.5%"
"38","Jaylen Waddle (MIA)","26","36","390","15.0","36","6","1","1","-1","0","0","7","61.9","8.8","92.8%"
"39","Rashod Bateman (BAL)","15","25","233","15.5","49","3","5","0","0","0","0","7","60.8","8.7","27.9%"
"40","Quentin Johnston (LAC)","24","50","243","10.1","26","4","4","0","0","0","0","8","60.3","7.5","4.0%"
"41","DeAndre Hopkins (BAL)","31","47","322","10.4","34","3","2","0","0","0","0","8","59.7","7.5","8.4%"
"42","Alec Pierce (IND)","16","34","332","20.8","49","6","3","0","0","0","0","6","59.2","9.9","1.1%"
"43","George Pickens (DAL)","23","39","352","15.3","41","7","2","1","4","0","0","5","59.1","11.8","93.4%"
"44","Zay Flowers (BAL)","27","47","393","14.6","49","7","1","2","0","0","0","7","58.8","8.4","96.2%"
"45","Michael Pittman Jr. (IND)","33","44","370","11.2","31","5","1","0","0","0","1","6","57.5","9.6","84.1%"
"46","DK Metcalf (PIT)","28","42","371","13.3","30","7","1","0","0","0","0","7","57.1","8.2","98.2%"
"47","Deebo Samuel Sr. (WAS)","27","42","264","9.8","32","4","2","19","70","0","1","8","56.9","7.1","86.6%"
"48","Rome Odunze (CHI)","27","55","325","12.0","30","3","2","0","0","0","1","8","56.0","7.0","90.0%"
"49","DeMario Douglas (NE)","28","35","281","10.0","36","4","2","2","7","0","0","7","54.8","7.8","17.1%"
"50","Josh Downs (IND)","24","38","298","12.4","31","5","2","0","0","0","0","6","53.8","9.0","63.9%"
"51","Wan'Dale Robinson (NYG)","32","53","313","9.8","35","3","1","1","0","0","0","7","53.3","7.6","27.4%"
"52","Calvin Austin III (PIT)","22","32","291","13.2","46","5","2","0","0","0","0","8","52.1","6.5","1.8%"
"53","Darnell Mooney (ATL)","23","38","404","17.6","49","7","0","0","0","0","0","7","51.9","7.4","65.7%"
"54","Parker Washington (JAC)","21","32","267","12.7","30","5","2","0","0","0","0","7","51.2","7.3","0.1%"
"55","Olamide Zaccheaus (CHI)","22","30","231","10.5","49","1","3","1","8","0","1","7","50.9","7.3","0.4%"
