player,team,pos,fpts,pos_rank,RL
Josh Allen,Buffalo Bills,QB,347.414539504846,1,200
Jalen Hurts,Philadelphia Eagles,QB,340.3827665096259,2,200
Lamar Jackson,Baltimore Ravens,QB,332.4390969065651,3,200
Patrick Mahomes,Kansas City Chiefs,QB,307.5987025643899,4,200
Dak Prescott,Dallas Cowboys,QB,307.14862144120605,5,200
Anthony Richardson,Indianapolis Colts,QB,297.1246449253447,6,200
C J Stroud,Houston Texans,QB,291.1489789922168,7,200
Brock Purdy,San Francisco 49ers,QB,289.39645009141725,8,200
Kyler Murray,Arizona Cardinals,QB,288.2797112636989,9,200
Jordan Love,Green Bay Packers,QB,285.61166854809284,10,200
Trevor Lawrence,Jacksonville Jaguars,QB,281.60265692976753,11,200
Justin Herbert,Los Angeles Chargers,QB,280.59250512206705,12,200
Joe Burrow,Cincinnati Bengals,QB,275.36681784305597,13,200
Kirk Cousins,Atlanta Falcons,QB,271.9609176902787,14,200
Jared Goff,Detroit Lions,QB,270.97826223320646,15,200
Baker Mayfield,Tampa Bay Buccaneers,QB,265.8278608518096,16,200
Tua Tagovailoa,Miami Dolphins,QB,264.86651498599457,17,200
Jacoby Brissett,New England Patriots,QB,260.7042727125955,18,200
Geno Smith,Seattle Seahawks,QB,259.7827054468944,19,200
Matthew Stafford,Los Angeles Rams,QB,259.6285651049157,20,200
Deshaun Watson,Cleveland Browns,QB,258.97936607257316,21,200
Jayden Daniels,Washington Commanders,QB,254.1531579253632,22,200
Russell Wilson,Pittsburgh Steelers,QB,252.02756936624823,23,200
Daniel Jones,New York Giants,QB,242.38768213074007,24,200
Derek Carr,New Orleans Saints,QB,241.7643210923704,25,200
Caleb Williams,Chicago Bears,QB,240.4077558599983,26,200
Will Levis,Tennessee Titans,QB,228.02373545366748,27,200
Bo Nix,Denver Broncos,QB,224.03680393299575,28,200
Gardner Minshew,Las Vegas Raiders,QB,221.4307145219959,29,200
Sam Darnold,Minnesota Vikings,QB,217.8743169132382,30,200
Bryce Young,Carolina Panthers,QB,212.6953730287069,31,200
Aaron Rodgers,New York Jets,QB,184.0808938651595,32,200
Christian McCaffrey,San Francisco 49ers,RB,306.717404277881,1,80
Bijan Robinson,Atlanta Falcons,RB,247.9549093949403,2,80
Kyren Williams,Los Angeles Rams,RB,238.45959629334325,3,80
Saquon Barkley,Philadelphia Eagles,RB,230.3846070140838,4,80
Jonathan Taylor,Indianapolis Colts,RB,226.08350010515176,5,80
Breece Hall,New York Jets,RB,221.03261468371105,6,80
Travis Etienne,Jacksonville Jaguars,RB,216.60718467918272,7,80
Rachaad White,Tampa Bay Buccaneers,RB,215.81026545079212,8,80
Alvin Kamara,New Orleans Saints,RB,215.70491275141003,9,80
Jahmyr Gibbs,Detroit Lions,RB,211.68437051434023,10,80
Isiah Pacheco,Kansas City Chiefs,RB,211.46009708169316,11,80
Derrick Henry,Baltimore Ravens,RB,208.9296001738726,12,80
De Von Achane,Miami Dolphins,RB,204.44914173430715,13,80
James Cook,Buffalo Bills,RB,202.226904763026,14,80
Josh Jacobs,Green Bay Packers,RB,200.640636230599,15,80
Joe Mixon,Houston Texans,RB,200.2561382837748,16,80
Kenneth Walker,Seattle Seahawks,RB,197.68182283992593,17,80
Aaron Jones,Minnesota Vikings,RB,187.46237888000468,18,80
James Conner,Arizona Cardinals,RB,180.8244833927536,19,80
David Montgomery,Detroit Lions,RB,179.65116905403346,20,80
Tony Pollard,Tennessee Titans,RB,179.50365630049853,21,80
Raheem Mostert,Miami Dolphins,RB,177.13842854658628,22,80
Rhamondre Stevenson,New England Patriots,RB,175.74312528695322,23,80
D Andre Swift,Chicago Bears,RB,170.02543957408594,24,80
Zack Moss,Cincinnati Bengals,RB,168.38796837260276,25,80
Brian Robinson,Washington Commanders,RB,167.4762683583488,26,80
Javonte Williams,Denver Broncos,RB,165.15202803636907,27,80
Austin Ekeler,Washington Commanders,RB,164.85410844758638,28,80
Najee Harris,Pittsburgh Steelers,RB,164.02521822185457,29,80
Jaylen Warren,Pittsburgh Steelers,RB,155.82290211786858,30,80
Ezekiel Elliott,Dallas Cowboys,RB,150.63384650125954,31,80
Devin Singletary,New York Giants,RB,147.2845137648194,32,80
Jerome Ford,Cleveland Browns,RB,146.50730314888338,33,80
Nick Chubb,Cleveland Browns,RB,145.84804976884564,34,80
Chuba Hubbard,Carolina Panthers,RB,141.6183367455012,35,80
Tyjae Spears,Tennessee Titans,RB,139.8283565176361,36,80
Gus Edwards,Los Angeles Chargers,RB,135.19100938991312,37,80
Zamir White,Las Vegas Raiders,RB,129.05395562395233,38,80
Khalil Herbert,Chicago Bears,RB,118.04197270901923,39,80
Tyler Allgeier,Atlanta Falcons,RB,117.46358404113624,40,80
Blake Corum,Los Angeles Rams,RB,115.59275644606528,41,80
J K Dobbins,Los Angeles Chargers,RB,115.46718635171034,42,80
Chase Brown,Cincinnati Bengals,RB,112.75425303326578,43,80
Antonio Gibson,New England Patriots,RB,110.14658661826373,44,80
Trey Benson,Arizona Cardinals,RB,109.33948460230206,45,80
Ty Chandler,Minnesota Vikings,RB,107.92088617081288,46,80
Zach Charbonnet,Seattle Seahawks,RB,104.18202920431324,47,80
Alexander Mattison,Las Vegas Raiders,RB,103.18370945819709,48,80
Jaleel McLaughlin,Denver Broncos,RB,100.47875382588072,49,80
Rico Dowdle,Dallas Cowboys,RB,97.95850790024626,50,80
Bucky Irving,Tampa Bay Buccaneers,RB,93.18601305923052,51,80
Ray Davis,Buffalo Bills,RB,92.51455418323889,52,80
MarShawn Lloyd,Green Bay Packers,RB,89.02076875841988,53,80
D Onta Foreman,Cleveland Browns,RB,83.3429659964796,54,80
Samaje Perine,Kansas City Chiefs,RB,77.44106099592294,55,80
Audric Estime,Denver Broncos,RB,76.9307977413104,56,80
Keaton Mitchell,Baltimore Ravens,RB,76.62295288869845,57,80
Roschon Johnson,Chicago Bears,RB,74.43480612345328,58,80
Miles Sanders,Carolina Panthers,RB,74.2363239870907,59,80
Jamaal Williams,New Orleans Saints,RB,74.06447790394529,60,80
Tyrone Tracy,New York Giants,RB,73.45393718918183,61,80
Jaylen Wright,Miami Dolphins,RB,73.1898987363842,62,80
Kenneth Gainwell,Philadelphia Eagles,RB,66.3682422480824,63,80
Justice Hill,Baltimore Ravens,RB,66.36611761300392,64,80
Dameon Pierce,Houston Texans,RB,65.0644753193258,65,80
Isaac Guerendo,San Francisco 49ers,RB,64.63064558107064,66,80
Clyde Edwards Helaire,Kansas City Chiefs,RB,64.14184114167551,67,80
Kendre Miller,New Orleans Saints,RB,62.82670555072743,68,80
Jase McClellan,Atlanta Falcons,RB,60.03487410934792,69,80
Will Shipley,Philadelphia Eagles,RB,60.0232015823843,70,80
Kimani Vidal,Los Angeles Chargers,RB,59.93266945778997,71,80
Jordan Mason,San Francisco 49ers,RB,59.87336005200335,72,80
Cam Akers,Houston Texans,RB,55.06356982969291,73,80
Sione Vaki,Detroit Lions,RB,52.43034225288112,74,80
Emari Demercado,Arizona Cardinals,RB,50.10120117748728,75,80
Kevin Harris,New England Patriots,RB,49.389377751005185,76,80
Rasheen Ali,Baltimore Ravens,RB,48.58316848025912,77,80
Dylan Laube,Las Vegas Raiders,RB,46.56997264886802,78,80
Tank Bigsby,Jacksonville Jaguars,RB,45.19071437860831,79,80
Ty Johnson,Buffalo Bills,RB,44.367749740241145,80,80
Chris Rodriguez,Washington Commanders,RB,44.1319293616127,81,80
Braelon Allen,New York Jets,RB,41.525,82,80
Emanuel Wilson,Green Bay Packers,RB,39.72421966218044,83,80
Keilan Robinson,Jacksonville Jaguars,RB,38.146869262400024,84,80
Michael Carter,Arizona Cardinals,RB,37.738351322943046,85,80
Tyler Goodson,Indianapolis Colts,RB,36.72483146772736,86,80
Cordarrelle Patterson,Pittsburgh Steelers,RB,36.65054288440804,87,80
Chase Edmonds,Tampa Bay Buccaneers,RB,36.52216626374153,88,80
Pierre Strong,Cleveland Browns,RB,34.97059067892407,89,80
Trey Sermon,Indianapolis Colts,RB,34.76546797239147,90,80
Jeff Wilson,Miami Dolphins,RB,34.56313783810184,91,80
Jawhar Jordan,Houston Texans,RB,33.87602701465434,92,80
Deuce Vaughn,Dallas Cowboys,RB,32.8508361251085,93,80
Eric Gray,New York Giants,RB,30.31494003206705,94,80
Evan Hull,Indianapolis Colts,RB,29.955413499219485,95,80
