player,pos,team,fpts_pred,fpts_fpros,com_fpts_pred,rank,bye,pos_rank
Ja Marr Chase,WR,CIN,236.15555258801697,354.39000000000004,334.6842587646695,1,10,1
Bijan Robinson,RB,ATL,271.60990987209453,328.28000000000003,318.83498497868237,2,5,1
Saquon Barkley,RB,PHI,255.31980197213585,324.07,312.61163366202265,3,9,2
Jahmyr Gibbs,RB,DET,255.7950194333443,319.39,308.79083657222407,4,8,3
CeeDee Lamb,WR,DAL,229.35003891642583,308.06,294.9416731527376,5,10,2
Justin Jefferson,WR,MIN,214.9551923430677,306.88,291.55919872384464,6,6,3
Christian McCaffrey,RB,SF,228.96162553162495,303.85,291.36860425527084,7,14,4
Derrick Henry,RB,BAL,214.88405964653177,274.72999999999996,264.75567660775533,8,7,5
Amon Ra St Brown,WR,DET,229.0702176226185,291.28000000000003,280.9117029371031,9,8,4
Ashton Jeanty,RB,LV,228.90825725785345,271.52,264.4180428763089,10,8,6
Nico Collins,WR,HOU,144.8407772088201,278.78,256.45679620147,11,6,5
Malik Nabers,WR,NYG,271.10466565958734,292.22999999999996,288.7091109432646,12,14,6
Puka Nacua,WR,LAR,272.9334929694162,289.88,287.05558216156936,13,8,7
Josh Jacobs,RB,GB,197.2329285058461,270.29,258.113821417641,14,5,7
Brian Thomas,WR,JAC,160.11283267568865,275.69,256.42713877928145,15,8,8
De Von Achane,RB,MIA,251.88250271173231,289.11,282.9054171186221,16,12,8
Drake London,WR,ATL,202.37025547211044,268.89,257.80337591201845,17,5,9
Jonathan Taylor,RB,IND,202.83365422927432,261.87,252.03060903821242,18,11,9
Bucky Irving,RB,TB,159.30074489018983,258.19,241.70845748169828,19,9,10
Brock Bowers,TE,LV,140.9356207645284,253.60000000000002,234.82260346075475,20,8,1
Chase Brown,RB,CIN,252.35333700971864,269.36,266.52555616828647,21,10,11
Josh Allen,QB,BUF,349.04249764166144,383.07800000000003,377.40541627361023,22,7,1
A J Brown,WR,PHI,244.6705650128036,260.40000000000003,257.778427502134,23,9,10
Lamar Jackson,QB,BAL,371.8696180387508,382.40599999999995,380.6499363397918,24,7,2
