player,team,pos,fpts,pos_rank,par_value,estimated_cost,count,overpay_mean,overpay_3rd
A J Brown,PHI,WR,216.00259215032148,10,28.42244992,35.46070312,3970,-4.009220178475242,0.48233287715529016
Aaron Jones,MIN,RB,192.0952956679798,26,24.00877903,8.0621028,17216,-16.224909891431096,-15.393563866334945
Alvin Kamara,NO,RB,201.8651980940813,16,25.56751802,28.6269768,205,-14.23137043458384,-10.953536637992093
Amon Ra St Brown,DET,WR,226.30468642819824,4,31.21437662,52.15526468,1489,-3.0377690181284867,2.4065950458371184
Ashton Jeanty,LV,RB,245.13219208966726,6,34.22083222,61.0719108,736,-6.176472343036304,-0.3453956083076335
Baker Mayfield,TB,QB,323.40584914323864,7,30.62850163,21.02906465,1687,-16.79709251059074,-13.882336051145717
Bijan Robinson,ATL,RB,286.67731409007405,1,44.65574595,81.7494003,2965,6.376075137575012,14.871820252001541
Bo Nix,DEN,QB,308.73022248585164,8,26.97806632,17.86610803,44,-20.218467935028,-18.25739257904413
Breece Hall,NYJ,RB,203.0952808167465,15,25.74709124,31.3368675,138,-13.854968881491885,-9.814842385487111
Brian Thomas,JAC,WR,219.16839808633753,8,28.11898705,40.32715765,1587,-5.807052939073372,-1.4135546061015951
Brock Bowers,LV,TE,190.0699438871253,1,22.44800554,50.2000462,1129,3.3902719016981036,8.537761149788079
Brock Purdy,SF,QB,313.0032724457902,11,28.07869823,10.95620006,2919,-19.05680291731113,-17.518933972454413
Bucky Irving,TB,RB,222.8433728592062,10,29.80829276,46.66833,381,-10.811702681049786,-5.444277761375901
C J Stroud,HOU,QB,282.8255512464699,17,22.07950374,4.120215681,2,-20.381128436553922,-20.031940784830887
Caleb Williams,CHI,QB,301.7174466673197,15,24.97894942,5.708210128,303,-20.400411057657962,-19.489503606481104
Calvin Ridley,TEN,WR,169.86844104938854,30,18.88983172,9.800418893,397,-11.735850034339041,-9.992488513324014
CeeDee Lamb,DAL,WR,241.65225854179013,2,33.99753438,59.31279968,2244,0.566975484388229,6.609488791189396
Chase Brown,CIN,RB,235.2704057835502,11,33.65773843,43.3644363,3901,-3.734282441874548,1.7865026653405636
Chris Godwin,TB,WR,146.08240121889528,44,14.15489486,3.983756144,1,-10.890742674511827,-10.890742674511827
Christian McCaffrey,SF,RB,258.7211880016349,4,38.01562383,68.9865048,1370,-2.0766329353716575,4.715400200382565
Chuba Hubbard,CAR,RB,204.36018477604895,18,25.38261194,23.5635972,459,-12.260724126131777,-8.859915477200925
Cooper Kupp,SEA,WR,152.97937143544405,43,15.73764497,4.24832645,26,-12.18002182536939,-11.623257437236072
Courtland Sutton,DEN,WR,176.2864105734559,22,20.04088832,16.39251993,121,-12.705879520595465,-10.534721222374634
D Andre Swift,CHI,RB,185.93418225586538,25,22.37151161,9.5839875,2004,-13.940475918495332,-12.802483963261405
D J Moore,CHI,WR,179.6680790815494,21,21.95368078,17.48118446,1408,-9.973088007085456,-7.145849786611063
D K Metcalf,PIT,WR,187.2870703958874,20,22.58352783,18.64214968,2070,-9.24569481269919,-6.417096867195805
Dak Prescott,DAL,QB,298.8487178556079,10,24.19914425,12.89584945,2,-20.099830412746336,-18.57486517103163
Dalton Kincaid,BUF,TE,106.92629463741844,13,6.707895903,2.410938153,6,-4.643479391568592,-4.3222557129718195
Darren Waller,MIA,TE,110.40723492384234,27,5.953854408,1,3,-4.940260527347977,-4.933463587021965
Davante Adams,LAR,WR,200.26520340821085,19,24.965994040000002,19.88021724,11985,-7.6617249045617175,-5.252464857337259
David Montgomery,DET,RB,186.2897208587151,22,22.02653621,14.8624452,50,-14.720227454035118,-11.771477215769924
David Njoku,CLE,TE,140.53570510009288,9,12.68720471,6.632726438,14444,-6.340640247052895,-5.6219300072038445
De Von Achane,MIA,RB,247.93818952593605,8,35.98032626,53.6325192,2806,-2.2472536632182836,4.037879537694346
DeVonta Smith,PHI,WR,178.51735080263305,23,20.96698609,15.37165346,708,-10.797738822607634,-8.343165762823158
Deebo Samuel,WAS,WR,150.51938635320622,38,15.92336412,5.859270624,8,-10.919276337292931,-10.002658115444854
Derrick Henry,BAL,RB,257.38295506524963,5,37.33923332,64.9698075,1485,-2.059636712319915,4.157160188583056
Drake London,ATL,WR,216.8321121354785,9,27.73041635,37.81572907,1757,-5.564190864803081,-1.2759706154663064
Emeka Egbuka,TB,WR,151.24899446586204,37,15.60281274,6.248398113,3,-10.83762630111599,-10.528025578246162
Evan Engram,DEN,TE,123.68281573816604,8,9.182543655,8.542177459,9,-6.162453566047112,-5.11936180344971
Garrett Wilson,NYJ,WR,181.20032267275087,17,22.35426776,22.60848162,491,-10.750264604978913,-7.861726371007177
George Kittle,SF,TE,168.59347565776557,3,19.51026416,30.2657269,4297,2.3895636842000516,6.204352992692208
George Pickens,DAL,WR,166.89765722470827,25,18.88757888,13.51668879,48,-12.635499235170752,-10.40550278998095
J J McCarthy,MIN,QB,300.6857313149404,19,24.45384604,2.973993052,750,-21.758553567618318,-21.346950313463772
Ja Marr Chase,CIN,WR,277.01957508225314,1,41.63135003,63.25189762,15017,12.43031285515347,19.439262445886676
Jahmyr Gibbs,DET,RB,284.6001736163558,3,42.61358798,73.1220027,3465,4.90350816736294,13.123482908062691
Jake Ferguson,DAL,TE,113.82620103015482,14,7.296481985,1.872016041,21,-5.6382164820948,-5.411355374414451
Jakobi Meyers,LV,WR,153.13516778860273,40,15.47366462,5.152206806,14,-11.309378981850458,-10.476090005768445
Jalen Hurts,PHI,QB,362.2365806259727,4,38.77836316,34.29177439,16927,-8.471236021843895,-4.633131825516362
James Conner,ARI,RB,207.58429193313128,19,27.28132625,21.2101083,7102,-9.311691311924186,-6.677647963537458
James Cook,BUF,RB,212.59682376942186,13,28.05973033,37.1130507,398,-12.018185050497715,-7.691864643042563
Jameson Williams,DET,WR,164.33463267822347,27,19.08995301,11.88557083,156,-12.141106232092094,-9.88761462787808
Jared Goff,DET,QB,295.59324523135956,12,23.80253163,9.308291032,5,-20.55807632074982,-19.26298856719339
Jauan Jennings,SF,WR,152.2518714244825,45,14.72178609,3.735662313,4,-11.76563107557069,-11.267482134344425
Jaxon Smith Njigba,SEA,WR,189.45004732586244,14,23.66584626,27.41869634,610,-10.346734084755106,-6.906493213725913
Jayden Daniels,WAS,QB,360.7550297304026,3,38.04740216,40.36267662,4882,-9.426069075430489,-4.6264595986684505
Jaylen Waddle,MIA,WR,164.2246409732978,31,17.2781489,9.190084481,22,-12.197342229611277,-10.586516781298908
Jerry Jeudy,CLE,WR,176.6355437563826,33,19.46531252,8.081076784,2816,-12.368117491007785,-11.410303379560478
Joe Burrow,CIN,QB,345.0462862828924,5,34.81873918,29.13398936,6161,-12.454359006263655,-8.80657872156225
Jonathan Taylor,IND,RB,240.6446480760758,9,33.54567037,50.0910243,1463,-5.406096628951709,-0.1794825725570881
Josh Allen,BUF,QB,376.97812429835767,1,41.34937229,55.91907251,2689,-6.990595223111634,-1.2182162449469516
Josh Jacobs,GB,RB,244.34156856947595,7,33.93071523,57.2928147,878,-6.603022928311923,-1.0656484031420277
Justin Fields,NYJ,QB,313.15586820057905,14,27.78978461,6.718772753,11623,-21.45147633713935,-20.708019609322868
Justin Herbert,LAC,QB,301.79964928890786,13,23.83248066,7.90824204,1,-22.83248066,-22.83248066
Justin Jefferson,MIN,WR,246.60883569176414,3,34.07723377,55.61901443,3249,1.5369666638741422,7.556548710817829
Kaleb Johnson,PIT,RB,167.82960678593088,27,19.02448587,6.6590187,19,-13.267402333477742,-12.225842832090354
Kenneth Walker,SEA,RB,203.9392981090752,17,26.99338581,26.0358867,1263,-10.391593843840266,-6.447768599078486
Kyler Murray,ARI,QB,328.04153852212295,9,28.94330092,15.17888795,1620,-18.084374435361962,-15.764094743873223
Kyren Williams,LAR,RB,234.42882723395724,12,32.68464783,40.1793432,3914,-4.356416218291493,0.8328091481450528
Ladd McConkey,LAC,WR,193.68399819471105,11,23.96614117,33.25233961,299,-10.893545817063167,-7.343370441108439
Lamar Jackson,BAL,QB,377.1930561258855,2,42.03692809,47.50835127,9623,-4.039616837457061,1.3779714465844677
Malik Nabers,NYG,WR,238.4702450791012,6,32.84608862,45.86146074,6806,1.6124393645843793,7.213048804919151
Mark Andrews,BAL,TE,142.68393244132676,7,12.52790751,11.0013275,1564,-3.937471129870612,-2.251081914800894
Marvin Harrison,ARI,WR,183.50573807570393,15,22.08230566,25.71115975,217,-12.524776950499717,-9.262762083489616
Matthew Golden,GB,WR,153.17275970507532,42,16.21281174,4.530467472,67,-12.370834875818879,-11.840044651353978
Michael Pittman,IND,WR,153.48978926090797,48,14.68914282,3.080294253,4,-12.20992053392787,-11.841339734569546
Mike Evans,TB,WR,194.5734559359768,16,24.15038834,24.10996231,1928,-8.406351192859674,-4.910209116800296
Nico Collins,HOU,WR,206.4758282009774,5,28.1483743,48.90722465,663,-7.234727958674713,-2.3251163988296177
Omarion Hampton,LAC,RB,206.53834944685573,14,26.56155816,34.1655588,192,-13.16041647771302,-8.645441209046961
Patrick Mahomes,KC,QB,325.5505009267945,6,30.64882984,24.75198064,760,-17.269903588381865,-14.266798954377634
Puka Nacua,LAR,WR,238.19441957941353,7,32.72701386,43.00537591,9627,1.6176345817791715,6.709780974139367
RJ Harvey,DEN,RB,169.29023106533248,21,19.50636004,16.8595323,1,-17.78513502497202,-17.78513502497202
Sam LaPorta,DET,TE,145.96575174278328,4,14.13856745,23.50036486,252,-4.045478183810215,-1.2171015030072412
Saquon Barkley,PHI,RB,294.7060387584962,2,44.8879776,77.3763012,4461,7.877181666056983,16.419777199738753
Stefon Diggs,NE,WR,153.63391182088637,39,14.17757037,5.494376579,1,-10.789569363075842,-10.789569363075842
T J Hockenson,MIN,TE,131.27389124841983,6,11.52227833,14.16842571,84,-5.2266044420310465,-3.078502503841807
Tee Higgins,CIN,WR,206.49827346151324,13,25.89398729,29.23963433,2464,-6.544022200921103,-2.498221611339292
Terry McLaurin,WAS,WR,194.21799802900938,18,23.64988884,21.20050769,2781,-8.446025441431573,-5.3380776599714785
Tetairoa McMillan,CAR,WR,179.32899906660012,26,21.43431692,12.67491862,4661,-10.753670585886315,-9.086175055937325
Tony Pollard,TEN,RB,195.095087037874,23,23.67395351,12.9841587,2744,-12.588972009508382,-10.964251708334622
Travis Hunter,JAC,WR,162.8208550190589,32,18.03560931,8.617759473,138,-11.88118255379761,-10.379857727272913
Travis Kelce,KC,TE,152.66920238247923,5,14.13646078,18.24727853,929,-2.616560596008981,0.1825186138320145
TreVeyon Henderson,NE,RB,186.09351979274084,20,23.07117204,18.97542,86,-14.653640989181016,-11.818867745375258
Trey McBride,ARI,TE,187.98640395398184,2,23.07991856,38.97872354,6554,6.3105366760825525,10.93684916315216
Tucker Kraft,GB,TE,115.20751604074619,11,7.374591454,3.998886499,4,-4.7712280654808445,-4.617059602845171
Tyler Warren,IND,TE,126.42520309179177,10,10.18512263,5.150099048,688,-5.765077868257703,-5.033036332232299
Tyreek Hill,MIA,WR,208.23023398836776,12,26.25281348,31.18150495,2163,-6.365463348140998,-2.298780954860989
Tyrone Tracy,NYG,RB,161.07873565427633,28,17.45244881,5.3747352,1,-14.019734617552615,-14.019734617552615
Xavier Worthy,KC,WR,168.53564080791455,24,20.14641311,14.41436284,322,-11.516024314870018,-9.289849604232773
Zach Ertz,WAS,TE,107.33423377408539,19,6.706265638,1,15,-5.618868033204439,-5.556916557449887
Zay Flowers,BAL,WR,186.15447635199797,28,21.37199455,11.14538074,7950,-11.44733508125908,-10.145803395530296
