,QB,RB,WR,TE,K,DEF,DP
1,60.00,76.00,60.00,54.00,,8.00,18.00
1,54.00,76.00,59.00,48.00,4.00,7.00,14.00
1,54.00,67.00,59.00,46.00,4.00,6.00,13.00
1,44.00,67.00,55.00,46.00,3.00,5.00,12.00
2,43.00,66.00,53.00,40.00,3.00,4.00,12.00
2,42.00,64.00,51.00,36.00,2.00,4.00,12.00
2,39.00,64.00,50.00,35.00,2.00,4.00,8.00
2,39.00,63.00,50.00,34.00,2.00,3.00,8.00
3,37.00,62.00,50.00,33.00,2.00,3.00,8.00
3,36.00,60.00,50.00,31.00,2.00,3.00,7.00
3,33.00,59.00,49.00,21.00,2.00,3.00,7.00
3,32.00,59.00,48.00,20.00,2.00,3.00,5.00
4,30.00,59.00,47.00,19.00,2.00,2.00,5.00
4,29.00,58.00,46.00,16.00,1.00,2.00,5.00
4,28.00,58.00,46.00,14.00,1.00,2.00,5.00
4,28.00,58.00,45.00,14.00,1.00,2.00,5.00
5,23.00,58.00,45.00,14.00,1.00,2.00,5.00
5,23.00,57.00,44.00,13.00,1.00,2.00,4.00
5,23.00,56.00,43.00,12.00,1.00,2.00,4.00
5,22.00,56.00,40.00,12.00,1.00,2.00,4.00
6,21.00,54.00,40.00,10.00,1.00,2.00,4.00
6,20.00,54.00,39.00,10.00,1.00,1.00,4.00
6,20.00,54.00,39.00,10.00,1.00,1.00,4.00
6,19.00,53.00,38.00,10.00,1.00,1.00,4.00
7,19.00,52.00,34.00,10.00,1.00,1.00,3.00
7,19.00,52.00,34.00,9.00,1.00,1.00,3.00
7,17.00,51.00,34.00,8.00,1.00,1.00,3.00
7,16.00,50.00,33.00,6.00,1.00,1.00,3.00
8,16.00,49.00,33.00,6.00,1.00,1.00,3.00
8,14.00,48.00,32.00,6.00,1.00,1.00,3.00
8,13.00,48.00,32.00,5.00,1.00,1.00,3.00
8,13.00,46.00,31.00,5.00,1.00,1.00,3.00
9,12.00,45.00,31.00,5.00,1.00,1.00,3.00
9,12.00,43.00,31.00,5.00,1.00,1.00,3.00
9,12.00,41.00,30.00,4.00,1.00,1.00,3.00
9,12.00,40.00,30.00,4.00,1.00,1.00,3.00
10,12.00,39.00,30.00,4.00,1.00,1.00,3.00
10,11.00,38.00,29.00,4.00,1.00,1.00,2.00
10,11.00,38.00,28.00,4.00,1.00,1.00,2.00
10,10.00,38.00,28.00,3.00,1.00,1.00,2.00
11,10.00,38.00,28.00,3.00,1.00,1.00,2.00
11,10.00,38.00,27.00,3.00,,,2.00
11,10.00,37.00,27.00,3.00,,,2.00
11,9.00,37.00,27.00,2.00,,,2.00
12,9.00,36.00,26.00,2.00,,,2.00
12,8.00,36.00,26.00,2.00,,,2.00
12,8.00,35.00,26.00,2.00,,,2.00
12,8.00,34.00,25.00,2.00,,,1.00
13,8.00,34.00,25.00,2.00,,,1.00
13,8.00,33.00,25.00,2.00,,,1.00
13,7.00,32.00,24.00,2.00,,,1.00
13,6.00,31.00,24.00,2.00,,,1.00
14,6.00,30.00,23.00,2.00,,,1.00
14,6.00,30.00,23.00,1.00,,,1.00
14,5.00,30.00,23.00,1.00,,,1.00
14,5.00,29.00,23.00,1.00,,,1.00
15,5.00,29.00,22.00,1.00,,,1.00
15,5.00,29.00,21.00,1.00,,,1.00
15,5.00,28.00,21.00,1.00,,,1.00
15,5.00,26.00,21.00,1.00,,,1.00
16,4.00,26.00,21.00,1.00,,,1.00
16,3.00,26.00,20.00,1.00,,,1.00
16,3.00,25.00,20.00,1.00,,,1.00
16,3.00,24.00,20.00,1.00,,,1.00
17,3.00,23.00,19.00,1.00,,,1.00
17,3.00,23.00,19.00,1.00,,,1.00
17,3.00,22.00,19.00,1.00,,,1.00
17,3.00,22.00,19.00,1.00,,,1.00
18,3.00,21.00,19.00,1.00,,,1.00
18,3.00,20.00,19.00,1.00,,,1.00
18,3.00,20.00,19.00,1.00,,,1.00
18,3.00,20.00,18.00,1.00,,,1.00
19,3.00,20.00,18.00,1.00,,,1.00
19,2.00,16.00,17.00,1.00,,,1.00
19,2.00,16.00,17.00,1.00,,,1.00
19,2.00,15.00,17.00,1.00,,,1.00
20,2.00,15.00,17.00,1.00,,,1.00
20,2.00,15.00,17.00,1.00,,,1.00
20,2.00,14.00,17.00,1.00,,,1.00
20,2.00,14.00,17.00,1.00,,,1.00
21,2.00,13.00,17.00,1.00,,,1.00
21,2.00,13.00,16.00,1.00,,,1.00
21,2.00,13.00,16.00,1.00,,,1.00
21,2.00,13.00,16.00,1.00,,,1.00
22,2.00,13.00,16.00,,,,1.00
22,2.00,13.00,16.00,,,,1.00
22,1.00,12.00,15.00,,,,1.00
22,1.00,12.00,15.00,,,,1.00
23,1.00,12.00,15.00,,,,1.00
23,1.00,11.00,15.00,,,,1.00
23,1.00,11.00,14.00,,,,1.00
23,1.00,10.00,14.00,,,,1.00
24,1.00,10.00,13.00,,,,1.00
24,1.00,10.00,13.00,,,,1.00
24,1.00,10.00,13.00,,,,1.00
24,1.00,9.00,12.00,,,,1.00
25,1.00,9.00,12.00,,,,1.00
25,1.00,8.00,12.00,,,,1.00
25,1.00,8.00,12.00,,,,1.00
25,1.00,8.00,12.00,,,,1.00
26,1.00,8.00,10.00,,,,1.00
26,1.00,7.00,10.00,,,,1.00
26,1.00,7.00,10.00,,,,1.00
26,1.00,7.00,10.00,,,,1.00
27,1.00,6.00,10.00,,,,1.00
27,1.00,6.00,10.00,,,,1.00
27,1.00,5.00,10.00,,,,1.00
27,1.00,5.00,10.00,,,,1.00
28,1.00,5.00,10.00,,,,1.00
28,1.00,5.00,10.00,,,,1.00
28,1.00,5.00,10.00,,,,1.00
28,1.00,5.00,9.00,,,,
29,1.00,5.00,9.00,,,,
29,1.00,5.00,9.00,,,,
29,1.00,4.00,9.00,,,,
29,1.00,4.00,9.00,,,,
30,1.00,4.00,8.00,,,,
30,1.00,4.00,8.00,,,,
30,,4.00,8.00,,,,
30,,4.00,8.00,,,,
31,,4.00,8.00,,,,
31,,4.00,7.00,,,,
31,,4.00,7.00,,,,
31,,3.00,7.00,,,,
32,,3.00,7.00,,,,
32,,3.00,7.00,,,,
32,,3.00,7.00,,,,
32,,3.00,7.00,,,,
33,,3.00,6.00,,,,
33,,3.00,6.00,,,,
33,,3.00,6.00,,,,
33,,3.00,6.00,,,,
34,,3.00,6.00,,,,
34,,3.00,5.00,,,,
