player,team,pos,fpts_pred,fpts_fpros,fpts,rank,bye,pos_rank,RLB,PAR,PAR_PG,PAR Value,A,E,C,EC,Estimated Cost,Team ,Cost,,,,PAR Value Sum,Players Drafted,Total $,Inflation,,,RLB,RL_pg,A,B,C,,PAR_PPD,,,,
Ja Marr Chase,CIN,WR,190,294.1,276.7,1,10,1,85,191.7,11.27859096,41.63135003,57.8,-0.0643,,63.25189762,63.25189762,,,,,QB,737.2719186,32,367,0.497781064,,QB,187,11,56.4,-0.163,,,0.277583466,,,,
Bijan Robinson,ATL,RB,252.4,298.7,291,2,5,1,85,206,12.11811326,44.65574595,0.0509,-3.9,73.9,81.7494003,81.7494003,,,,,RB,#VALUE!,56,1068,#VALUE!,#VALUE!,RB,85,5,0.0509,-3.9,73.9,,,,,,
Saquon Barkley,PHI,RB,240.8,302.4,292.1,3,9,2,85,207.1,12.18257693,44.8879776,0.0509,-3.9,73.9,77.3763012,77.3763012,,,,,WR,#VALUE!,77,966,#VALUE!,,WR,85,5,57.8,-0.0643,,,,,,,
Jahmyr Gibbs,DET,RB,235.5,290.5,281.4,4,8,3,85,196.4,11.55124398,42.61358798,0.0509,-3.9,73.9,73.1220027,73.1220027,,,,,TE,#VALUE!,24,218,#VALUE!,,TE,85,5,55.4,-0.253,,,,,,,
CeeDee Lamb,DAL,WR,184.2,252,240.7,5,10,2,85,155.7,9.159569958,33.99753438,57.8,-0.0643,,59.31279968,59.31279968,,,,,K,0,12,18,#DIV/0!,,K,130,7.647058824,3.22,-0.148,,,,,,,
Justin Jefferson,MIN,WR,172.9,254.7,241.1,6,6,3,85,156.1,9.18169319,34.07723377,57.8,-0.0643,,55.61901443,55.61901443,,,,,DST,0,15,102,#DIV/0!,,DEF,119,7,6.77,-0.233,,,,,,,
Christian McCaffrey,SF,RB,202.3,271.2,259.7,7,14,4,85,174.7,10.27492515,38.01562383,0.0509,-3.9,73.9,68.9865048,68.9865048,,,,,,,,,,,FLEX,119,7,,,,,,,,,
Derrick Henry,BAL,RB,206.2,266.5,256.5,8,7,5,85,171.5,10.08717033,37.33923332,0.0509,-3.9,73.9,64.9698075,64.9698075,,,,,,,,,,,,,,,,,,,,,,
Amon Ra St Brown,DET,WR,184.8,236.1,227.6,9,8,4,85,142.6,8.387011379,31.21437662,57.8,-0.0643,,52.15526468,52.15526468,,,,,,,Name,$,Inf Value,Estimated Cost,PAR_PG,FPTS,,,,,,,,Goal,2400,Total
Ashton Jeanty,LV,RB,208,248.5,241.8,10,8,6,85,156.8,9.221553745,34.22083222,0.0509,-3.9,73.9,61.0719108,61.0719108,,,,,,QB,,,0,0,0,0,,,,,,,,,2100,Non Defensive Players
Nico Collins,HOU,WR,116.3,232.5,213.1,11,6,5,85,128.1,7.535939831,28.1483743,57.8,-0.0643,,48.90722465,48.90722465,,,,,,RB,,,0,0,0,0,,,,,,,,,1800,Mean Goal
