player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou,injury_status
Cordarrelle Patterson,RB,ATL,1,2,0,0,0.05418109722597023,0.0489725994449813,0.08397733506090602,0.0661192921698909,0.0674608256162615,0.053102062024905985,0.06063639137134951,0,0.01103177283408614,Q
Keith Smith,RB,ATL,2,0,0,0,0.004895505436875505,0.004390195859347337,0.0060535372220799,0.022005545122885016,0.022189774350222402,0.021795389303292386,0.023958748471955952,0,0.01291738781713031,NA
MyCole Pruitt,TE,ATL,2,2,1,0,0,0,0,0.04270195813319278,0.04579943467967402,0.04815823510222376,0.04689219568050537,0,0.01257292414200684,NA
Jonnu Smith,TE,ATL,2,2,9,0,5.498702162734947e-5,1.0337180403837425e-4,1.0120661644372585e-4,0.10412721415593548,0.10894386603307586,0.09998154287235625,0.09025327312121555,0,0.01398124305233089,NA
Mack Hollins,WR,ATL,2,2,7,0,6.544012828408996e-4,0.0010628061257012434,0.0010952883824734713,0.14134496968565113,0.13013509620501185,0.14718994595741383,0.13948695116967919,0,0.01160412005572206,NA
KhaDarel Hodge,WR,ATL,2,1,1,0,0,0,0,0.012174301100538545,0.014997732116025177,0.018842333484448446,0.012578990111574803,0,0.01263751108109249,NA
Scott Miller,WR,ATL,2,2,0,0,1.367656741528575e-7,1.7125518595008326e-7,2.011595932754349e-7,0.014979915802165426,0.014489500560289576,0.014316615213131543,0.015808598233732,0,0.0124006923044451,NA
Kyle Pitts,TE,ATL,2,2,10,0,0.020812816740388936,0,0,0.20566249072641546,0.19600419045955006,0.20041981251703295,0.19731134248404172,0,0.01231457638566423,NA
Drake London,WR,ATL,2,2,8,0,0,0,0,0.176445138348934,0.17156175947438237,0.18746979703238847,0.20122874415618883,0,0.01636730127907467,NA
Tyler Allgeier,RB,ATL,2,2,43,0,0.35432567232538437,0.29350329666616637,0.3159002442492723,0.04824215536223716,0.05221089905237995,0.049767147413773444,0.045349497019498676,0,0.00805183840601122,NA
John FitzPatrick,TE,ATL,1,0,0,0,0,0,0,0.009759328818555528,0.009678868541454862,0.009041923403101695,0.010254876275308855,0,0.01291738781713031,NA
Evan Engram,TE,JAC,2,2,18,0,9.112752521314921e-4,0.0014816345676794515,0.0013423114946085881,0.19619177179179761,0.2094544706660107,0.21226353890830696,0.18079263967475112,0,0.01130271433998902,NA
Jamal Agnew,WR,JAC,2,2,7,1,0.010583347551722336,0.0023716481287756447,0.007414200972551587,0.06267881412339069,0.06588645629927617,0.06800928706358819,0.052700512157982396,0,0.01216387352779771,Q
Calvin Ridley,WR,JAC,2,0,13,1,0,0,0,0.12270742746235548,0.10019211429374271,0.1140229555927791,0.10356356297774733,0.21,0.007,NA
Christian Kirk,WR,JAC,2,2,16,0,5.280899945979001e-4,5.038889961095032e-4,6.130963572837035e-4,0.22724844098129532,0.2306317377887254,0.2512227189382605,0.306616322280889,0,0.01266797529092265,NA
D Ernest Johnson,RB,JAC,2,1,8,0,0.06573753329389148,0.05015968767979161,0.036498713272517164,0.018923679987266354,0.02317048084564155,0.015172477153920744,0.01336319644124645,0,0.01276668495926379,NA
Jamycal Hasty,RB,JAC,1,2,0,0,0.04948244614434372,0.030767149322757308,0.037671028985912035,0.04779472946001027,0.04426884766350738,0.03811282385647527,0.04462431450660745,0,0.01149647515724598,NA
Travis Etienne,RB,JAC,2,2,60,0,0.5791216377679327,0.6257652956824672,0.43418509497017077,0.1038889592706204,0.10976282038685005,0.1030394364023276,0.09025657211302975,0,0.01576083132818326,NA
Luke Farrell,TE,JAC,2,2,1,0,0,0,0,0.011754959131112686,0.013406954407510371,0.010246979976914703,0.00945322589084882,0,0.01283127189834944,NA
Tim Jones,WR,JAC,2,1,2,0,0,0,0,0.01870615892424663,0.01747027232962092,0.011712117160479232,0.010603973667794052,0,0.01285280087804466,NA
Parker Washington,WR,JAC,1,0,0,0,0,0,0,0.026671405276474894,0.027253633541201295,0.027340682439440853,0.030866190425461074,0.21,0.007,NA
Elijah Cooks,WR,JAC,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007,NA
Bijan Robinson,RB,ATL,2,0,53,0,0.4551006770191052,0.5674876183405388,0.43170736865687764,0.1564376905735985,0.16652805291167247,0.14991519567593126,0.1562403919049496,0.21,0.007,NA
Brenton Strange,TE,JAC,2,0,2,0,0,0,0,0.09613126949179249,0.0976218107587836,0.08958614862056445,0.09267429504191646,0.21,0.007,NA
Tank Bigsby,RB,JAC,2,0,9,1,0.12507052488880455,0.11881248887184145,0.3461912885465246,0.06730238409963715,0.060880401019129816,0.05927083388694249,0.0644851948217261,0.21,0.007,NA
Marvin Jones,WR,DET,2,2,2,1,0,0,0,0.09220185723728223,0.08586986203466676,0.08017502074562764,0.08604937780140506,0,0.01192705475115032,NA
Kalif Raymond,WR,DET,2,2,8,0,0.00203946603879229,0.0036013991650238985,0,0.10389332374935244,0.10200811215683998,0.12354312495591581,0.10089295428731071,0,0.01675482291358858,NA
Josh Reynolds,WR,DET,2,2,9,0,0,0,0,0.09087808538277523,0.088987729598872,0.09893813409590109,0.10387129778922166,0,0.01209928658871206,NA
David Montgomery,RB,DET,2,2,38,1,0.5249114301883736,0.5396658211321385,0.6355508691106083,0.0594892518865011,0.06362937995566902,0.059269733187324446,0.05726363566162834,0,0.0111914109220876,NA
Craig Reynolds,RB,DET,2,1,8,0,0.06635373138259315,0.06430743554828783,0.026366489453379997,0.011134556760140465,0.011639625724635887,0.007810912812805383,0.009484266733194335,0,0.01222846046688336,NA
Amon Ra St Brown,WR,DET,2,2,22,1,0.01570141858708362,0.01643640019288154,0.006703725055787643,0.24791068241444777,0.2504350816146217,0.2616895598842339,0.22262464701007856,0,0.01044155515218033,NA
Brock Wright,TE,DET,2,2,2,0,0,0,0,0.03135502713407112,0.031980262355193335,0.029723537253817107,0.030830664006655347,0,0.0125298661826164,NA
James Mitchell,TE,DET,2,2,0,0,0,0,0,0.01266599736781192,0.013470820647315458,0.013863358733021039,0.013104839813479971,0,0.01268056904048292,NA
Jahmyr Gibbs,RB,DET,2,0,41,0,0.2891505629354543,0.3425398012356906,0.09889870321974918,0.12463411318483768,0.12186213388477875,0.1019247870304582,0.10669599425351603,0.21,0.007,NA
Sam LaPorta,TE,DET,2,0,18,0,0,0,0,0.20662973394077075,0.21046347150897562,0.2061861469572259,0.2513950602033083,0.21,0.007,NA
Antoine Green,WR,DET,2,0,1,0,0,0,0,0.019207370942009316,0.019653520518431482,0.016875684343669456,0.01778726244020165,0.21,0.007,NA
Aaron Jones,RB,GB,2,2,11,0,0.4687684798780735,0.5304021251933811,0.6561678848422164,0.12705383546787666,0.12822564214218435,0.14349793251522827,0.1434030168668407,0,0.01539483867336457,NA
