player,team,Position,player_games,player_gs,pl_cmp,pl_pas_att,pl_pas_yds,pl_pas_tds,pl_rus_att,pl_rus_yds,pl_rus_tds,pl_tgt,pl_rec,pl_rec_yds,pl_rec_tds,pl_int,pl_fmb,pl_fl,touches,fl_per_tou
Tory Carter,TEN,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Mark Andrews,BAL,TE,17,9,0,0,0,0,0.0588235294117647,0,0,9,6.294117647058823,80.05882352941177,0.5294117647058824,0,0.0588235294117647,0.01757443718228031,6.411764705882353,0.00274096726696115
Cooper Kupp,LAR,WR,17,17,0,0.0588235294117647,0,0,0.2352941176470588,1.0588235294117647,0,11.235294117647058,8.529411764705882,114.52941176470588,0.9411764705882352,0,0,0,8.823529411764707,0
Jonathan Taylor,IND,RB,17,17,0,0,0,0,19.529411764705884,106.52941176470588,1.0588235294117647,3,2.3529411764705883,21.176470588235293,0.1176470588235294,0,0.2352941176470588,0.1055918663761801,21.941176470588236,0.00481249793135405
Josh Allen,BUF,QB,17,17,24.058823529411764,38,259.2352941176471,2.1176470588235294,7.176470588235294,44.88235294117647,0.35294117647058826,0,0,0,0,0.8823529411764706,0.4705882352941176,0.19353667392883075,7.235294117647059,0.02674897119341563
Nick Ralston,DAL,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Travis Kelce,KC,TE,16,16,0,0,0,0,0.125,0.1875,0.0625,8.375,5.75,70.3125,0.5625,0,0.0625,0.03742283950617284,5.9375,0.00630279402209226
Justin Herbert,LAC,QB,17,17,26.058823529411764,39.52941176470589,294.94117647058823,2.235294117647059,3.7058823529411766,17.764705882352942,0.17647058823529413,0,0,0,0,0.8823529411764706,0.0588235294117647,0.03522149600580973,3.764705882352941,0.00935570987654321
Deebo Samuel,SF,WR,16,15,0.0625,0.125,1.5,0.0625,3.6875,22.8125,0.5,7.5625,4.8125,87.8125,0.375,0,0.25,0.11219135802469136,8.5625,0.01310264035324862
Austin Ekeler,LAC,RB,16,16,0,0,0,0,12.875,56.9375,0.75,5.875,4.375,40.4375,0.5,0,0.25,0.13094135802469134,17.3125,0.00756339974149841
Dalton Schultz,DAL,TE,17,15,0,0,0,0,0,0,0,6.117647058823529,4.588235294117647,47.52941176470589,0.4705882352941176,0,0,0,4.647058823529412,0
Joe Mixon,CIN,RB,16,16,0,0,0,0,18.25,75.3125,0.8125,3,2.625,19.625,0.1875,0,0.125,0.05609567901234567,20.9375,0.00267919660954486
Ja Marr Chase,CIN,WR,17,17,0,0,0,0,0.4117647058823529,1.2352941176470589,0,7.529411764705882,4.764705882352941,85.58823529411765,0.7647058823529411,0,0.1176470588235294,0.05279593318809005,5.235294117647059,0.01008461645165765
Tom Brady,TB,QB,17,17,28.529411764705884,42.294117647058826,312.70588235294116,2.5294117647058822,1.6470588235294117,4.764705882352941,0.1176470588235294,0,0,0,0,0.7058823529411765,0.2352941176470588,0.1232389251997095,1.7058823529411764,0.07224350787569177
Najee Harris,PIT,RB,17,17,0,0,0,0,18.058823529411764,70.58823529411765,0.4117647058823529,5.529411764705882,4.352941176470588,27.470588235294116,0.17647058823529413,0,0,0,22.470588235294116,0
