player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
Greg Ward,WR,PHI,0,0,0,0,0,0,0,0.014908081601359775,0.014836400747377226,0.016328843184432583,0.057405861703184485,0,0.012917387817130314
Calvin Austin,WR,PIT,0,0,0,0,0,0,0,0.067370573714782,0.06532995784383346,0.06148914034605039,0.06085540983887609,0,0.012917387817130314
Brandon Smith,WR,ARI,0,1,0,0,0,0,0,0.06496328035484411,0.06543477115979966,0.06426440439523759,0.07786457181601195,0,0.012917387817130314
Patrick Laird,RB,TB,0,1,0,0,0,0,0,0,0,0,0,0,0.012917387817130314
Ricky Seals Jones,TE,IND,0,1,0,0,0,0,0,0.07229375592520881,0.06847143808894787,0.061484780875845586,0.07245969800142504,0,0.012917387817130314
Jermar Jefferson,RB,DET,0,1,0,0,0.029105060347109826,0.046161354220864315,0.06451965903802541,0.011280573389331977,0.012599779512649073,0.008078056233189948,0.007961743880134282,0,0.012917387817130314
La Mical Perine,RB,KC,0,1,0,0,0.03660558338323228,0.02929902409032203,0.02823236719077107,0,0,0,0,0,0.012917387817130314
Irvin Charles,WR,NYJ,0,1,0,0,0,0,0,0,0,0,0,0,0.012917387817130314
Drew Sample,TE,CIN,0,2,0,0,0,0,0,0.025594849253542305,0.02760000038862104,0.01392886300370071,0.018796239895091077,0,0.01287432985773988
David Moore,WR,TB,0,1,0,0,0,0,0,0,0,0,0,0,0.012917387817130314
Sterling Shepard,WR,NYG,0,2,0,0,0.0015884452639629782,3.143878830576074e-4,9.404083000196311e-4,0.180481992194724,0.1731238783754833,0.18151782251661222,0.1918403265773248,0,0.012637511081092491
Michael Thomas,WR,NO,0,2,0,0,0,0,0,0.08660288487857744,0.0946208536900488,0.08850332018523825,0.09932165072077341,0,0.01257292414200684
Jalen Guyton,WR,LAC,0,2,0,0,0.004854070366740842,0.004366359286586072,0.005600778809528656,0.04218032623479071,0.03973955590102046,0.05577670668711894,0.04080614164854755,0,0.01287432985773988
Dennis Houston,WR,DAL,0,1,0,0,0,0,0,0.01763821069319184,0.014536480750628723,0.011628518557461292,0.014161431309802292,0,0.01287432985773988
Jamison Crowder,WR,WAS,0,2,0,0,0,0,0,0.11719730404780206,0.11055592994431611,0.09802366348290112,0.10196203625741745,0,0.014454880605625676
Javonte Williams,RB,DEN,0,2,0,0,0.46810223502279724,0.43596881801398424,0.4054775240387366,0.09622910797729112,0.10034244029843736,0.06836730708263751,0.08162126294158711,0,0.013227728762998298
Rashaad Penny,RB,PHI,0,2,0,0,0.36094468417856934,0.33901871515653037,0.3117185919595488,0.02006035619904002,0.02062401386016333,0.01600453967675846,0.017148207714986635,0,0.013270786722388732
Kyle Philips,WR,TEN,0,2,0,0,0,0,0,0.07155543580092663,0.07031898059055482,0.059941908228167154,0.060778773702426674,0,0.016078489312901907
Dezmon Patmon,WR,BUF,0,1,0,0,0,0,0,0.01802522068647808,0.01631106195243279,0.015208923912121091,0.018306516209436983,0,0.01287432985773988
Tommy Hudson,TE,DEN,0,1,0,0,0,0,0,0.02797362472784892,0.022546253323158218,0.02480901749936653,0.021823622433058312,0,0.012917387817130314
Lil Jordan Humphrey,WR,DEN,0,1,0,0,0,0,0,0.022850079748265573,0.02416699048649869,0.03066396803467037,0.024301821312023335,0,0.01287432985773988
Simi Fehoko,WR,DAL,0,1,0,0,0,0,0,0.0065352977540901495,0.007005850857636031,0.006818053320466588,0.006379268508878204,0,0.012852800878044662
Breece Hall,RB,NYJ,0,2,0,0,0.19304172146304768,0.2888212246862372,0.3146878205077819,0.07270328636557219,0.07774348008102881,0.0802521793659184,0.07504834790806986,0,0.012452685493970479
Darrel Williams,RB,NO,0,2,0,0,0.06614885294391634,0.043628178124444014,0.07013901210011539,0.03617599268199122,0.03451723956940041,0.025659919946211907,0.02721646748842096,0,0.012379163324749884
Rashod Bateman,WR,BAL,0,2,0,0,0,0,0,0.1532989988800893,0.15222607735528723,0.1583818194472219,0.1485353288086192,0,0.014261119788368724
Mecole Hardman,WR,NYJ,0,2,0,0,0.015043078924934816,0.03152015143412071,0.038781199583867075,0.09384225704280652,0.09622956474855342,0.09712359128233145,0.13359700423726012,0,0.013959714072635682
Zach Ertz,TE,ARI,0,2,0,0,2.0597496974348003e-6,3.9574404250735163e-7,2.0030412723041428e-6,0.13815259493740517,0.1321637191634014,0.13643054450125922,0.14782568914756367,0,0.011905525771455107
Cooper Kupp,WR,LAR,0,2,0,0,0.05164026593811439,0.04923717992826224,0.04803287801216305,0.24877893715121177,0.265758996196555,0.27383457012169843,0.2697909370814839,0,0.014442286856065403
D Wayne Eskridge,WR,SEA,0,1,0,0,3.436248576242344e-7,4.40332897761569e-7,2.0920083461417217e-5,0.028624312996250813,0.026425118749936367,0.020673998160061262,0.025974152600206607,0,0.01272362699987336
Spencer Brown,RB,CAR,0,1,0,0,0.07554958579649802,0.0764762811356168,0.04621618809512521,0.016278512083004792,0.015648399596824618,0.010980191787994885,0.013412537061247145,0,0.012809742918654228
Matthew Stafford,QB,LAR,0,2,0,0,0.08227863639487167,0.028398109831278846,0.11954981179115347,0,0,0,0,1.6128148959474262,0
Clyde Edwards Helaire,RB,KC,0,2,0,0,0.13928675055014697,0.10937204375441743,0.1445899595045201,0.04254011318171217,0.03832272091161933,0.03585206271225008,0.038759220934666126,0,0.0110228376039512
