Rk,Team,Date,TD,Pts,Cmp,Att,Tot,Sfty,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,DAL,2022-01-08,5,51,22,32,475,0,Sat,17,18,@,PHI,W 51-26,22,28,6,78.6,304,5,0,17.9,0.0,151.6,1,1,3.45,10.9,10.48,14.43,13.93,13.8,51,26,25,77,32,171,5.3,2,475,61,7.79,70,4.50,0,27:37,3:02,7,7,6,1,1,0,0,0
2,DAL,2021-12-26,5,56,30,28,497,0,Sun,15,16,,WAS,W 56-14,30,42,12,71.4,389,5,0,11.9,0.0,140.9,3,11,6.67,9.3,8.64,11.64,10.87,13.0,56,14,42,70,28,108,3.9,1,497,73,6.81,57,4.51,0,31:31,3:05,8,8,8,0,0,0,0,0
3,KAN,2021-11-14,5,41,36,25,516,0,Sun,10,10,@,LVR,W 41-14,36,51,15,70.6,422,5,0,9.8,0.0,128.1,0,0,0.00,8.3,8.27,10.24,10.24,11.7,41,14,27,55,25,94,3.8,0,516,76,6.79,51,5.86,1,35:26,3:00,5,5,5,3,2,0,0,0
4,TAM,2021-10-10,5,45,33,25,558,0,Sun,5,5,,MIA,W 45-17,33,44,11,75.0,437,5,0,11.4,0.0,145.3,2,15,4.35,9.9,9.50,12.20,11.67,13.2,45,17,28,62,25,121,4.8,1,558,71,7.86,51,5.90,0,37:07,2:58,6,6,6,2,1,0,0,0
5,KAN,2021-10-03,5,42,24,32,471,0,Sun,4,4,@,PHI,W 42-30,24,30,6,80.0,271,5,1,16.7,3.3,131.0,1,7,3.23,9.0,8.74,10.87,10.52,11.3,42,30,12,72,32,200,6.3,1,471,63,7.48,70,6.59,1,30:52,3:09,6,6,6,0,0,0,0,0
6,TAM,2021-09-19,5,48,24,21,341,0,Sun,2,2,,ATL,W 48-25,24,36,12,66.7,259,5,0,13.9,0.0,129.2,3,17,7.69,7.2,6.64,9.97,9.21,10.8,48,25,23,73,21,82,3.9,0,341,60,5.68,69,5.04,1,26:29,3:10,7,7,6,0,0,0,0,0
7,NOR,2021-09-12,5,38,15,39,322,0,Sun,1,1,,GNB,W 38-3,15,21,6,71.4,151,5,0,23.8,0.0,131.2,0,0,0.00,7.2,7.19,11.95,11.95,10.1,38,3,35,41,39,171,4.4,0,322,60,5.37,52,4.40,0,34:36,2:51,5,5,5,1,1,0,0,0
8,TEN,2022-01-09,4,28,23,32,405,0,Sun,17,18,@,HOU,W 28-25,23,32,9,71.9,281,4,0,12.5,0.0,138.9,1,6,3.03,8.8,8.52,11.28,10.94,12.2,28,25,3,53,32,124,3.9,0,405,65,6.23,56,6.30,0,33:34,3:02,4,4,4,1,0,0,0,0
9,CIN,2022-01-02,4,34,30,19,475,0,Sun,16,17,,KAN,W 34-31,30,40,10,75.0,415,4,0,10.0,0.0,144.4,4,31,9.09,10.4,9.43,12.38,11.25,13.8,34,31,3,65,19,60,3.2,0,475,63,7.54,58,7.14,0,29:06,3:08,4,4,4,2,2,0,0,0
10,SEA,2022-01-02,4,51,20,41,497,0,Sun,16,17,,DET,W 51-29,20,29,9,69.0,232,4,0,13.8,0.0,133.0,1,4,3.33,8.0,7.73,10.76,10.40,11.6,51,29,22,80,41,265,6.5,2,497,71,7.00,59,6.05,0,33:33,3:13,6,6,6,3,3,0,0,0
11,CIN,2021-12-26,4,41,37,21,575,0,Sun,15,16,,BAL,W 41-21,37,46,9,80.4,498,4,0,8.7,0.0,143.2,3,27,6.12,10.8,10.16,12.57,11.80,13.5,41,21,20,62,21,77,3.7,1,575,70,8.21,57,5.86,0,37:03,3:02,5,5,5,3,2,0,0,0
12,GNB,2021-12-12,4,45,29,24,439,0,Sun,13,14,,CHI,W 45-30,29,37,8,78.4,320,4,0,10.8,0.0,141.1,3,21,7.50,8.6,8.00,10.81,10.00,11.0,45,30,15,75,24,119,5.0,1,439,64,6.86,58,5.98,0,35:00,3:16,6,6,6,1,1,0,0,0
13,TAM,2021-12-05,4,30,38,17,425,0,Sun,12,13,@,ATL,W 30-17,38,51,13,74.5,368,4,1,7.8,2.0,112.2,0,0,0.00,7.2,7.22,7.90,7.90,9.7,30,17,13,47,17,57,3.4,0,425,68,6.25,69,5.51,1,27:14,3:03,4,4,3,1,1,0,0,0
14,BUF,2021-11-25,4,31,23,32,361,0,Thu,11,12,@,NOR,W 31-6,23,28,5,82.1,248,4,2,14.3,7.1,115.2,2,12,6.67,8.9,8.27,8.50,7.93,10.8,31,6,25,37,32,113,3.5,0,361,62,5.82,57,3.33,2,34:38,2:49,4,4,4,1,1,0,0,0
15,GNB,2021-11-21,4,31,23,19,467,0,Sun,11,11,@,MIN,L 31-34,23,33,10,69.7,372,4,0,12.1,0.0,148.4,2,13,5.71,11.3,10.63,13.70,12.91,16.2,31,34,-3,65,19,95,5.0,0,467,54,8.65,66,6.18,0,28:59,2:58,4,4,4,2,1,0,0,0
16,NWE,2021-11-14,4,45,22,34,452,0,Sun,10,10,,CLE,W 45-7,22,26,4,84.6,268,4,0,15.4,0.0,151.6,2,15,7.14,10.3,9.57,13.38,12.43,12.2,45,7,38,52,34,184,5.4,2,452,62,7.29,58,3.74,0,34:02,2:56,6,6,6,1,1,0,0,0
17,NYJ,2021-11-04,4,30,34,21,486,0,Thu,8,9,@,IND,L 30-45,34,52,18,65.4,398,4,1,7.7,1.9,107.2,2,14,3.70,7.7,7.37,8.33,8.02,11.7,30,45,-15,75,21,88,4.2,0,486,75,6.48,61,8.72,2,29:33,3:12,4,3,3,1,1,1,0,0
18,TAM,2021-10-31,4,27,28,14,421,0,Sun,8,8,@,NOR,L 27-36,28,41,13,68.3,350,4,2,9.8,4.9,109.3,3,25,6.82,8.5,7.95,8.29,7.73,12.5,27,36,-9,63,14,71,5.1,0,421,58,7.26,72,5.01,3,26:44,3:09,4,3,3,0,0,1,0,0
19,TAM,2021-10-24,4,38,22,31,408,0,Sun,7,7,,CHI,W 38-3,22,39,17,56.4,226,4,0,10.3,0.0,107.4,0,0,0.00,5.8,5.79,7.85,7.85,10.3,38,3,35,41,31,182,5.9,1,408,70,5.83,65,4.78,1,31:05,2:56,5,5,5,2,1,0,0,0
20,MIA,2021-10-24,4,28,32,29,413,0,Sun,7,7,,ATL,L 28-30,32,40,8,80.0,281,4,2,10.0,5.0,109.5,1,10,2.44,7.0,6.85,6.78,6.61,8.8,28,30,-2,58,29,132,4.6,0,413,70,5.90,63,6.30,2,34:38,3:09,4,4,4,1,0,0,0,0
