Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,-9999
1,Matthew Slater,0,0,0,0,0,Sun,17,18,2023-01-08,37-121,NWE,@,BUF,L 23-35,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
2,Matthew Slater,0,0,0,0,0,Sun,16,17,2023-01-01,37-114,NWE,,MIA,W 23-21,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
3,Matthew Slater,0,0,0,0,0,Sat,15,16,2022-12-24,37-106,NWE,,CIN,L 18-22,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
4,Matthew Slater,0,0,0,0,0,Mon,13,14,2022-12-12,37-094,NWE,@,ARI,W 27-13,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
5,Matthew Slater,0,0,0,0,0,Thu,12,13,2022-12-01,37-083,NWE,,BUF,L 10-24,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
6,Matthew Slater,0,0,0,0,0,Sun,10,11,2022-11-20,37-072,NWE,,NYJ,W 10-3,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
7,Matthew Slater,0,0,0,0,0,Sun,9,9,2022-11-06,37-058,NWE,,IND,W 26-3,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
8,Matthew Slater,0,0,0,0,0,Sun,4,4,2022-10-02,37-023,NWE,@,GNB,L 24-27 (OT),0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,SlatMa00
9,Andre Roberts,0,0,0,0,0,Sun,16,17,2023-01-01,34-357,CAR,@,TAM,L 24-30,0,0,0,6,6,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,RobeAn00
10,Andre Roberts,0,0,0,0,0,Sun,1,1,2022-09-11,34-245,CAR,,CLE,L 24-26,0,0,0,45,45,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,RobeAn00
11,Taiwan Jones,0,0,0,0,0,Sat,15,16,2022-12-24,34-151,BUF,@,CHI,W 35-13,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,JoneTa00
12,Taiwan Jones,0,0,0,0,0,Sun,13,14,2022-12-11,34-138,BUF,,NYJ,W 20-12,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,JoneTa00
13,Taiwan Jones,0,0,0,0,0,Sun,5,5,2022-10-09,34-075,BUF,,PIT,W 38-3,0,0,0,2,2,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,JoneTa00
14,Taiwan Jones,0,0,0,0,0,Mon,2,2,2022-09-19,34-055,BUF,,TEN,W 41-7,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,JoneTa00
15,Taiwan Jones,0,0,0,0,0,Thu,1,1,2022-09-08,34-044,BUF,@,LAR,W 31-10,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,JoneTa00
16,Brandon Bolden,0,0,0,0,0,Sat,17,18,2023-01-07,32-346,LVR,,KAN,L 13-31,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,BoldBr00
17,Brandon Bolden,0,0,0,0,0,Sun,14,15,2022-12-18,32-326,LVR,,NWE,W 30-24,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,BoldBr00
18,Brandon Bolden,0,0,0,0,0,Thu,13,14,2022-12-08,32-316,LVR,@,LAR,L 16-17,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,BoldBr00
19,Ryan Griffin,0,0,0,0,0,Sun,11,11,2022-11-20,32-313,CHI,@,ATL,L 24-27,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,TE,GrifRy00
20,Brandon Bolden,0,0,0,0,0,Sun,6,7,2022-10-23,32-270,LVR,,HOU,W 38-20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,BoldBr00
21,Marquise Goodwin,0,0,0,0,0,Sun,4,4,2022-10-02,31-317,SEA,@,DET,W 48-45,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,GoodMa00
22,Giovani Bernard,0,0,0,0,0,Sun,15,16,2022-12-25,31-033,TAM,@,ARI,W 19-16 (OT),0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,BernGi00
23,Michael Burton,0,0,0,0,0,Sun,16,17,2023-01-01,30-334,KAN,,DEN,W 27-24,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
24,Michael Burton,0,0,0,0,0,Sun,14,15,2022-12-18,30-320,KAN,@,HOU,W 30-24 (OT),0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
25,Michael Burton,0,0,0,0,0,Sun,12,13,2022-12-04,30-306,KAN,@,CIN,L 24-27,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
26,Giovani Bernard,0,0,0,0,0,Sun,2,2,2022-09-18,30-300,TAM,@,NOR,W 20-10,0,0,0,14,14,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,RB,BernGi00
27,Michael Burton,0,0,0,0,0,Sun,10,11,2022-11-20,30-292,KAN,@,LAC,W 30-27,0,0,0,20,20,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,BurtMi00
28,Keith Smith,0,0,0,0,0,Sun,17,18,2023-01-08,30-275,ATL,,TAM,W 30-17,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,FB,SmitKe03
29,Jake Kumerow,0,0,0,0,0,Sun,9,10,2022-11-13,30-269,BUF,,MIN,L 30-33 (OT),0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,,,0,0,0,,0,0,,0,0,0,WR,KumeJa00
