Rk,Team,Date,TD,Cmp,Att,Tot,TO,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Tot,TO,TD,XPA,XPM,Att,Md,Sfty
1,IND,12/4/2022,8,20,34,385,1,Sun,13,13,@,DAL,L 19-54,34,220,6.5,4,20,30,66.7,165,3,1,5,1,100,385,1,8,7,6,0,0,0
2,CHI,10/30/2022,7,21,29,442,1,Sun,8,8,@,DAL,L 29-49,29,200,6.9,4,21,27,77.8,242,2,1,8,1,113.3,442,1,7,7,7,0,0,0
3,DEN,12/25/2022,6,24,36,388,0,Sun,15,16,@,LAR,L 14-51,36,158,4.4,3,24,28,85.7,230,2,0,0,0,124.7,388,0,6,6,6,3,3,0
4,NYG,12/11/2022,6,21,31,437,0,Sun,13,14,,PHI,L 22-48,31,253,8.2,4,21,31,67.7,184,2,4,33,0,104.8,437,0,6,6,6,2,2,0
5,CAR,11/6/2022,6,25,39,464,0,Sun,9,9,@,CIN,L 21-42,39,241,6.2,5,25,31,80.6,223,1,2,5,0,107.4,464,0,6,6,6,1,0,0
6,SFO,10/23/2022,6,25,21,529,2,Sun,7,7,,KAN,L 23-44,21,112,5.3,3,25,36,69.4,417,3,1,6,1,124.4,529,2,6,6,6,1,0,1
7,DET,10/2/2022,6,23,33,555,1,Sun,4,4,,SEA,L 45-48,33,235,7.1,3,23,30,76.7,320,2,0,0,0,132.6,555,1,6,6,6,3,2,0
8,SEA,10/2/2022,6,27,25,520,2,Sun,4,4,@,DET,W 48-45,25,145,5.8,2,27,40,67.5,375,4,1,9,1,120.3,520,2,6,4,2,1,1,0
9,BAL,9/18/2022,6,36,18,547,2,Sun,2,2,,MIA,L 38-42,18,86,4.8,0,36,50,72,461,6,1,8,2,123.4,547,2,6,6,6,0,0,0
10,ARI,9/11/2022,6,30,27,488,1,Sun,1,1,,KAN,L 21-44,27,128,4.7,1,30,39,76.9,360,5,0,0,0,144.2,488,1,6,6,5,1,1,0
11,NWE,1/8/2023,5,19,25,327,3,Sun,17,18,@,BUF,L 23-35,25,90,3.6,0,19,31,61.3,237,3,2,17,1,103.8,327,3,5,5,5,0,0,0
12,ARI,1/8/2023,5,15,37,311,0,Sun,17,18,@,SFO,L 13-38,37,169,4.6,2,15,20,75,142,3,4,36,0,133.7,311,0,5,5,5,1,1,0
13,IND,1/1/2023,5,19,37,394,1,Sun,16,17,@,NYG,L 10-38,37,217,5.9,2,19,24,79.2,177,2,0,0,0,125.2,394,1,5,5,5,1,1,0
14,CHI,1/1/2023,5,21,39,504,0,Sun,16,17,@,DET,L 10-41,39,265,6.8,2,21,29,72.4,239,3,2,16,0,131.2,504,0,5,5,5,2,2,0
15,MIN,1/1/2023,5,17,33,315,0,Sun,16,17,@,GNB,L 17-41,33,163,4.9,2,17,27,63,152,1,1,16,0,90.4,315,0,5,5,5,2,2,0
16,CHI,12/24/2022,5,15,31,426,3,Sat,15,16,,BUF,L 13-35,31,254,8.2,3,15,26,57.7,172,2,1,0,2,71.3,426,3,5,4,3,1,0,0
17,DAL,12/18/2022,5,27,27,503,3,Sun,14,15,@,JAX,L 34-40 (OT),27,192,7.1,0,27,42,64.3,311,4,1,7,1,108.3,503,3,5,4,4,2,2,0
18,IND,12/17/2022,5,34,24,518,3,Sat,14,15,@,MIN,L 36-39 (OT),24,92,3.8,1,34,55,61.8,426,4,7,34,2,95,518,3,5,4,4,1,1,0
19,TAM,12/11/2022,5,17,36,404,1,Sun,13,14,@,SFO,L 7-35,36,209,5.8,3,17,23,73.9,195,2,0,0,0,128,404,1,5,5,5,0,0,0
20,TEN,12/4/2022,5,30,24,453,0,Sun,12,13,@,PHI,L 10-35,24,67,2.8,2,30,41,73.2,386,3,2,5,0,126.7,453,0,5,5,5,0,0,0
21,GNB,11/27/2022,5,16,49,500,1,Sun,12,12,@,PHI,L 33-40,49,363,7.4,3,16,28,57.1,137,2,2,16,0,93.9,500,1,5,5,4,2,2,0
22,SEA,11/27/2022,5,25,40,576,2,Sun,11,12,,LVR,L 34-40 (OT),40,283,7.1,2,25,36,69.4,293,3,1,2,2,98.5,576,2,5,4,4,3,2,0
23,ARI,11/21/2022,5,20,28,387,0,Mon,11,11,,SFO,L 10-38,28,159,5.7,1,20,29,69,228,4,0,0,0,131.9,387,0,5,5,5,1,1,0
24,CLE,11/13/2022,5,26,33,491,0,Sun,9,10,@,MIA,L 17-39,33,195,5.9,2,26,33,78.8,296,3,1,6,0,134.3,491,0,5,5,3,2,2,0
25,PIT,10/30/2022,5,20,20,401,0,Sun,8,8,@,PHI,L 13-35,20,111,5.6,1,20,30,66.7,290,4,3,18,0,137.5,401,0,5,5,5,0,0,0
26,ARI,10/30/2022,5,24,29,381,1,Sun,8,8,@,MIN,L 26-34,29,173,6,3,24,36,66.7,208,2,3,24,0,100.2,381,1,5,5,4,1,0,0
27,ATL,10/23/2022,5,34,21,537,0,Sun,7,7,@,CIN,L 17-35,21,78,3.7,2,34,42,81,459,3,3,22,0,136,537,0,5,5,5,0,0,0
28,HOU,10/23/2022,5,21,27,400,0,Sun,6,7,@,LVR,L 20-38,27,164,6.1,3,21,27,77.8,236,1,1,5,0,115.4,400,0,5,5,5,1,1,0
29,NOR,10/20/2022,5,20,29,326,0,Thu,7,7,@,ARI,L 34-42,29,137,4.7,2,20,29,69,189,1,2,15,0,98.2,326,0,5,3,2,2,2,0
30,CLE,10/16/2022,5,24,29,399,1,Sun,6,6,,NWE,L 15-38,29,98,3.4,3,24,34,70.6,301,2,2,8,0,117.4,399,1,5,5,5,2,1,0
31,PIT,10/9/2022,5,22,18,552,2,Sun,5,5,@,BUF,L 3-38,18,120,6.7,1,22,36,61.1,432,4,0,0,1,128.5,552,2,5,5,5,2,1,0
32,MIA,10/9/2022,5,14,33,322,0,Sun,5,5,@,NYJ,L 17-40,33,135,4.1,5,14,21,66.7,187,0,2,23,0,94.7,322,0,5,5,5,1,1,1
33,CAR,10/9/2022,5,18,29,397,1,Sun,5,5,,SFO,L 15-37,29,153,5.3,2,18,30,60,244,2,2,9,0,108.2,397,1,5,5,4,2,1,0
34,SEA,10/9/2022,5,17,48,438,2,Sun,5,5,@,NOR,L 32-39,48,235,4.9,3,17,25,68,203,2,1,6,1,102.6,438,2,5,4,4,1,1,0
35,TAM,10/2/2022,5,23,37,417,1,Sun,4,4,,KAN,L 31-41,37,189,5.1,2,23,37,62.2,228,3,3,21,1,95.3,417,1,5,5,5,2,2,0
36,NWE,9/25/2022,5,18,26,394,2,Sun,3,3,,BAL,L 26-37,26,188,7.2,1,18,29,62.1,206,4,4,12,1,108.6,394,2,5,5,4,1,1,0
37,TEN,9/19/2022,5,26,24,414,0,Mon,2,2,@,BUF,L 7-41,24,101,4.2,0,26,40,65,313,4,1,4,0,122.2,414,0,5,5,5,2,2,0
