Rk,Team,Date,TD,Pts,Cmp,Att,Tot,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Pts,PtsO,PtDif,PC,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
1,MIA,2022-09-18,6,42,36,18,547,6,Sun,2,2,@,BAL,W 42-38,36,50,14,72.0,461,6,2,12.0,4.0,124.1,1,8,1.96,9.2,9.04,9.82,9.63,12.8,42,38,4,80,18,86,4.8,0,547,69,7.93,54,8.76,2,34:47,3:20,6,6,6,0,0,0,0,0
2,KAN,2022-09-11,5,44,30,27,488,6,Sun,1,1,@,ARI,W 44-21,30,39,9,76.9,360,5,0,12.8,0.0,144.2,0,0,0.00,9.2,9.23,11.79,11.79,12.0,44,21,23,65,27,128,4.7,1,488,66,7.39,63,4.48,1,34:42,3:00,6,6,5,1,1,0,0,0
3,JAX,2022-12-18,4,40,27,27,503,5,Sun,14,15,,DAL,W 40-34 (OT),27,42,15,64.3,311,4,1,9.5,2.4,109.0,1,7,2.33,7.4,7.23,8.24,8.05,11.5,40,34,6,74,27,192,7.1,0,503,70,7.19,74,5.36,3,27:42,3:15,5,4,4,2,2,0,0,0
4,CIN,2022-12-18,4,34,27,21,237,4,Sun,14,15,@,TAM,W 34-23,27,39,12,69.2,184,4,1,10.3,2.6,104.6,2,16,4.88,4.7,4.49,5.62,5.34,6.8,34,23,11,57,21,53,2.5,0,237,62,3.82,70,5.66,1,29:25,3:07,4,2,2,2,2,2,1,0
5,MIN,2022-12-17,4,39,34,24,518,5,Sat,14,15,,IND,W 39-36 (OT),34,55,21,61.8,426,4,2,7.3,3.6,97.5,7,34,11.29,7.7,6.87,7.56,6.71,12.5,39,36,3,75,24,92,3.8,1,518,86,6.02,79,4.32,3,33:20,4:01,5,4,4,1,1,1,1,0
6,BUF,2022-12-17,4,32,25,29,446,4,Sat,14,15,,MIA,W 32-29,25,40,15,62.5,296,4,0,10.0,0.0,119.2,2,8,4.76,7.4,7.05,9.40,8.95,11.8,32,29,3,61,29,150,5.2,0,446,71,6.28,57,7.11,1,29:53,3:27,4,3,3,1,1,1,1,0
7,DEN,2022-12-11,4,28,27,19,320,4,Sun,13,14,,KAN,L 28-34,27,44,17,61.4,214,4,2,9.1,4.5,89.5,6,49,12.00,4.9,4.28,4.64,4.08,7.9,28,34,-6,62,19,106,5.6,0,320,69,4.64,67,6.43,2,29:47,3:11,4,4,4,0,0,0,0,0
8,SFO,2022-11-21,4,38,20,28,387,5,Mon,10,11,@,ARI,W 38-10,20,29,9,69.0,228,4,0,13.8,0.0,131.9,0,0,0.00,7.9,7.86,10.62,10.62,11.4,38,10,28,48,28,159,5.7,1,387,57,6.79,71,4.42,0,29:09,2:59,5,5,5,1,1,0,0,0
9,CIN,2022-11-20,4,37,24,24,408,4,Sun,10,11,@,PIT,W 37-30,24,39,15,61.5,346,4,2,10.3,5.1,104.1,2,9,4.88,8.9,8.44,8.62,8.20,14.4,37,30,7,67,24,62,2.6,0,408,65,6.28,68,5.16,2,31:36,3:18,4,4,4,3,3,0,0,0
10,KAN,2022-11-13,4,27,26,27,486,4,Sun,9,10,,JAX,W 27-17,26,35,9,74.3,331,4,1,11.4,2.9,129.6,0,0,0.00,9.5,9.46,10.46,10.46,12.7,27,17,10,44,27,155,5.7,0,486,62,7.84,61,5.16,3,28:21,2:58,4,4,3,0,0,0,0,0
11,PHI,2022-10-30,4,35,20,20,401,5,Sun,7,8,,PIT,W 35-13,20,30,10,66.7,290,4,0,13.3,0.0,140.0,3,18,9.09,9.7,8.79,12.33,11.21,14.5,35,13,22,48,20,111,5.6,1,401,53,7.57,70,4.31,0,25:42,2:54,5,5,5,0,0,0,0,0
12,NOR,2022-10-20,4,34,32,22,494,4,Thu,7,7,@,ARI,L 34-42,32,49,17,65.3,409,4,3,8.2,6.1,93.0,0,0,0.00,8.3,8.35,7.22,7.22,12.8,34,42,-8,76,22,85,3.9,0,494,71,6.96,60,5.43,3,29:02,3:17,4,4,4,2,2,0,0,0
13,KAN,2022-10-10,4,30,29,23,368,4,Mon,5,5,,LVR,W 30-29,29,43,14,67.4,265,4,0,9.3,0.0,117.6,3,27,6.52,6.2,5.76,8.02,7.50,9.1,30,29,1,59,23,103,4.5,0,368,69,5.33,56,6.75,0,31:07,3:08,4,3,3,2,1,1,0,0
14,BUF,2022-10-09,4,38,22,18,552,5,Sun,5,5,,PIT,W 38-3,22,36,14,61.1,432,4,1,11.1,2.8,128.5,0,0,0.00,12.0,12.00,12.97,12.97,19.6,38,3,35,41,18,120,6.7,1,552,54,10.22,72,5.06,2,23:52,3:10,5,5,5,2,1,0,0,0
15,DET,2022-10-02,4,45,27,25,520,6,Sun,4,4,,SEA,L 45-48,27,40,13,67.5,375,4,1,10.0,2.5,121.2,1,9,2.44,9.4,9.15,10.25,10.00,13.9,45,48,-3,93,25,145,5.8,2,520,66,7.88,63,8.81,2,26:54,3:29,6,4,2,1,1,2,2,0
16,BAL,2022-09-25,4,37,18,26,394,5,Sun,3,3,@,NWE,W 37-26,18,29,11,62.1,206,4,1,13.8,3.4,110.3,4,12,12.12,7.1,6.24,8.31,7.30,11.4,37,26,11,63,26,188,7.2,1,394,59,6.68,63,7.10,2,30:36,3:04,5,5,4,1,1,0,0,0
17,BUF,2022-09-19,4,41,26,24,414,5,Mon,2,2,,TEN,W 41-7,26,40,14,65.0,313,4,0,10.0,0.0,122.6,1,4,2.44,7.8,7.63,9.83,9.59,12.0,41,7,34,48,24,101,4.2,0,414,65,6.37,53,3.53,0,31:34,3:15,5,5,5,2,2,0,0,0
18,NYJ,2022-09-18,4,31,27,20,402,4,Sun,2,2,@,CLE,W 31-30,27,45,18,60.0,309,4,0,8.9,0.0,111.7,2,15,4.26,6.9,6.57,8.64,8.28,11.4,31,30,1,61,20,93,4.7,0,402,67,6.00,65,6.23,1,27:46,3:09,4,4,4,1,1,0,0,0
