Rk,Player,Att,Tgt,Fmb,TD,Touch,Day,G#,Week,Date,Age,Team,,Opp,Result,Touch,TotOff,YScm,APYd,RtY,Fmb,FR,Yds,FRTD,FF,Att,Yds,Y/A,TD,1D,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Pos.,Draft,-9999
1,Bailey Zappe,2,0,1,0,2,Mon,7,7,10/24/2022,23-181,NWE,,CHI,L 14-33,2,176,-1,-1,0,1,0,0,0,0,2,-1,-0.5,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,4-137,ZappBa00
2,Bailey Zappe,3,1,1,0,4,Sun,6,6,10/16/2022,23-173,NWE,@,CLE,W 38-15,4,297,-10,-10,0,1,0,0,0,0,3,-4,-1.3,0,0,1,1,-6,-6,0,100,-6,0,0,0,0,,0,0,,0,0,0,QB,4-137,ZappBa00
3,Bailey Zappe,5,0,1,0,5,Sun,5,5,10/9/2022,23-166,NWE,,DET,W 29-0,5,193,5,1,0,1,0,-4,0,0,5,5,1,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,0,0,0,QB,4-137,ZappBa00
4,Dareke Young,0,2,0,0,2,Sun,17,18,1/8/2023,23-218,SEA,,LAR,W 19-16 (OT),2,0,24,24,0,0,0,0,0,0,0,0,,0,0,2,2,24,12,0,100,12,2,0,0,0,,0,0,,0,0,0,WR,7-233,YounDa02
5,Robert Woods,0,5,0,0,4,Sat,17,18,1/7/2023,30-272,TEN,@,JAX,L 16-20,4,0,40,42,2,0,0,0,0,0,0,0,,0,0,5,4,40,10,0,80,8,2,0,0,0,,0,0,,0,0,0,WR,Feb-41,WoodRo02
6,Robert Woods,0,9,0,1,5,Thu,16,17,12/29/2022,30-263,TEN,,DAL,L 13-27,5,0,39,39,0,0,0,0,0,0,0,0,,0,0,9,5,39,7.8,1,55.6,4.3,4,1,0,0,,0,0,,0,0,6,WR,Feb-41,WoodRo02
7,Robert Woods,0,5,0,0,4,Sat,15,16,12/24/2022,30-258,TEN,,HOU,L 14-19,4,0,30,46,16,0,0,0,0,0,0,0,,0,,5,4,30,7.5,0,80,6,,0,0,0,,0,0,,0,0,0,WR,Feb-41,WoodRo02
8,Robert Woods,0,4,0,0,2,Sun,14,15,12/18/2022,30-252,TEN,@,LAC,L 14-17,2,0,12,12,0,0,0,0,0,0,0,0,,0,0,4,2,12,6,0,50,3,1,0,0,0,,0,0,,0,0,0,WR,Feb-41,WoodRo02
9,Robert Woods,0,7,0,0,5,Sun,13,14,12/11/2022,30-245,TEN,,JAX,L 22-36,5,0,49,49,0,0,0,0,0,0,0,0,,0,0,7,5,49,9.8,0,71.4,7,2,0,0,0,,0,0,,0,0,0,WR,Feb-41,WoodRo02
10,Robert Woods,0,5,0,0,1,Sun,12,13,12/4/2022,30-238,TEN,@,PHI,L 10-35,1,0,6,6,0,0,0,0,0,0,0,0,,0,,5,1,6,6,0,20,1.2,,0,0,0,,0,0,,0,0,0,WR,Feb-41,WoodRo02
11,Robert Woods,0,6,0,0,2,Sun,11,12,11/27/2022,30-231,TEN,,CIN,L 16-20,2,0,16,16,0,0,0,0,0,0,0,0,,0,0,6,2,16,8,0,33.3,2.7,2,0,0,0,,0,0,,0,0,0,WR,Feb-41,WoodRo02
12,Robert Woods,0,7,0,0,6,Thu,10,11,11/17/2022,30-221,TEN,@,GNB,W 27-17,6,0,69,69,0,0,0,0,0,0,0,0,,0,0,7,6,69,11.5,0,85.7,9.9,3,0,0,0,,0,0,,0,0,0,WR,Feb-41,WoodRo02
