Rk,Player,STSnp,Day,G#,Week,Date,Age,Team,,Opp,Result,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Marcedes Lewis,5,Sun,17,18,2023-01-08,38-234,GNB,,DET,L 16-20,27,45.0,0,0.0,5,20.0,TE,LewiMa00
2,Marcedes Lewis,7,Sun,16,17,2023-01-01,38-227,GNB,,MIN,W 41-17,23,36.5,0,0.0,7,25.0,TE,LewiMa00
3,Marcedes Lewis,6,Sun,15,16,2022-12-25,38-220,GNB,@,MIA,W 26-20,29,43.9,0,0.0,6,23.1,TE,LewiMa00
4,Marcedes Lewis,4,Mon,14,15,2022-12-19,38-214,GNB,,LAR,W 24-12,29,40.8,0,0.0,4,19.0,TE,LewiMa00
5,Marcedes Lewis,4,Sun,13,13,2022-12-04,38-199,GNB,@,CHI,W 28-19,28,42.4,0,0.0,4,16.7,TE,LewiMa00
6,Marcedes Lewis,6,Sun,12,12,2022-11-27,38-192,GNB,@,PHI,L 33-40,19,38.8,0,0.0,6,19.4,TE,LewiMa00
7,Marcedes Lewis,2,Thu,11,11,2022-11-17,38-182,GNB,,TEN,L 17-27,16,26.2,0,0.0,2,9.1,TE,LewiMa00
8,Marcedes Lewis,6,Sun,10,10,2022-11-13,38-178,GNB,,DAL,W 31-28 (OT),37,57.8,0,0.0,6,20.0,TE,LewiMa00
9,Marcedes Lewis,1,Sun,9,9,2022-11-06,38-171,GNB,@,DET,L 9-15,32,43.2,0,0.0,1,7.7,TE,LewiMa00
10,Marcedes Lewis,4,Sun,8,8,2022-10-30,38-164,GNB,@,BUF,L 17-27,22,33.3,0,0.0,4,18.2,TE,LewiMa00
11,Marcedes Lewis,3,Sun,7,7,2022-10-23,38-157,GNB,@,WAS,L 21-23,23,42.6,0,0.0,3,10.3,TE,LewiMa00
12,Marcedes Lewis,3,Sun,6,6,2022-10-16,38-150,GNB,,NYJ,L 10-27,27,37.0,0,0.0,3,10.3,TE,LewiMa00
13,Marcedes Lewis,4,Sun,5,5,2022-10-09,38-143,GNB,,NYG,L 22-27,32,50.8,0,0.0,4,15.4,TE,LewiMa00
14,Marcedes Lewis,5,Sun,4,4,2022-10-02,38-136,GNB,,NWE,W 27-24 (OT),31,42.5,0,0.0,5,15.6,TE,LewiMa00
15,Marcedes Lewis,2,Sun,3,3,2022-09-25,38-129,GNB,@,TAM,W 14-12,22,35.5,0,0.0,2,8.0,TE,LewiMa00
16,Marcedes Lewis,5,Sun,2,2,2022-09-18,38-122,GNB,,CHI,W 27-10,31,45.6,0,0.0,5,22.7,TE,LewiMa00
17,Marcedes Lewis,1,Sun,1,1,2022-09-11,38-115,GNB,@,MIN,L 7-23,23,37.7,0,0.0,1,4.3,TE,LewiMa00
18,Matthew Slater,23,Sun,17,18,2023-01-08,37-121,NWE,@,BUF,L 23-35,0,0.0,0,0.0,23,88.5,WR,SlatMa00
19,Matthew Slater,23,Sun,16,17,2023-01-01,37-114,NWE,,MIA,W 23-21,2,3.3,0,0.0,23,85.2,WR,SlatMa00
20,Matthew Slater,23,Sat,15,16,2022-12-24,37-106,NWE,,CIN,L 18-22,0,0.0,0,0.0,23,92.0,WR,SlatMa00
21,Matthew Slater,28,Sun,14,15,2022-12-18,37-100,NWE,@,LVR,L 24-30,0,0.0,0,0.0,28,87.5,WR,SlatMa00
22,Matthew Slater,21,Mon,13,14,2022-12-12,37-094,NWE,@,ARI,W 27-13,2,3.4,0,0.0,21,80.8,WR,SlatMa00
