Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Aaron Rodgers,24,0,0,0,0,100.0,Thu,11,11,2022-11-17,38-350,GNB,,TEN,L 17-27,24,39,15,61.5,227,2,0,0,5.1,0.0,94.7,1,12,2.50,5.8,6.85,6.38,9.5,37.5,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0,QB,RodgAa00
2,Matt Ryan,23,1,0,0,0,100.0,Sun,11,11,2022-11-20,37-187,IND,,PHI,L 16-17,23,32,9,71.9,213,0,0,0,0.0,0.0,89.7,4,28,11.11,6.7,6.66,5.14,9.3,33.3,1,1,1.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0,QB,RyanMa00
3,Matthew Slater,0,0,0,0,0,0.0,Sun,10,11,2022-11-20,37-072,NWE,,NYJ,W 10-3,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,26,86.7,WR,SlatMa00
4,Colt McCoy,24,3,0,0,0,78.9,Mon,11,11,2022-11-21,36-077,ARI,,SFO,L 10-38,24,34,10,70.6,218,0,1,0,0.0,2.9,75.4,3,30,8.11,6.4,5.09,3.86,9.1,37.8,3,6,2.0,0,1,33.3,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,56,78.9,0,0.0,0,0.0,QB,McCoCo00
5,Andy Dalton,21,2,0,0,0,70.2,Sun,11,11,2022-11-20,35-022,NOR,,LAR,W 27-20,21,25,4,84.0,260,3,0,0,12.0,0.0,149.6,3,32,10.71,10.4,12.80,10.29,12.4,57.1,2,-2,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,40,70.2,0,0.0,0,0.0,QB,DaltAn00
6,Matthew Stafford,11,1,0,0,0,59.4,Sun,10,11,2022-11-20,34-286,LAR,@,NOR,L 20-27,11,18,7,61.1,159,2,0,0,11.1,0.0,126.9,1,9,5.26,8.8,11.06,10.00,14.5,47.4,1,4,4.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,38,59.4,0,0.0,0,0.0,QB,StafMa00
7,A.J. Green,0,0,9,0,0,77.5,Mon,11,11,2022-11-21,34-113,ARI,,SFO,L 10-38,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,9,5,50,10.0,0,55.6,5.6,3,55.6,0,0,0,,0,0,,0,0,0,0,0,0,0,0,55,77.5,0,0.0,0,0.0,WR,GreeA.00
8,Ryan Tannehill,22,3,0,0,0,100.0,Thu,10,11,2022-11-17,34-113,TEN,@,GNB,W 27-17,22,27,5,81.5,333,2,1,0,7.4,3.7,127.3,3,17,10.00,12.3,12.15,10.37,15.1,63.3,3,-3,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0,QB,TannRy00
9,Kirk Cousins,12,0,0,0,1,78.9,Sun,10,11,2022-11-20,34-093,MIN,,DAL,L 3-40,12,23,11,52.2,105,0,0,0,0.0,0.0,64.6,7,49,23.33,4.6,4.57,1.87,8.8,26.7,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,45,78.9,0,0.0,0,0.0,QB,CousKi00
10,Russell Wilson,24,1,0,0,0,100.0,Sun,10,11,2022-11-20,33-356,DEN,,LVR,L 16-22 (OT),24,31,7,77.4,247,0,0,0,0.0,0.0,99.8,3,21,8.82,8.0,7.97,6.65,10.3,52.9,1,8,8.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0,QB,WilsRu00
