,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,PAT,PAT,,FG,FG,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Fmb,FR,Yds,FRTD,FF,Pos.,-9999
1,Josh Allen,100.0,31,10,0,0,0,Thu,1,1,2022-09-08,26-110,BUF,@,LAR,W 31-10,10,56,5.6,1,4,60.0,0,0,0,,0,,,0,,59,100.0,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,26,31,5,83.9,297,3,2,0,9.7,6.5,112.0,2,5,6.06,9.6,8.61,7.94,11.4,63.6,0,0,0,0,0,QB,AlleJo02
2,Robbie Chosen,100.0,0,0,8,0,0,Sun,1,1,2022-09-11,29-125,CAR,,CLE,L 24-26,0,0,,0,0,,8,5,102,20.4,1,62.5,12.8,1,25.0,53,100.0,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,AndeRo04
3,Tom Brady,100.0,27,2,0,0,0,Sun,1,1,2022-09-11,45-039,TAM,@,DAL,W 19-3,2,-1,-0.5,0,0,0.0,0,0,0,,0,,,0,,62,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,18,27,9,66.7,212,1,1,0,3.7,3.7,87.3,2,17,6.90,7.9,6.93,5.86,11.8,51.7,0,0,0,0,0,QB,BradTo00
4,Jacoby Brissett,100.0,34,4,0,0,0,Sun,1,1,2022-09-11,29-274,CLE,@,CAR,W 26-24,4,10,2.5,0,1,25.0,0,0,0,,0,,,0,,80,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,18,34,16,52.9,147,1,0,0,2.9,0.0,74.0,1,9,2.86,4.3,4.91,4.51,8.2,31.4,0,0,0,0,0,QB,BrisJa00
5,Joe Burrow,100.0,53,6,0,0,2,Sun,1,1,2022-09-11,25-275,CIN,,PIT,L 20-23 (OT),6,47,7.8,0,3,66.7,0,0,0,,0,,,0,,100,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,33,53,20,62.3,338,2,4,1,3.8,7.5,61.7,7,39,11.67,6.4,3.74,2.65,10.2,45.0,2,0,0,0,0,QB,BurrJo01
6,Derek Carr,100.0,37,0,0,0,2,Sun,1,1,2022-09-11,31-167,LVR,@,LAC,L 19-24,0,0,,0,0,,0,0,0,,0,,,0,,58,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,22,37,15,59.5,295,2,3,0,5.4,8.1,69.1,5,29,11.90,8.0,5.41,4.07,13.4,47.6,2,0,0,0,0,QB,CarrDe02
7,Ja'Marr Chase,100.0,0,0,16,0,0,Sun,1,1,2022-09-11,22-194,CIN,,PIT,L 20-23 (OT),0,0,,0,0,,16,10,129,12.9,1,62.5,8.1,10,62.5,100,100.0,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ChasJa00
8,Kirk Cousins,100.0,32,0,0,0,0,Sun,1,1,2022-09-11,34-023,MIN,,GNB,W 23-7,0,0,,0,0,,0,0,0,,0,,,0,,62,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,23,32,9,71.9,277,2,0,0,6.3,0.0,118.9,1,8,3.03,8.7,9.91,9.36,12.0,45.5,0,0,0,0,0,QB,CousKi00
9,Justin Fields,100.0,17,11,0,0,0,Sun,1,1,2022-09-11,23-190,CHI,,SFO,W 19-10,11,28,2.5,0,3,36.4,0,0,0,,0,,,0,,58,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,8,17,9,47.1,121,2,1,0,11.8,5.9,85.7,2,16,10.53,7.1,6.82,5.26,15.1,26.3,0,0,0,0,0,QB,FielJu00
10,Joe Flacco,100.0,59,1,0,0,0,Sun,1,1,2022-09-11,37-238,NYJ,,BAL,L 9-24,1,0,0.0,0,0,0.0,0,0,0,,0,,,0,,84,100.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,37,59,22,62.7,309,1,1,0,1.7,1.7,74.8,3,12,4.84,5.2,4.81,4.39,8.4,43.5,0,0,0,0,0,QB,FlacJo00
