,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,,PAT,PAT,,FG,FG,,,,,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,-additional
Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Fmb,FR,Yds,FRTD,FF,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
201,Braxton Berrios,46.4,0,0,6,0,0,Sun,1,1,2022-09-11,26-340,NYJ,,BAL,L 9-24,0,0,,0,0,,6,5,37,7.4,0,83.3,6.2,2,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,39,46.4,0,0.0,11,40.7,WR,BerrBr00
202,Breece Hall,45.2,0,6,9,0,1,Sun,1,1,2022-09-11,21-103,NYJ,,BAL,L 9-24,6,23,3.8,0,1,50.0,9,6,38,6.3,0,66.7,4.2,2,33.3,1,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,38,45.2,0,0.0,0,0.0,RB,HallBr03
203,Isaiah Likely,44.6,0,0,4,0,0,Sun,1,1,2022-09-11,22-146,BAL,@,NYJ,W 24-9,0,0,,0,,,4,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,25,44.6,0,0.0,1,3.7,TE,LikeIs00
204,Demarcus Robinson,44.6,0,0,4,0,0,Sun,1,1,2022-09-11,27-355,BAL,@,NYJ,W 24-9,0,0,,0,0,,4,2,19,9.5,0,50.0,4.8,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,25,44.6,0,0.0,1,3.7,WR,RobiDe01
205,Isaiah McKenzie,44.1,0,0,3,0,0,Thu,1,1,2022-09-08,27-152,BUF,@,LAR,W 31-10,0,0,,0,0,,3,2,19,9.5,1,66.7,6.3,2,66.7,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,26,44.1,0,0.0,2,10.5,WR,McKeIs00
206,Russell Gage,41.9,0,0,2,0,0,Sun,1,1,2022-09-11,26-232,TAM,@,DAL,W 19-3,0,0,,0,,,2,2,13,6.5,0,100.0,6.5,,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,26,41.9,0,0.0,0,0.0,WR,GageRu00
207,Breshad Perriman,41.9,0,1,3,0,0,Sun,1,1,2022-09-11,29-001,TAM,@,DAL,W 19-3,1,-7,-7.0,0,,0.0,3,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,26,41.9,0,0.0,4,16.7,WR,PerrBr02
208,Mike Gesicki,41.7,0,0,1,0,0,Sun,1,1,2022-09-11,26-343,MIA,,NWE,W 20-7,0,0,,0,,,1,1,1,1.0,0,100.0,1.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,25,41.7,0,0.0,0,0.0,TE,GesiMi00
209,Raheem Mostert,41.7,0,5,1,0,0,Sun,1,1,2022-09-11,30-155,MIA,,NWE,W 20-7,5,16,3.2,0,2,40.0,1,1,16,16.0,0,100.0,16.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,25,41.7,0,0.0,2,10.5,RB,MostRa00
210,Melvin Gordon,40.9,0,12,2,0,1,Mon,1,1,2022-09-12,29-152,DEN,@,SEA,L 16-17,12,58,4.8,0,2,50.0,2,2,14,7.0,0,100.0,7.0,0,0.0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,27,40.9,0,0.0,0,0.0,RB,GordMe00
211,J.D. McKissic,40.3,0,3,3,1,0,Sun,1,1,2022-09-11,29-027,WAS,,JAX,W 28-22,3,8,2.7,0,1,33.3,3,3,20,6.7,0,100.0,6.7,1,33.3,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,1,0,2,31,40.3,0,0.0,0,0.0,RB,McKiJ.00
212,Dante Pettis,39.7,0,0,1,0,0,Sun,1,1,2022-09-11,26-323,CHI,,SFO,W 19-10,0,0,,0,0,,1,1,51,51.0,1,100.0,51.0,1,100.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,23,39.7,0,0.0,5,20.8,WR,PettDa00
213,Damien Harris,38.6,0,9,3,0,0,Sun,1,1,2022-09-11,25-212,NWE,@,MIA,L 7-20,9,48,5.3,0,2,55.6,3,2,10,5.0,0,66.7,3.3,1,33.3,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,22,38.6,0,0.0,0,0.0,RB,HarrDa06
214,Clyde Edwards-Helaire,38.6,0,7,3,0,0,Sun,1,1,2022-09-11,23-153,KAN,@,ARI,W 44-21,7,42,6.0,0,1,57.1,3,3,32,10.7,2,100.0,10.7,3,100.0,0,1,4,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,0,0,,0,0,,0,0,12,27,38.6,0,0.0,0,0.0,RB,EdwaCl00
215,Jerick McKinnon,38.6,0,4,4,0,0,Sun,1,1,2022-09-11,30-131,KAN,@,ARI,W 44-21,4,22,5.5,0,1,50.0,4,3,27,9.0,0,75.0,6.8,1,50.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,27,38.6,0,0.0,5,18.5,RB,McKiJe00
216,DeAndre Carter,37.3,0,0,4,0,0,Sun,1,1,2022-09-11,29-154,LAC,,LVR,W 24-19,0,0,,0,0,,4,3,64,21.3,1,75.0,16.0,3,75.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,25,37.3,0,0.0,7,29.2,WR,CartDe02
217,Zack Moss,37.3,0,6,6,0,1,Thu,1,1,2022-09-08,24-267,BUF,@,LAR,W 31-10,6,15,2.5,0,1,33.3,6,6,21,3.5,0,100.0,3.5,0,33.3,1,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,22,37.3,0,0.0,0,0.0,RB,MossZa00
218,Treylon Burks,36.9,0,0,5,0,0,Sun,1,1,2022-09-11,22-172,TEN,,NYG,L 20-21,0,0,,0,0,,5,3,55,18.3,0,60.0,11.0,2,60.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,24,36.9,0,0.0,4,14.3,WR,BurkTr00
219,Ty Montgomery,36.8,0,2,4,0,0,Sun,1,1,2022-09-11,29-232,NWE,@,MIA,L 7-20,2,-2,-1.0,0,0,0.0,4,3,15,5.0,1,75.0,3.8,1,25.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,,0,0,,0,0,6,21,36.8,0,0.0,7,36.8,WR,MontTy01
220,Kyle Juszczyk,36.8,0,0,2,0,0,Sun,1,1,2022-09-11,31-141,SFO,@,CHI,L 10-19,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,,0,0,,0,0,0,25,36.8,0,0.0,9,37.5,FB,JuszKy00
