Rk,Player,Off%,Att,Att,Tgt,2PM,Fmb,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
201,Olamide Zaccheaus,42.6,0,0,2,0,0,Sun,2,2,2022-09-18,25-057,ATL,@,LAR,L 27-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,21,10.5,1,100.0,10.5,2,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,26,42.6,0,0.0,1,4.3,WR,ZaccOl01
202,Scott Miller,43.3,0,1,8,0,0,Sun,2,2,2022-09-18,25-049,TAM,@,NOR,W 20-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,8,8.0,0,0,100.0,8,3,34,11.3,0,37.5,4.3,2,25.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,29,43.3,0,0.0,1,3.8,WR,MillSc01
203,Kyler Murray,100.0,49,5,0,1,0,Sun,2,2,2022-09-18,25-042,ARI,@,LVR,W 29-23 (OT),31,49,18,63.3,277,1,1,0,2.0,2.0,76.7,1,7,2.00,5.7,5.14,4.90,8.9,46.0,5,28,5.6,1,4,100.0,0,0,0,,0,,,0,,1,0,0,,0,0,,1,0,8,0,0,0,0,0,87,100.0,0,0.0,0,0.0,QB,MurrKy00
204,Mike Strachan,70.0,0,0,3,0,0,Sun,2,2,2022-09-18,25-036,IND,@,JAX,L 0-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,1,23,23.0,0,33.3,7.7,1,33.3,0,0,0,,0,0,,0,0,0,0,0,0,0,0,35,70.0,0,0.0,0,0.0,WR,StraMi03
205,Reggie Gilliam,26.5,0,0,3,0,0,Mon,2,2,2022-09-19,25-030,BUF,,TEN,W 41-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,17,8.5,1,66.7,5.7,1,66.7,1,0,0,,0,0,,0,0,6,0,0,0,0,0,18,26.5,0,0.0,25,92.6,FB,GillRe00
206,Darrell Henderson,55.6,0,10,0,0,0,Sun,2,2,2022-09-18,25-030,LAR,,ATL,W 31-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,10,47,4.7,1,4,70.0,0,0,0,,0,,,0,,1,0,0,,0,0,,0,0,6,0,0,0,0,0,35,55.6,0,0.0,0,0.0,RB,HendDa00
207,Devin Singletary,54.4,0,6,3,0,0,Mon,2,2,2022-09-19,25-016,BUF,,TEN,W 41-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,6,19,3.2,0,1,16.7,3,2,2,1.0,0,66.7,0.7,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,54.4,0,0.0,0,0.0,RB,SingDe00
208,Devin Duvernay,54.2,0,0,2,0,0,Sun,2,2,2022-09-18,25-006,BAL,,MIA,L 38-42,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,42,21.0,0,100.0,21.0,2,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,32,54.2,0,0.0,8,26.7,WR,DuveDe00
209,Ty Johnson,18.6,0,0,3,0,0,Sun,2,2,2022-09-18,25-001,NYJ,@,CLE,W 31-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,3,1,4,4.0,0,33.3,1.3,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,13,18.6,0,0.0,11,36.7,RB,JohnTy02
210,Tyrie Cleveland,43.1,0,0,3,0,0,Sun,2,2,2022-09-18,24-363,DEN,,HOU,W 16-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,28,14.0,0,66.7,9.3,1,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,31,43.1,0,0.0,18,69.2,WR,ClevTy00
211,Darnell Mooney,90.2,0,0,2,0,0,Sun,2,2,2022-09-18,24-324,CHI,@,GNB,L 10-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,1,-4,-4.0,0,50.0,-2.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,37,90.2,0,0.0,0,0.0,WR,MoonDa00
212,John Bates,32.4,0,0,3,0,0,Sun,2,2,2022-09-18,24-316,WAS,@,DET,L 27-36,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,3,2,15,7.5,0,66.7,5.0,,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,24,32.4,0,0.0,2,6.3,TE,BateJo00
213,Justice Hill,35.6,0,3,0,0,0,Sun,2,2,2022-09-18,24-308,BAL,,MIA,L 38-42,0,0,0,,0,0,0,0,,,,0,0,,,,,,,3,16,5.3,0,1,66.7,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,21,35.6,0,0.0,18,60.0,RB,HillJu00
214,Noah Fant,53.1,0,0,2,0,0,Sun,2,2,2022-09-18,24-302,SEA,@,SFO,L 7-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,2,11,5.5,0,100.0,5.5,,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,26,53.1,0,0.0,0,0.0,TE,FantNo00
215,Joshua Kelley,25.3,0,4,2,0,0,Thu,2,2,2022-09-15,24-299,LAC,@,KAN,L 24-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,4,22,5.5,0,,75.0,2,1,3,3.0,0,50.0,1.5,,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,19,25.3,0,0.0,20,62.5,RB,KellJo01
216,Tony Jones,50.0,0,2,2,0,0,Sun,2,2,2022-09-18,24-298,NOR,,TAM,L 10-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,8,4.0,0,,50.0,2,2,12,6.0,0,100.0,6.0,,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,34,50.0,0,0.0,0,0.0,RB,JoneTo04
217,Deonte Harty,16.2,0,0,1,0,0,Sun,2,2,2022-09-18,24-288,NOR,,TAM,L 10-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,1,1,9,9.0,0,100.0,9.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,11,16.2,0,0.0,12,46.2,WR,HarrDe07
218,D.K. Metcalf,91.8,0,0,6,0,0,Sun,2,2,2022-09-18,24-278,SEA,@,SFO,L 7-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,4,35,8.8,0,66.7,5.8,2,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,45,91.8,0,0.0,0,0.0,WR,MetcDK00
219,Zack Moss,19.1,0,3,1,0,0,Mon,2,2,2022-09-19,24-278,BUF,,TEN,W 41-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,3,17,5.7,0,1,33.3,1,0,0,,0,0.0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,13,19.1,0,0.0,0,0.0,RB,MossZa00
220,Ko Kieft,35.8,0,0,0,0,0,Sun,2,2,2022-09-18,24-241,TAM,@,NOR,W 20-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,24,35.8,0,0.0,18,69.2,TE,KiefKo00
221,Josh Jacobs,71.6,0,19,1,0,0,Sun,2,2,2022-09-18,24-219,LVR,,ARI,L 23-29 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,19,69,3.6,0,4,57.9,1,1,12,12.0,0,100.0,12.0,0,100.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,48,71.6,0,0.0,0,0.0,RB,JacoJo01
222,Rhamondre Stevenson,61.8,0,9,2,0,0,Sun,2,2,2022-09-18,24-207,NWE,@,PIT,W 17-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,9,47,5.2,0,2,33.3,2,1,4,4.0,0,50.0,2.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,42,61.8,0,0.0,0,0.0,RB,StevRh00
223,Tua Tagovailoa,100.0,50,1,0,0,0,Sun,2,2,2022-09-18,24-200,MIA,@,BAL,W 42-38,36,50,14,72.0,469,6,2,0,12.0,4.0,124.1,1,8,1.96,9.4,9.98,9.63,13.0,54.9,1,1,1.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0,QB,TagoTu00
224,Najee Harris,71.2,0,15,6,0,0,Sun,2,2,2022-09-18,24-193,PIT,,NWE,L 14-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,15,49,3.3,0,2,53.3,6,5,40,8.0,0,83.3,6.7,3,66.7,0,0,0,,0,0,,0,0,0,0,0,0,0,0,42,71.2,0,0.0,0,0.0,RB,HarrNa00
225,Justin Herbert,98.7,48,2,0,0,0,Thu,2,2,2022-09-15,24-189,LAC,@,KAN,L 24-27,33,48,15,68.8,334,3,1,1,6.3,2.1,100.5,2,8,4.00,7.0,7.27,6.82,10.1,50.0,2,1,0.5,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,74,98.7,0,0.0,0,0.0,QB,HerbJu00
226,Mecole Hardman,54.4,0,1,4,0,0,Thu,2,2,2022-09-15,24-187,KAN,,LAC,W 27-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,-4,-4.0,0,0,0.0,4,3,49,16.3,0,75.0,12.3,2,75.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,31,54.4,0,0.0,0,0.0,WR,HardMe00
227,Brandon Aiyuk,88.2,0,0,8,0,0,Sun,2,2,2022-09-18,24-185,SFO,,SEA,W 27-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,8,5,63,12.6,0,62.5,7.9,3,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,67,88.2,0,0.0,0,0.0,WR,AiyuBr00
228,Kylen Granson,54.0,0,0,2,0,0,Sun,2,2,2022-09-18,24-175,IND,@,JAX,L 0-24,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,2,14,7.0,0,100.0,7.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,27,54.0,0,0.0,10,50.0,TE,GranKy00
229,Quintez Cephus,9.8,0,0,0,0,0,Sun,2,2,2022-09-18,24-170,DET,,WAS,W 36-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,6,9.8,0,0.0,15,46.9,WR,CephQu00
230,Lil'Jordan Humphrey,38.2,0,0,2,0,0,Sun,2,2,2022-09-18,24-152,NWE,@,PIT,W 17-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,1,11,11.0,0,50.0,5.5,,50.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,26,38.2,0,0.0,2,9.1,WR,HumpLi01
231,Khalil Herbert,19.5,0,4,1,0,0,Sun,2,2,2022-09-18,24-150,CHI,@,GNB,L 10-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,4,38,9.5,0,1,50.0,1,1,3,3.0,0,100.0,3.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,8,19.5,0,0.0,13,59.1,RB,HerbKh00
232,Harrison Bryant,46.3,0,0,4,0,0,Sun,2,2,2022-09-18,24-148,CLE,,NYJ,L 30-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,45,15.0,0,75.0,11.3,2,75.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,31,46.3,0,0.0,6,20.0,TE,BryaHa00
233,Albert Okwuegbunam,52.8,0,0,2,0,0,Sun,2,2,2022-09-18,24-146,DEN,,HOU,W 16-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,2,0,0,,0,0.0,0.0,,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,38,52.8,0,0.0,0,0.0,TE,OkwuAl00
234,AJ Dillon,57.4,0,18,3,0,0,Sun,2,2,2022-09-18,24-139,GNB,,CHI,W 27-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,18,61,3.4,0,5,50.0,3,1,6,6.0,0,33.3,2.0,0,0.0,0,0,0,,0,0,,0,0,0,0,1,0,0,0,39,57.4,0,0.0,0,0.0,RB,DillAJ00
235,Greg Dortch,71.3,0,0,4,0,0,Sun,2,2,2022-09-18,24-112,ARI,@,LVR,W 29-23 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,4,55,13.8,1,100.0,13.8,3,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,62,71.3,0,0.0,3,14.3,WR,DortGr01
236,Quez Watkins,58.9,0,0,2,0,0,Mon,2,2,2022-09-19,24-102,PHI,,MIN,W 24-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,69,34.5,1,100.0,34.5,1,100.0,1,0,0,,0,0,,0,0,6,0,0,0,0,0,43,58.9,0,0.0,2,9.5,WR,WatkQu00
237,Rico Dowdle,1.6,0,0,0,0,0,Sun,2,2,2022-09-18,24-096,DAL,,CIN,W 20-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,1.6,0,0.0,18,69.2,RB,DowdRi01
