rk,player,st_snp_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp_17,st_percent,pos,x9999
11,Marcedes Lewis,3,Sun,7,7,2022-10-23,38-157,GNB,@,WAS,L 21-23,23,42.6,0,0,3,10.3,TE,LewiMa00
28,Matthew Slater,23,Mon,7,7,2022-10-24,37-045,NWE,NA,CHI,L 14-33,0,0,0,0,23,92,WR,SlatMa00
79,Ryan Griffin,9,Mon,7,7,2022-10-24,32-286,CHI,@,NWE,W 33-14,11,15.5,0,0,9,36,TE,GrifRy00
84,Brandon Bolden,16,Sun,6,7,2022-10-23,32-270,LVR,NA,HOU,W 38-20,0,0,0,0,16,59.3,RB,BoldBr00
112,Taysom Hill,8,Thu,7,7,2022-10-20,32-058,NOR,@,ARI,L 34-42,18,25,0,0,8,25,TE/QB,HillTa00
119,Zach Ertz,2,Thu,7,7,2022-10-20,31-344,ARI,NA,NOR,W 42-34,53,80.3,0,0,2,6.3,TE,ErtzZa00
120,Marquise Goodwin,1,Sun,7,7,2022-10-23,31-338,SEA,@,LAC,W 37-23,38,53.5,0,0,1,3.4,WR,GoodMa00
143,Kyle Juszczyk,5,Sun,7,7,2022-10-23,31-183,SFO,NA,KAN,L 23-44,38,48.1,0,0,5,17.9,FB,JuszKy00
186,Richard Rodgers,3,Sun,7,7,2022-10-23,30-274,LAC,NA,SEA,L 23-37,12,16.9,0,0,3,10.3,TE,RodgRi00
194,Michael Burton,15,Sun,7,7,2022-10-23,30-264,KAN,@,SFO,W 44-23,7,10.9,0,0,15,53.6,RB,BurtMi00
262,Keith Smith,15,Sun,7,7,2022-10-23,30-198,ATL,@,CIN,L 17-35,14,29.8,0,0,15,60,WR,SmitKe03
263,Raheem Mostert,2,Sun,7,7,2022-10-23,30-197,MIA,NA,PIT,W 16-10,44,71,0,0,2,7.7,RB,MostRa00
264,Chris Manhertz,9,Sun,7,7,2022-10-23,30-196,JAX,NA,NYG,L 17-23,24,33.8,0,0,9,40.9,TE,ManhCh00
265,Robert Woods,5,Sun,6,7,2022-10-23,30-196,TEN,NA,IND,W 19-10,44,74.6,0,0,5,20.8,WR,WoodRo02
272,Jordan Akins,1,Sun,6,7,2022-10-23,30-187,HOU,@,LVR,L 20-38,26,40,0,0,1,3.7,TE,AkinJo00
