rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
17,Matthew Slater,88,Sun,6,6,2023-10-15,38-036,NWE,@,LVR,L 17-21,0,0,0,0,22,88,WR,SlatMa00
38,Brandon Bolden,76,Sun,6,6,2023-10-15,33-262,LVR,NA,NWE,W 21-17,0,0,0,0,19,76,RB,BoldBr00
55,Randall Cobb,13.6,Sun,6,6,2023-10-15,33-054,NYJ,NA,PHI,W 20-14,36,55.4,0,0,3,13.6,WR,CobbRa00
56,Taysom Hill,30.8,Sun,6,6,2023-10-15,33-053,NOR,@,HOU,L 13-20,49,59.8,0,0,8,30.8,TE/QB,HillTa00
82,Cordarrelle Patterson,20.8,Sun,6,6,2023-10-15,32-212,ATL,NA,WAS,L 16-24,10,12,0,0,5,20.8,RB,PattCo00
85,Kyle Juszczyk,6.5,Sun,6,6,2023-10-15,32-175,SFO,@,CLE,L 17-19,34,54.8,0,0,2,6.5,FB,JuszKy00
99,Blake Bell,9.5,Thu,6,6,2023-10-12,32-066,KAN,NA,DEN,W 19-8,14,19.7,0,0,2,9.5,TE,BellBl00
128,Michael Burton,66.7,Thu,6,6,2023-10-12,31-253,DEN,@,KAN,L 8-19,12,23.1,0,0,14,66.7,FB,BurtMi00
164,MyCole Pruitt,29.2,Sun,6,6,2023-10-15,31-205,ATL,NA,WAS,L 16-24,32,38.6,0,0,7,29.2,TE,PruiMy00
175,Keith Smith,75,Sun,6,6,2023-10-15,31-190,ATL,NA,WAS,L 16-24,16,19.3,0,0,18,75,FB,SmitKe03
176,Raheem Mostert,3.3,Sun,6,6,2023-10-15,31-189,MIA,NA,CAR,W 42-21,41,61.2,0,0,1,3.3,RB,MostRa00
177,Robert Woods,11.5,Sun,6,6,2023-10-15,31-188,HOU,NA,NOR,W 20-13,39,61.9,0,0,3,11.5,WR,WoodRo02
181,Chris Manhertz,23.8,Thu,6,6,2023-10-12,31-185,DEN,@,KAN,L 8-19,24,46.2,0,0,5,23.8,TE,ManhCh00
186,Jordan Akins,29,Sun,5,6,2023-10-15,31-179,CLE,NA,SFO,W 19-17,7,9.2,0,0,9,29,TE,AkinJo00
198,Jerick McKinnon,66.7,Thu,6,6,2023-10-12,31-162,KAN,NA,DEN,W 19-8,19,26.8,0,0,14,66.7,RB,McKiJe00
252,Davante Adams,8,Sun,6,6,2023-10-15,30-295,LVR,NA,NWE,W 21-17,64,91.4,0,0,2,8,WR,AdamDa01
260,C.J. Uzomah,50,Sun,6,6,2023-10-15,30-274,NYJ,NA,PHI,W 20-14,24,36.9,0,0,11,50,TE,UzomC.00
264,Ty Montgomery,56,Sun,6,6,2023-10-15,30-266,NWE,@,LVR,L 17-21,3,5,0,0,14,56,RB,MontTy01
298,DeAndre Carter,32,Sun,6,6,2023-10-15,30-188,LVR,NA,NWE,W 21-17,6,8.6,0,0,8,32,WR,CartDe02
328,Nelson Agholor,3.2,Sun,6,6,2023-10-15,30-144,BAL,@,TEN,W 24-16,37,52.1,0,0,1,3.2,WR,AghoNe00
341,Ameer Abdullah,64,Sun,6,6,2023-10-15,30-124,LVR,NA,NWE,W 21-17,9,12.9,0,0,16,64,RB,AbduAm00
343,Chris Moore,12.9,Sun,6,6,2023-10-15,30-121,TEN,NA,BAL,L 16-24,20,36.4,0,0,4,12.9,WR,MoorCh00
344,Jamison Crowder,12.5,Sun,6,6,2023-10-15,30-120,WAS,@,ATL,W 24-16,0,0,0,0,3,12.5,WR,CrowJa00
375,C.J. Ham,53.8,Sun,6,6,2023-10-15,30-085,MIN,@,CHI,W 19-13,16,28.1,0,0,14,53.8,FB,HamxC.00
393,Hayden Hurst,30,Sun,6,6,2023-10-15,30-052,CAR,@,MIA,L 21-42,38,55.1,0,0,9,30,TE,HursHa00
398,J.P. Holtz,30.8,Sun,6,6,2023-10-15,30-048,NOR,@,HOU,L 13-20,1,1.2,0,0,8,30.8,TE,HoltJ.01
412,Mack Hollins,20.8,Sun,6,6,2023-10-15,30-029,ATL,NA,WAS,L 16-24,28,33.7,0,0,5,20.8,WR,HollMa00
